table_12_1,monasterzyska,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,100,100,200,250,200,315,300
table_12_1,murachwa,town,,,,,,100,100,100,105,110,,80,90,,100,101,120,,,60,300,80,80,50,100,200,230,230,200,200,200,260,200,200,200,63,300,,,,,,400,500,400
table_12_1,niemirow,town,150,150,,,,300,,,,,,,360,,500,303,,150,250,300,,450,300,360,360,400,350,400,400,400,400,400,400,400,,875,,,600,,,,,1340,1000
table_12_1,obodowka,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_12_1,pieczara,town,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,
table_12_1,przyluka,town,,,,,,,,,,,,,,,,50,,70,80,90,,100,140,100,150,150,123,150,150,200,200,200,200,200,200,125,,,300,300,330,380,730,925,900
table_12_1,rajgrod,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,100,100,100,100,100,188,200,241,,,80,80,73.1,200,200
table_12_1,raszkow,town,,,399,200,602,400,350,357,370,450,450,510,,,500,505,505,150,200,350,,375,375,375,375,400,,,500,750,1000,1000,,,,1875,2400,2300,1800,1800,,,,3555,2300
table_12_1,roznialowka,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,
table_12_1,sawran,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,80,,,,,,,,,,,,,
table_12_1,sieliszcza,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,150
table_12_1,salasze,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,110,180,230,200
table_12_1,sokolowka,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,,,,,50,100,200,220,220,300,,100
table_12_1,strzyzawka,town,,,,76,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_12_1,szopkowice,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,
table_12_1,teplic,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,
table_12_1,terlowka,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,150,150,,,,,,,,,,,,,
table_12_1,tomaszpol,town,,,,,,,,,,,,,,,,,,,,,,,,,,150,110,180,200,21,250,,250,250,300,500,625,,,1100,770,670,870,1100,
table_12_1,totals,total,150,150,895,1176,1702,1600,1205,1203,1450,1313,929,1045,1605,400,2290,2138,1861,1000,1405,2200,1400,2895,2639,2500,2905,3245,2841,2817,3560,5493,6630,5860,4760,3760,4480,9810,10117,10686,10820,11320,7801,11186,13654,22976,17670
table_12_1,trostianiec,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,50,50,,,,,,,100,100,110,50,50,78,
table_12_1,tulczyn,town,,,,,,,,,,,50,50,60,50,60,60,80,,80,90,150,180,180,200,250,200,203,230,200,200,200,200,200,200,200,75,375,300,300,300,318,,,,
table_12_1,turia,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
table_12_1,tywrow,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,150,150,150,150,250,413,600,600,250,,,,,,550
table_12_1,uman,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,,,,,100,100,,110,,110,200,100
table_12_1,winnica,town,,,,300,300,300,300,250,260,150,140,180,250,,250,252,252,100,150,220,180,300,300,200,200,300,300,,200,,300,,400,,350,,450,500,,600,,498.6,,625,
table_12_1,uladowka,town,,,,50,100,100,100,100,105,,24,,50,,50,30,30,,,50,,60,60,40,40,40,50,40,40,50,70,70,100,100,200,63,150,180,150,150,170,180,200,250,350
table_12_1,woronowica,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_12_1,woroszylowka,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,300,330,330,,,250
table_12_1,zadykowicz,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,200,200,,,,,,100,60,,,,,
table_12_1,zinkow,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,180,,
table_12_1,zorniszcza,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,110,,,,200
table_12_1,zwierzchowka,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,80,,50,50,50,50,188,200,200,200,200,220,228,400,500,450
table_12_1,zwierzchowka,villages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,,,,,,,,,,,,,
table_12_1,ladyzyn,town,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,250,150,200,220,200,200,313,400,,,,,415,,,
table_12_1,lipowiec,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,40,,150,150,300,,,,,,,,,,,,
