table,name,type,1717,1718,1719,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1757,1758,1759,1760,1761,1762,1763,1764,poll,cencus
table_6_3,barcin,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
table_6_3,borek,town,,,,267,219,,228,228,238,150,240,,,,,,,,,,,400,180,180,200,200,,200,,,,,,,,,,,,,,,300,,,300,200
table_6_3,chodziez,town,,,,,120,,,,,1698,300,700,1000,1100,1203,1120,,,,,,1100,820,620,720,104,,,,620,,,,,,,,,,,800,1120,,,,1120,644
table_6_3,czerniejow,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
table_6_3,debrzno_frydland,town,,,,,,,,,,1620,1500,1200,1200,1360,,2900,,,,2000,2000,2000,1800,1800,1800,1800,1800,1800,1800,1800,1508,1810,1810,1810,,,,,,,1050,2000,1500,,1200,1200,308
table_6_3,dzialyn,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,80,100,100,104
table_6_3,gniezno,town,,,198,120,198,300,198,300,300,300,220,270,300,300,330,400,380,400,400,400,350,450,330,400,200,,,180,180,,,,,,280,,200,,,,,,,,300,300,251
table_6_3,golancza,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,420,440,,,550,,,550,193
table_6_3,golina,town,999,,,,1200,348,,,,,,300,,,,300,250,250,250,300,250,,180,220,,,,,,,,,,,,,,,,,,600,,,,600,142
table_6_3,granowo,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,200,,200,97
table_6_3,jarocin,town,300,300,180,150,150,150,150,150,150,,,,,,150,150,150,200,200,,200,,,,,,,300,300,,,,,,,,,,,,,800,800,,,800,282
table_6_3,jaroczew,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,50,,,,,,,,,50,85
table_6_3,kalisz,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702
table_6_3,karmin,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
table_6_3,kazimierz,town,450,450,300,339,300,,,200,250,249,,200,215,250,150,150,80,80,80,80,80,80,80,80,80,80,80,80,90,,90,100,,,150,,,130,55,,,50,,50,50,50,
