table,name,type,1721,1723,1724,1725,1726,1727,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1757,1758,1759,1760,1761,1762,1763,1764,poll,cencus
table_14_4,dziunkow,town,,,,,,,,,,,,,,,,,,,50,50,50,50,50,203,203,,210,220,220,250,250,250,250,,270,,240,288,320,320,320,157
table_14_4,lipowiec,town,,,,,,,,,,,,40,,40,40,40,,,,,,,,,120,,,120,150,236,236,236,236,,,146,,175,,,175,351
table_14_4,pikow,town,99,99,99,100,100,,,100,100,100,200,270,270,270,238,270,240,,,,,,,,580,580,580,580,700,736,736,736,800,,586,646,646,775,860,,860,298
table_14_4,strzyzawka,town,,,,,,,,,30,40,50,50,,100,50,50,,115,50,50,50,50,80,81,81,81,80,90,90,94,94,94,130,,,,,,,,130,272
table_14_4,tetyjow,town,,,,,36,,36,,36,72,36,40,,50,,,,150,80,80,75,75,,162,162,234,180,,,,,,350,162,333,366,,,500,510,510,708
table_14_4,totals,total,99,99,119,120,216,40,36,100,202,282,322,445,270,505,373,420,240,698,480,480,475,275,460,780,1120,1195,1620,1010,1510,1316,1766,1316,2062,680,1468,1865,886,2006,2073,1223,2388,2149
table_14_4,ulanow,town,,,20,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_14_4,winnica,town,,,,,,,,,,,,,,,,,,260,200,200,200,,200,80,300,,300,,350,,450,,,400,,400,,400,,,,
table_14_4,zywotow,town,,,,,40,40,,,36,70,36,45,,45,45,60,,173,100,,100,100,130,254,254,300,270,,,,,,296,118,279,307,,368,393,393,393,363
