table,name,type,1719,1720,1721,1722,1723,1724,1725,1726,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1757,1758,1759,1760,1761,1762,1763,1764,poll,census
table_14_3,borowce,town,,,,,,,,,,,60,,,,,,30,30,30,,40,35,,30,30,30,30,30,30,30,30,36,30,30,,60,30,30,31,31,31,31,31,,31,
table_14_3,czartorysk,town,,78,60,99,48,60,120,90,60,60,60,70,60,60,60,60,80,80,70,70,80,,,70,70,,70,70,70,70,70,77,70,,70,70,70,70,126,126,,90,90,100,100,73
table_14_3,czetwertnie,town,,,,,,,,,,,,,,,,,30,30,30,,40,30,30,30,30,30,30,30,30,30,30,36,30,30,,60,30,30,31,31,31,31,32,,32,
table_14_3,derewicz,town,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,
table_14_3,grodek,town,,,,75,75,75,150,80,75,75,65,60,60,80,80,40,40,40,35,,40,,,40,40,40,40,40,40,40,50,45,,,,,40,,50,50,50,50,50,,50,
table_14_3,janowka,town,,,,,,69,50,30,25,25,25,25,30,30,30,40,,35,35,,40,35,35,35,35,35,35,35,35,30,30,42,35,35,,70,35,,,44,44,44,44,44,44,52
table_14_3,kaszowka,town,,240,198,198,249,279,,279,300,300,290,300,300,320,320,300,,310,310,310,310,310,330,310,310,310,310,300,310,310,310,324,310,310,310,310,390,,383,393,393,393,393,400,400,162
table_14_3,kilikiew,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
table_14_3,klewan,town,,,600,498,600,600,399,600,400,400,380,,,,,,,600,,,,,,,,,,,,,,,,,,,,,570,450,450,450,500,500,500,972
table_14_3,kolki,town,,243,,240,249,249,300,240,250,166,250,260,250,250,250,245,280,,,300,300,,,300,300,,,300,300,250,350,191,300,,300,300,390,,507,300,,300,350,400,400,271
table_14_3,krasnostaw,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,250,82
table_14_3,leszniowek,town,,98,180,,,,120,90,90,90,95,80,90,90,90,,90,90,90,90,100,100,90,95,95,95,95,95,95,95,95,102,95,95,95,95,120,,120,120,127,127,127,127,127,26
table_14_3,morawica,town,,813,600,,,,,549,200,200,,,200,,200,,,,,,,,,300,200,,,300,,,,,,300,,,800,350,443,,,300,350,400,400,249
table_14_3,okonsk,town,,,,,,,80,50,,,35,,,,,,25,25,20,,,40,20,20,20,20,,,,,,,,,,,,,,,,,,,20,
table_14_3,ostrozec,town,,,,,,,395,,,,,,,,,,,,280,,300,,,,,,300,300,300,300,160,300,300,,300,300,390,300,,215,215,215,250,250,250,130
table_14_3,rafalowka,town,,,,,,,,,,120,,,100,100,105,120,,120,120,120,120,,150,150,,,150,150,150,150,160,158,150,,150,150,180,150,190,150,,150,150,150,150,109
table_14_3,targowica,town,,813,,,,498,,,,515,560,550,365,888,550,515,580,850,,344,800,880,1150,380,380,185,360,194,342,360,380,360,360,,360,360,360,,456,360,360,,,360,360,410
table_14_3,totals,total,2595,4693,3069,3041,3203,3757,3491,4230,4244,4406,3960,3035,4479,3995,5092,4072,4150,5136,4546,4290,6070,6141,5534,3081,2580,1887,6331,6931,4085,4040,4156,3920,4318,3232,3350,5453,8140,1054,5203,5167,4951,2675,5876,5881,5834,4687
table_14_3,trojanowka,town,,120,120,150,138,,,150,150,150,160,140,125,130,120,110,130,130,130,130,150,130,130,130,130,130,130,130,130,130,130,140,130,130,130,130,160,,164,164,164,164,164,164,264,80
table_14_3,wisienki,town,,,,,,40,40,40,40,40,30,30,25,35,35,40,30,38,38,,40,35,38,38,38,38,36,36,36,,,,36,36,,,,,44,44,36,36,36,,36,
table_14_3,zurawno,villages,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,,,,,,,,,,,166,
table_14_3,luck,town,240,2378,1248,1476,1536,1581,1469,1728,2374,2005,2665,1340,2694,2072,3072,2602,2635,2780,3180,2554,3330,4546,4417,975,724,776,3045,4545,2007,1830,2097,2109,2262,2056,1425,3338,4635,124,2072,2444,2799,44,3057,1924,1924,1845
table_14_3,mielnica,town,,219,180,180,180,180,200,180,180,180,185,180,180,180,180,,200,180,180,180,180,220,200,200,200,200,200,220,210,210,210,,210,210,210,210,260,,,240,247,247,250,250,250,226
table_14_3,zurawno,town,,120,120,,,,150,120,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,
