table,name,type,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1736,1737,1738,1741,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1757,1758,1759,1760,1761,1762,1763,1764,poll,cencus
table_10,krzywcza,town,324,,100,,,600,,,,,,,676,564,,,520,,,,335,330,340,,,370,390,420,466,,,,450,,,,,520,,566,566,476
table_10,kudryniec,town,196,390,,224,,250,,,,40,,176,208,180,220,250,,,220,288,256,300,272,352,284,,,,259,,,,250,259,300,304,288,250,210,210,210,223
table_10,kupin,town,,,,159,150,,,246,246,150,300,,310,249,300,80,302,,310,,,450,520,284,484,480,460,460,478,,,254,,,,,,,,,254,405
table_10,kuzmin,town,,,,,,,,100,100,,,,,,,,,,,,,,,230,,,252,,,224,228,235,236,,,,,,,280,280,208
table_10,lanckorona,town,,,,,,,,,,,,,,,,,,,,,,,,400,200,,,,288,381,381,375,,,,,,460,450,560,560,631
table_10,latyczew,town,200,,310,,,100,,,,,,,,,,,,,,,,,,,,,,500,,,529,548,,560,,,,,400,,400,652
table_10,letniowce,town,,,125,309,,150,,300,225,,300,210,,360,290,475,,,,,,,,,,,50,,,,82,,73,70,90,94,,98,80,134,134,229
table_10,lityn,town,,,138,174,192,,,,,360,300,280,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10,michalpol,town,,,,,,160,,,60,250,200,220,,99,275,250,,240,200,288,355,235,215,280,220,230,275,330,280,297,299,310,340,360,390,390,290,308,290,290,290,356
table_10,miedzyborz,town,,,565,978,918,1250,1170,1200,800,936,,320,,1112,987,130,,,332,,250,1400,1128,1200,1814,420,,,,2072,2000,,,,,,,908,2200,2500,2500,2039
table_10,mikitynce,town,,,,150,165,,150,200,200,,215,,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10,mikolajow,town,100,,,159,186,200,180,240,240,,200,220,66,273,,200,,,365,,470,462,488,,,,,,520,,655,689,634,,300,440,530,,,,530,1087
table_10,minkowce,town,,54,,,,,,400,300,351,,,,,,,,,,,,,,,,,490,560,415,459,429,444,444,480,540,546,572,630,530,600,600,378
table_10,minkowiec,town,,,,,,,,,,,,,,,32,400,286,330,400,513,450,430,520,500,462,,,,,,,,,,,,,,,,,
