table,name,type,1717,1718,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1757,1758,1759,1760,1761,1762,1763,1764,poll,cencus
table_6_7,babimost,town,,,,,,300,330,334,300,270,400,,,,,,,,,,,300,,,,,,,,,,,,500,,,,,,,,620,,700,680,,680,206
table_6_7,bojanow,town,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,350,
table_6_7,broice,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,350,350,,350,55
table_6_7,charnkow,town,300,300,,,498,500,600,600,600,420,540,510,510,250,500,450,450,450,450,450,450,450,450,550,,650,650,650,650,665,665,,670,,,405,,,,,,530,,,,,530,489
table_6_7,czempin,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,64,86
table_6_7,czlop,town,,300,,,,,462,462,150,,,,480,,,,,,,,,250,100,,,,,,,,,,,,,,,,,,430,450,,600,600,600,600,234
table_6_7,frydlandek,town,,,,150,150,,150,300,,100,,,,,,,,,,,,,600,600,,,,,,,200,,,,300,,,,,,,1000,,,,,1000,877
table_6_7,goslina,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111
table_6_7,grodzisko,town,1200,1200,,,1500,1100,1500,1500,1350,,900,,1400,1400,1400,,1142,1142,500,800,800,,,950,,,800,810,800,,,,,,300,,,,,,1336,840,1000,,,,1000,812
table_6_7,heinrichdorf,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,
table_6_7,heinrichsdorf,town,,,,,90,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_6_7,jutrosin,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,160,160,115
table_6_7,kargowa,town,,,,,,,,,,,,210,,,,,,,,,,120,,,400,,,,,,,440,440,,,,,,,,,500,,650,,600,600,289
table_6_7,lwowek,town,,,,900,900,760,900,900,,540,,,,600,,700,500,500,500,400,400,200,200,300,400,400,,,,400,,,,350,350,250,,,,,315,,,,500,500,500,336
table_6_7,miedzychod,town,,300,,,,592,,,390,530,600,150,,,,,,,,,600,,700,550,,,,,,,,,,,,,,,,,,600,,,,,600,236
table_6_7,miedzyrzecz,town,,699,,,,,,,,,,,,,,,,,,1000,,,1000,,,,,,500,,505,,,,,,,,,,540,,,900,,,900,1077
table_6_7,mosina,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,50,
table_6_7,oborniki,town,,300,564,,,618,568,,660,450,450,,450,400,450,500,500,500,,500,500,230,300,300,400,500,500,250,250,250,255,250,250,270,275,275,300,300,315,,255,300,500,,500,500,500,231
table_6_7,obrzysko,town,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,150,195
table_6_7,osieczna,town,,300,,468,,600,,600,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,300,239
table_6_7,pila,town,,,,600,600,300,500,600,,510,150,510,600,600,600,600,600,600,600,600,600,400,950,400,400,300,300,300,400,260,340,400,400,270,280,300,300,350,370,385,250,300,600,600,600,600,600,411
table_6_7,pniewy,town,300,300,,300,300,399,300,348,360,250,300,220,300,300,,,250,250,,250,250,200,,250,250,,,250,250,250,,,,,,,,,,,330,410,,600,,600,600,201
table_6_7,rakoniewice,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,30,
table_6_7,rawicz,town,,,,,,,,650,,,,,,,650,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,1200,1200,1200,563
table_6_7,restarzew,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,80,80,52
table_6_7,rogozno,town,,,,,450,350,450,450,450,,450,400,350,450,450,450,450,450,450,450,450,250,250,250,250,350,350,350,350,350,360,,,,660,320,320,320,332,50,330,350,600,640,640,,640,386
