"מַפָּה","שם המאה ה-16","מחוז/מחוז","שם מודרני","שם במילון ההיסטורי והגיאוגרפי","אופי היישוב","סוג הבעלות"
"","Bieżuń","sierpecki/płockie","","","miasto","s"
"","Młodzyno","sierpecki/płockie","Młudzyń","","wieś","s"
"","Alżbiecino","sierpecki/płockie","Elżbiecin","","wieś","s"
"","Jamne","sierpecki/płockie","Jonne","","wieś","s"
"","Dąbrówki Bieżuńskie","sierpecki/płockie","Dąbrówki","","wieś","s"
"","Siedliska","sierpecki/płockie","","","wieś","s"
"","Zasłonie*","sądecki/krakowskie","","","wieś","d"
"","Podegrodzie","sądecki/krakowskie","","","wieś","d"
"","Stadła","sądecki/krakowskie","","","wieś","k"
"","Gostwica","sądecki/krakowskie","","","wieś","k"
"","Wojnowo","poznański/poznańskie","Wojnowo","Wojnowo","wieś","s"
"","Brzezna","sądecki/krakowskie","","","wieś","s"
"","Chochorowice","sądecki/krakowskie","","","wieś","d"
"","Trzetrzewina","sądecki/krakowskie","","","wieś","k"
"","Biczyce","sądecki/krakowskie","Biczyce Dolne","","wieś","k"
"","Krasne","sądecki/krakowskie","Biczyce Dolne - część","","wieś","k"
"","Szymanowice","sądecki/krakowskie","Niskowa-Szymanowice","","wieś","d"
"","Nieszkowa","sądecki/krakowskie","Niskowa","","wieś","d"
"","Podrzecze","sądecki/krakowskie","","","wieś","d"
"","Wygnanowice","sądecki/krakowskie","Stadła-Wyglanowice","","wieś","d"
"","Nosaczowice","sądecki/krakowskie","Naszacowice","","wieś","s"
"","Klasztorek","kcyński/kaliskie","Tarnowo Pałucki - część","Klasztorek","wieś","d"
"","Mostki","sądecki/krakowskie","","","wieś","d"
"","Gołkowice","sądecki/krakowskie","Gołkowiec Dolne, Gołkowice Górne","","wieś","d"
"","Gabon","sądecki/krakowskie","Gaboń","","wieś","s"
"","Skrudzina","sądecki/krakowskie","","","wieś","d"
"","Wola Gabońska","sądecki/krakowskie","Gaboń - część","","wieś","s"
"","Opalana","sądecki/krakowskie","","","wieś","d"
"","Kadcza","sądecki/krakowskie","","","wieś","d"
"","Olszanka Mała","sądecki/krakowskie","Olszanka","","wieś","d"
"","Stanęcin","sądecki/krakowskie","Olszana-Stanęcin","","wieś","d"
"","Olszany","sądecki/krakowskie","Olszana","","wieś","k"
"","Nowa Wieś","kcyński/kaliskie","Rąbczyn-Nowa Wieś","Nowa Wieś","wieś","s"
"","Adamowa Wola","sądecki/krakowskie","Jadamwola","","wieś","s"
"","Wolica","sądecki/krakowskie","Łukowica-Wolica - część","","wieś","s"
"","Stronie","sądecki/krakowskie","","","wieś","s"
"","Mokra Dąbrowa","sądecki/krakowskie","Mokra Wieś","","wieś","d"
"","Owieczki","sądecki/krakowskie","Owieczka","","wieś","s"
"","Rogi","sądecki/krakowskie","","","wieś","s"
"","Juraszowa","sądecki/krakowskie","","","wieś","d"
"","Świerkla","sądecki/krakowskie","Długołęka-świerkla - część","","wieś","d"
"","Długa Łąka","sądecki/krakowskie","Długołęka-Świerkla - część","","wieś","d"
"","Szczereż","sądecki/krakowskie","","","wieś","d"
"","Bukowie","kcyński/kaliskie","Bukowiec","Bukowie","wieś","d"
"","Sieprc","sierpecki/płockie","Sierpc","","miasto","s"
"","Rachocino","sierpecki/płockie","Rachocin","","wieś","s"
"","Żdżarówka","sierpecki/płockie","Żarówka","","wieś","s"
"","Studzieniec","sierpecki/płockie","","","wieś","s"
"","Mieszczk","sierpecki/płockie","","","młyn","s"
"","Dobaczewo","sierpecki/płockie","","","młyn","s"
"","Miłobędzino","sierpecki/płockie","Miłobędzin","","wieś","s"
"","Piastowo","sierpecki/płockie","","","wieś","s"
"","Babc","sierpecki/płockie","Babiec Piaseczny","","wieś","s"
"","Dąbrówki Sieprskie","sierpecki/płockie","Dąbrówki","","wieś","s"
"","Rgielsko","kcyński/kaliskie","Rgielsko","Rgielsko","wieś","d"
"","Bobrowo","sierpecki/płockie","","","wieś","s"
"","Bledzewo Wielkie","sierpecki/płockie","Bledzewo","","wieś","s"
"","Bledzewo Małe","sierpecki/płockie","Bledzewsko","","wieś","s"
"","Gorzewo","sierpecki/płockie","","","wieś","d"
"","Mieszczk","rypiński/ziemia dobrzyńska","","","",""
"","Lanckorona","szczyrzycki/krakowskie","","","miasto","k"
"","Jastrzębie","szczyrzycki/krakowskie","Jastrzębia","","wieś","s"
"","Skawinka","szczyrzycki/krakowskie","Skawiniki","","wieś","k"
"","Zachełmna","szczyrzycki/krakowskie","","","wieś","k"
"","Baczyn","szczyrzycki/krakowskie","","","wieś","k"
"","Tarnowo","kcyński/kaliskie","Tarnowo Pałuckie","Tarnowo","wieś","d"
"","Tczeńska Wola+","lelowski/krakowskie","","","wieś","s"
"","Nowa Wieś","lelowski/krakowskie","","","wieś","s"
"","Rakoszyn","lelowski/krakowskie","","","wieś","s"
"","Jaroniowice","lelowski/krakowskie","Jaronowice","","wieś","s"
"","Brzostek","lelowski/krakowskie","Chycza-Brzóstki","","folwark","s"
"","Żmijewo-Mikły","ciechanowski/mazowieckie","Żmijewo-Nikły","","wieś","s"
"","Żmijewo-Bagienki","ciechanowski/mazowieckie","","","wieś","s"
"","Żmijewo-Kucze","ciechanowski/mazowieckie","Żmijewo-Kuce","","wieś","s"
"","Żmijewo I","ciechanowski/mazowieckie","Żmijewo-Gaje","","wieś","s"
"","Żmijewo II","ciechanowski/mazowieckie","Żmijewo-Gaje","","wieś","s"
"","Durowo","kcyński/kaliskie","Wągrowiec-Durowo","Durowo","wieś","d"
"","Huta","brzeziński/łęczyckie","Bronisin Dworski","","wieś","d"
"","Bychawka","lubelski/lubelskie","","","wieś","s"
"","Iżyce","lubelski/lubelskie","","","wieś","s"
"","Jabłonna","lubelski/lubelskie","","","wieś","s"
"","Piotrowice","lubelski/lubelskie","","","wieś","s"
"","Tuszów","lubelski/lubelskie","","","wieś","s"
"","Jankowo","brzeziński/łęczyckie","Janków","","wieś","s"
"","Wilkucice","brzeziński/łęczyckie","","","wieś","s"
"","Januszowice","chęciński/sandomierskie","Januszewice","","wieś","s"
"","Komorniki","chęciński/sandomierskie","","","wieś","s"
"","Krosno","kcyński/kaliskie","Krosno","Krosno","wieś","d"
"","Rzewuszyce","chęciński/sandomierskie","","","wieś","s"
"","Zeńbok","ciechanowski/mazowieckie","Żeńbok","","wieś","s"
"","Leśniewo Wołowe","przasnyski/mazowieckie","Włodki","","wieś","s"
"","Jarłuty Stare","ciechanowski/mazowieckie","Jarłuty Duże","","wieś","s"
"","Jarłuty Małe","ciechanowski/mazowieckie","","","wieś","s"
"","Piorunka","sądecki/krakowskie","","","wieś","d"
"","Berest","sądecki/krakowskie","","","wieś","d"
"","Polana","sądecki/krakowskie","Polany","","wieś","d"
"","Brunary Wyżne","sądecki/krakowskie","Brunary - część","","wieś","d"
"","Brunary Niżne","sądecki/krakowskie","Brunary - część","","wieś","d"
"","Kobielec","kcyński/kaliskie","Kobylec","Kobylec","wieś","d"
"","Jaszkowa","sądecki/krakowskie","Brunary-Jaśkowa","","wieś","d"
"","Śnietnica","sądecki/krakowskie","","","wieś","d"
"","Czarna","sądecki/krakowskie","","","wieś","d"
"","Kamianna","sądecki/krakowskie","","","wieś","d"
"","Florynka","sądecki/krakowskie","","","wieś","d"
"","Wawrzki","sądecki/krakowskie","Wawrzka","","wieś","d"
"","Bielczarowa","sądecki/krakowskie","Binczarowa","","wieś","k"
"","Boguszowa","sądecki/krakowskie","Bogusza","","wieś","k"
"","Królowa Wołoska","sądecki/krakowskie","Królowa Górna","","wieś","k"
"","Łabowa","sądecki/krakowskie","","","wieś","s"
"","Miecharzewo","kcyński/kaliskie","Micharzewo","Miecharzewo","wieś","d"
"","Bestwin","pyzdrski/kaliskie","Bestwin","Bestwin","wieś","s"
"","Wola*","sądecki/krakowskie","Łabowiec","","wieś","s"
"","Maciejowa","sądecki/krakowskie","","","wieś","s"
"","Czaczowa","sądecki/krakowskie","Czaczów","","wieś","s"
"","Chamrzyska","sądecki/krakowskie","Homrzyska","","wieś","s"
"","Leluchowa","sądecki/krakowskie","Leluchów","","wieś","d"
"","Wojkowa","sądecki/krakowskie","","","wieś","d"
"","Powroźnikowa","sądecki/krakowskie","Powroźnik","","wieś","d"
"","Jastrzębnik","sądecki/krakowskie","Jastrzębik","","wieś","d"
"","Muszynka","sądecki/krakowskie","","","wieś","d"
"","Miestko","sądecki/krakowskie","Tylicz","","wieś","d"
"","Wilkowo","koniński/kaliskie","Konin-część","Wilków","wieś","k"
"","Krynica","sądecki/krakowskie","Krynica-Zdrój","","wieś","d"
"","Słotwiny","sądecki/krakowskie","Krynica-Zdrój-Słotwiny","","wieś","d"
"","Mochnaczka Wyżna","sądecki/krakowskie","Mochnaczka Wyżna","","wieś","d"
"","Mochnaczka Niżna","sądecki/krakowskie","","","wieś","d"
"","Bieliczna+","sądecki/krakowskie","","","wieś","d"
"","Izby","sądecki/krakowskie","","","wieś","d"
"","Banica","sądecki/krakowskie","","","wieś","d"
"","Czertyżne+","sądecki/krakowskie","","","wieś","d"
"","Stawisza","sądecki/krakowskie","","","wieś","d"
"","Czyrna","sądecki/krakowskie","","","wieś","d"
"","Brzeźno","koniński/kaliskie","Brzeźno","Brzeźno","wieś","s"
"","Zubrze","sądecki/krakowskie","Zubrzyk","","wieś","d"
"","Wierchomla","sądecki/krakowskie","Wierchomla Wielka","","wieś","d"
"","Żegiestów","sądecki/krakowskie","Żegestów","","wieś","d"
"","Jędrzejówka","sądecki/krakowskie","Andrzejówka","","wieś","d"
"","Milik","sądecki/krakowskie","","","wieś","d"
"","Szczawnik","sądecki/krakowskie","","","wieś","d"
"","Złocko","sądecki/krakowskie","Złockie","","wieś","d"
"","Muszyna","sądecki/krakowskie","","","miasto","d"
"","Abramowice","lubelski/lubelskie","","","wieś","s"
"","Dominów","lubelski/lubelskie","","","wieś","s"
"","Głodno","koniński/kaliskie","Głodno","Głodno","wieś","s"
"","Krzynice","lubelski/lubelskie","Skrzynice","","wieś","d"
"","Śmiłów","lubelski/lubelskie","Ćmiłów","","wieś","s"
"","Wilczopole","lubelski/lubelskie","","","wieś","s"
"","Nosilsko","nowomiejski/mazowieckie","Nasielsk","","miasto","ds"
"","Świerkowo","nowomiejski/mazowieckie","","","wieś","s"
"","Słostowo","nowomiejski/mazowieckie","Słustowo","","wieś","s"
"","Lubomino","nowomiejski/mazowieckie","Lubomin","","wieś","s"
"","Łachany","nowomiejski/mazowieckie","","","wieś","s"
"","Jackowo","nowomiejski/mazowieckie","","","wieś","s"
"","Mazowo Wielkie","nowomiejski/mazowieckie","Mazewo Dworskie","","wieś","s"
"","Konin","koniński/kaliskie","Konin","Konin","miasto","k"
"","Mazowo Babie","nowomiejski/mazowieckie","Mazewko","","wieś","s"
"","Pątki","nowomiejski/mazowieckie","Pianowo-Pątki - część","","wieś","s"
"","Kędzierzawice","nowomiejski/mazowieckie","","","wieś","s"
"","Stpice-Szeligi","nowomiejski/mazowieckie","Stpice - część","","wieś","s"
"","Pianowo-Bargły","nowomiejski/mazowieckie","","","wieś","s"
"","Chmielewo Małe","nowomiejski/mazowieckie","Chmielewko","","wieś","s"
"","Kątne","nowomiejski/mazowieckie","","","wieś","s"
"","Stpice Wielkie","nowomiejski/mazowieckie","Stpice - część","","wieś","s"
"","Świeszewo-Falkowice","nowomiejski/mazowieckie","Świeszewo","","wieś","s"
"","Pianowo-Daczki","nowomiejski/mazowieckie","","","wieś","s"
"","Niezamyśl","pyzdrski/kaliskie","Zaniemyśl","","wieś","s"
"","Pianowo-Pątki","nowomiejski/mazowieckie","Pianowo-Pątki - część","","wieś","s"
"","Świeszewo Małe","nowomiejski/mazowieckie","Świeszewko","","wieś","s"
"","Adamowo","nowomiejski/mazowieckie","","","wieś","s"
"","Gutorzewo","niedzborski/płockie","Gutarzewo","","wieś","s"
"","Januszewo","gąbiński/rawskie","Januszew","","wieś","s"
"","Bieniewo","gąbiński/rawskie","Bieniew","","wieś","s"
"","Arciechowo","gąbiński/rawskie","Arciechów","","wieś","s"
"","Borzysławice","łęczycki/łęczyckie","Borysławice Kościelne - część","","wieś","s"
"","Zawadka","łęczycki/łęczyckie","Zawadka Stara","","wieś","s"
"","Złota","łęczycki/łęczyckie","","","wieś","s"
"","Jeziora Wielkie","pyzdrski/kaliskie","Jeziory Wielkie","Jeziora Wielkie","wieś","s"
"","Grodna","łęczycki/łęczyckie","","","wieś","s"
"","Barłogi","łęczycki/łęczyckie","","","wieś","s"
"","Borzysławice Zamkowe","łęczycki/łęczyckie","Borysławice Zamkowe","","wieś","s"
"","Bielawy","łęczycki/łęczyckie","Borysławice Kościelne - część","","wieś","s"
"","Krzykosy","łęczycki/łęczyckie","","","wieś","s"
"","Dąbrówka","łęczycki/łęczyckie","","","wieś","s"
"","Bystrzejowice","lubelski/lubelskie","","","wieś","s"
"","Janowice","lubelski/lubelskie","","","wieś","k"
"","Krzesimów","lubelski/lubelskie","","","wieś","s"
"","Mełgiew","lubelski/lubelskie","","","wieś","s"
"","Jeziora Małe","pyzdrski/kaliskie","Jeziory Małe","Jeziora Małe","wieś","s"
"","Minkowice","lubelski/lubelskie","","","wieś","s"
"","Starościce","lubelski/lubelskie","","","wieś","s"
"","Strzeszkowice","lubelski/lubelskie","Trzeszkowice","","wieś","s"
"","Wierzchowiska","lubelski/lubelskie","","","wieś","s"
"","Krępiec","lubelski/lubelskie","","","wieś","k"
"","Wola Gąsiecza","łukowski/lubelskie","Gąska","","wieś","s"
"","Bystrzyca","łukowski/lubelskie","","","wieś","s"
"","Oszczepalin","łukowski/lubelskie","","","wieś","s"
"","Ruda","łukowski/lubelskie","","","wieś","s"
"","Siedliska","łukowski/lubelskie","","","wieś","s"
"","Brzost","pyzdrski/kaliskie","Brzostek","Brzost","wieś","d"
"","Wola Bystrzycka","łukowski/lubelskie","","","wieś","s"
"","Wróblina","łukowski/lubelskie","Wróblina Stara","","wieś","s"
"","Chełchy-Dzierżki","makowski/mazowieckie","Chełchy Dzierskie","","wieś","s"
"","Byszewo","makowski/mazowieckie","","","wieś","d"
"","Żabino-Karniewo","makowski/mazowieckie","Żabin Karniewski","","wieś","s"
"","Chełchy Kmiece","makowski/mazowieckie","","","wieś","s"
"","Karniewo","makowski/mazowieckie","","","wieś","s"
"","Ośnica","makowski/mazowieckie","","","wieś","s"
"","Chełchy-Cibory","makowski/mazowieckie","","","wieś","s"
"","Biały Kościół","proszowicki/krakowskie","Biały Kościół - część","","wieś","s"
"","Czarnotki","pyzdrski/kaliskie","Czarnotki","Czarnotki","wieś","s"
"","Promnik","proszowicki/krakowskie","Prądnik Korzkiewski","","wieś","s"
"","Maszyce","proszowicki/krakowskie","","","wieś","s"
"","Wielga Wieś","proszowicki/krakowskie","Wielka Wieś","","wieś","k"
"","Biadaczów","proszowicki/krakowskie","Biały Kościół - część","","wieś","k"
"","Czajowice","proszowicki/krakowskie","","","wieś","s"
"","Bębel","proszowicki/krakowskie","Bębło","","wieś","k"
"","Wierzchowice","proszowicki/krakowskie","","","wieś","k"
"","Linino","czerski/mazowieckie","Linin","","wieś","d"
"","Pęcław","czerski/mazowieckie","","","wieś","s"
"","Potycz","czerski/mazowieckie","","","wieś","s"
"","Kotowo","pyzdrski/kaliskie","Grodzewo-część","Grodzewo","wieś","s"
"","Konarzewo","pyzdrski/kaliskie","Konarzew","","wieś","s"
"","Kołdrąb","gnieźnieński/kaliskie","Kołdrąb","Kołdrąb","wieś","s"
"","Caniewo","czerski/mazowieckie","Coniew","","wieś","k"
"","Czersk","czerski/mazowieckie","","","miasto","k"
"","Kosomec","czerski/mazowieckie","Kosumce","","wieś","k"
"","Tatary","czerski/mazowieckie","","","wieś","k"
"","Leśniki","czerski/mazowieckie","Królewski Las","","wieś","k"
"","Góra","czerski/mazowieckie","Góra Kalwaria","","wieś","s"
"","Lubkowo","czerski/mazowieckie","Lipków","","wieś","s"
"","Milkowlas","czerski/mazowieckie","Mikówiec","","wieś","s"
"","Moczydłowo","czerski/mazowieckie","Moczydłów","","wieś","s"
"","Wola Załęska","czerski/mazowieckie","Wólka Dworska","","wieś","s"
"","Dąbrowa","pyzdrski/kaliskie","Dąbrowa","Dąbrowa","wieś","s"
"","Glinki","czerski/mazowieckie","","","wieś","s"
"","Jelita","czerski/mazowieckie","Kępa Gliniecka","","wieś","s"
"","Ostrów","czerski/mazowieckie","Ostrówek","","wieś","s"
"","Machnatka","grójecki/mazowieckie","","","wieś","s"
"","Trzelatkowo Wielkie","grójecki/mazowieckie","Trtzylatków Duży","","wieś","s"
"","Trzelatkowo Małe","grójecki/mazowieckie","Trzylatków Mały","","wieś","s"
"","Lipie","grójecki/mazowieckie","","","wieś","s"
"","Głodna","grójecki/mazowieckie","","","wieś","s"
"","Goliany","grójecki/mazowieckie","","","wieś","s"
"","Golianki","grójecki/mazowieckie","","","wieś","s"
"","Kaleje","pyzdrski/kaliskie","Kaleje","Kaleje","wieś","s"
"","Konopnica","lubelski/lubelskie","","","wieś","m"
"","Radawiec","lubelski/lubelskie","Radawiec Duży","","wieś","s"
"","Radawczyk","lubelski/lubelskie","","","wieś","s"
"","Uniszowice","lubelski/lubelskie","","","wieś","s"
"","Kaliszany","lubelski/lubelskie","","","wieś","s"
"","Głodno","lubelski/lubelskie","","","wieś","s"
"","Janiszów","lubelski/lubelskie","","","wieś","s"
"","Piotrawin","lubelski/lubelskie","","","wieś","d"
"","Grębienice","opoczyński/sandomierskie","Grębenice","","wieś","s"
"","Wierzchowiska","opoczyński/sandomierskie","Wierzchowisko","","wieś","s"
"","Luboniec","pyzdrski/kaliskie","Luboniec","Luboniec","wieś","s"
"","Soczewki","opoczyński/sandomierskie","Soczówki","","wieś","s"
"","Sworzyce","opoczyński/sandomierskie","","","wieś","s"
"","Malików","opoczyński/sandomierskie","Malków","","wieś","d"
"","Bedlno","opoczyński/sandomierskie","","","wieś","s"
"","Koliszowy","opoczyński/sandomierskie","","","wieś","s"
"","Głupiów","opoczyński/sandomierskie","","","wieś","s"
"","Przybyszowy","opoczyński/sandomierskie","","","wieś","s"
"","Dęba","opoczyński/sandomierskie","","","wieś","s"
"","Trzemeszna","opoczyński/sandomierskie","Trzemoszna","","wieś","s"
"","Bedlenko","opoczyński/sandomierskie","","","wieś","s"
"","Luciny","pyzdrski/kaliskie","Luciny","Luciny","wieś","s"
"","Siemianowo","gostyniński/rawskie","Siemianów","","wieś","s"
"","Klonowiec Stary","gostyniński/rawskie","Klonowiec Chłopski","","wieś","s"
"","Głogowiec","gostyniński/rawskie","","","wieś","s"
"","Raciborowo","gostyniński/rawskie","Raciborów","","wieś","s"
"","Raciborówko","gostyniński/rawskie","Wola Raciborowska","","wieś","s"
"","Klonowiec Nowy","gostyniński/rawskie","Klonowiec Szlachecki","","wieś","s"
"","Kroczyce","lelowski/krakowskie","","","wieś","k"
"","Lgota Wielka","lelowski/krakowskie","Lgota Murowana","","wieś","s"
"","Przyłupsko","lelowski/krakowskie","Przyłubsko","","wieś","s"
"","Siemieszyce","lelowski/krakowskie","Siemięrzyce","","wieś","ks"
"","Zwola","pyzdrski/kaliskie","Zwola","Zwola","osada młyńska","s"
"","Lgota Mała","lelowski/krakowskie","Lgotka","","wieś","s"
"","Podlesice","lelowski/krakowskie","","","wieś","ks"
"","Koskowice","lelowski/krakowskie","Kostkowice","","wieś","s"
"","Iłów","gąbiński/rawskie","","","miasto","s"
"","Załuskowo Wielkie","gąbiński/rawskie","Załusków","","wieś","s"
"","Pieczyska Wielkie","gąbiński/rawskie","Pieczyska Iłowskie","","wieś","s"
"","Wola Iłowska","gąbiński/rawskie","Przemysłów","","wieś","s"
"","Pieczyska Małe","gąbiński/rawskie","Pieczyska Łowickie","","wieś","s"
"","Oborki","gąbiński/rawskie","Obory","","wieś","s"
"","Panek","lelowski/krakowskie","Panki","","kuźnica","k"
"","Parniczewo","pyzdrski/kaliskie","","","folwark","s"
"","Trzcianka","lelowski/krakowskie","","","wieś","k"
"","Kawka","lelowski/krakowskie","Kawki","","kuźnica","k"
"","Truskolasy","lelowski/krakowskie","","","wieś","k"
"","Piła","lelowski/krakowskie","Piła Pierwsza","","kuźnica","k"
"","Huta","lelowski/krakowskie","Hutka","","huta szkła","k"
"","Złochowice","lelowski/krakowskie","","","wieś","k"
"","Opatów","lelowski/krakowskie","","","wieś","k"
"","Iwanowice","lelowski/krakowskie","Iwanowice Duże","","wieś","k"
"","Walenczów","lelowski/krakowskie","","","wieś","k"
"","Mokra","lelowski/krakowskie","","","wieś","d"
"","Brzostowo","pyzdrski/kaliskie","Brzostów","Brzostów","wieś","s"
"","Rębielice","lelowski/krakowskie","Rębielice Królewskie","","wieś","k"
"","Zagórze","lelowski/krakowskie","Kłobuck-Zagórze","","wieś","k"
"","Kłobucko","lelowski/krakowskie","Kłobuck","","miasto","k"
"","Zakrzów","lelowski/krakowskie","Kłobuck-Zakrzew","","wieś","k"
"","Łobodna","lelowski/krakowskie","Łobodno","","wieś","k"
"","Grodzisko","lelowski/krakowskie","","","wieś","k"
"","Lubiedza","lelowski/krakowskie","Libidza","","wieś","s"
"","Kamyk","lelowski/krakowskie","","","wieś","s"
"","Pierszne","lelowski/krakowskie","Pierzchno","","wieś","ks"
"","Lgota","lelowski/krakowskie","","","wieś","d"
"","Parzynczewo","pyzdrski/kaliskie","Parzęczew","Parzęczew","wieś","s"
"","Szarlejka","lelowski/krakowskie","","","wieś","d"
"","Kaleja","lelowski/krakowskie","Kalej","","wieś","d"
"","Ławy","lelowski/krakowskie","Łojki","","kuźnica","k"
"","Wręczyce","lelowski/krakowskie","Wręczyca Mała, Wręczyca Wielka","","wieś","k"
"","Ostrówek","orłowski/łęczyckie","Świące","","wieś","d"
"","Strugienice","orłowski/łęczyckie","","","wieś","d"
"","Zwierzynowice","orłowski/łęczyckie","Wierznowice","","wieś","d"
"","Zduny","orłowski/łęczyckie","Zduny, Zduny Kościelne","","wieś","d"
"","Szymanowice","orłowski/łęczyckie","","","wieś","d"
"","Maurzyce","orłowski/łęczyckie","","","wieś","d"
"","Łobez","pyzdrski/kaliskie","Łobez","Łobez","wieś","s"
"","Jackowice","orłowski/łęczyckie","Jackowice - część","","wieś","d"
"","Jackowice Małe","orłowski/łęczyckie","Jackowice - część","","wieś","s"
"","Łaźniki","orłowski/łęczyckie","","","wieś","d"
"","Wyszynka Mniowska","opoczyński/sandomierskie","Wyszyna Rudzka","","wieś","s"
"","Wola Wyszyńska","opoczyński/sandomierskie","Wyszyna Fałkowska","","wieś","s"
"","Młotkowice","opoczyński/sandomierskie","","","wieś","s"
"","Skucin","opoczyński/sandomierskie","Szkucin","","wieś","s"
"","Machorowska","opoczyński/sandomierskie","","","wieś","s"
"","Lipa","opoczyński/sandomierskie","","","wieś","s"
"","Jakimowice","opoczyński/sandomierskie","","","wieś","s"
"","Zalesie","pyzdrski/kaliskie","Zalesie","Zalesie","wieś","s"
"","Ruda Bestwińska","pyzdrski/kaliskie","Ruda","Ruda","kuźnica","s"
"","Nowa Wieś – Pstrągowa","pilzneński/sandomierskie","Nowa Wieś Czudecka","","wieś","s"
"","Czudecz","pilzneński/sandomierskie","Czudec","","wieś","s"
"","Babica","pilzneński/sandomierskie","","","wieś","s"
"","Zaborowie","pilzneński/sandomierskie","Zaborów","","wieś","s"
"","Wyrznie","pilzneński/sandomierskie","Wyżne","","wieś","s"
"","Baboszewo","płoński/płockie","","","wieś","s"
"","Rzewnino","płoński/płockie","Rzewin","","wieś","s"
"","Cieszkowo","płoński/płockie","","","wieś","d"
"","Chrościno","płoński/płockie","Krościn","","wieś","d"
"","Sokolniki","płoński/płockie","Sokolniki","","wieś","s"
"","Góra","pyzdrski/kaliskie","Góra","Góra","wieś","s"
"","Mystkowo-Pobodzany","płoński/płockie","Mystkowo-Pobodze","","wieś","s"
"","Mystkowo-Bzury","płoński/płockie","Mystkowo","","wieś","s"
"","Mystkowo-Grzymki","płoński/płockie","","","wieś","s"
"","Brzeście","płoński/płockie","Brzeście Szlacheckie","","wieś","s"
"","Kowale","płoński/płockie","","","wieś","s"
"","Maława","płoński/płockie","","","wieś","s"
"","Marszewa","płoński/płockie","Sokolniki Nowe","","wieś","s"
"","Zbyszyno-Reszki","płoński/płockie","","","wieś","s"
"","Zbyszyno","płoński/płockie","Zbyszyno Wielkie","","wieś","s"
"","Rcylino","płoński/płockie","Arcelin","","wieś","s"
"","Biejatki","pyzdrski/kaliskie","Biadki","Biadki","wieś","s"
"","Korzybie-Czerwonki","płoński/płockie","","","wieś","s"
"","Korzybie Witkowe","płoński/płockie","Korzybie Małe","","wieś","s"
"","Korzybie Wielkie","płoński/płockie","Korzybie Duże","","wieś","s"
"","Kruszewie","płoński/płockie","Korzybie-Kruszewie","","wieś","s"
"","Biadoliny","pilzneński/sandomierskie","Biadoliny Radłowskie","","wieś","ds"
"","Mikołajowice","pilzneński/sandomierskie","","","wieś","s"
"","Łętowice","pilzneński/sandomierskie","","","wieś","d"
"","Bachowice*","pilzneński/sandomierskie","Dębina Łętowska","","wieś","d"
"","Sierachowice","pilzneński/sandomierskie","","","wieś","s"
"","Zakrzów","pilzneński/sandomierskie","","","wieś","s"
"","Smuszewo","pyzdrski/kaliskie","Smuszew","","wieś","s"
"","Łukanowice","pilzneński/sandomierskie","","","wieś","s"
"","Boguria","orłowski/łęczyckie","Bogoria","","wieś","d"
"","Bąkowo","orłowski/łęczyckie","Bąków Dolny, Bąków Górny","","wieś","d"
"","Dębowa Góra","orłowski/łęczyckie","","","wieś","s"
"","Ostoja","orłowski/łęczyckie","Emilianów","","wieś","s"
"","Rząśno","orłowski/łęczyckie","","","wieś","d"
"","Wiskitnica","orłowski/łęczyckie","Wiskienica","","wieś","d"
"","Secygniów","proszowicki/krakowskie","Sancygniów","","wieś","s"
"","Biedrzychowice","proszowicki/krakowskie","Biedrzykowice","","wieś","s"
"","Irzykowice","proszowicki/krakowskie","Iżykowice","","wieś","s"
"","Brzoza","pyzdrski/kaliskie","Brzoza","","pustka","s"
"","Opatkowice","proszowicki/krakowskie","","","wieś","s"
"","Zwierzyniec","proszowicki/krakowskie","Kraków-Zwierzyniec","","wieś","d"
"","Wola","proszowicki/krakowskie","Kraków-Wola Justowska","","wieś","s"
"","Przegorzały","proszowicki/krakowskie","Kraków-Przegorzały","","wieś","d"
"","Bielany","proszowicki/krakowskie","Kraków-Bielany","","wieś","s"
"","Chełm","proszowicki/krakowskie","Kraków-Chełm","","wieś","s"
"","Podchełmie","proszowicki/krakowskie","Kraków-Zakamycze","","folwark","s"
"","Olszenica","proszowicki/krakowskie","Kraków-Olszanica","","wieś","d"
"","Krążkowy","ostrzeszowski/sieradzkie","","","wieś","s"
"","Kępno","ostrzeszowski/sieradzkie","","","wieś","s"
"","Kobierno","pyzdrski/kaliskie","Kobierno","Kobierno","wieś","s"
"","Baranów","ostrzeszowski/sieradzkie","","","miasto","s"
"","Grębanin","ostrzeszowski/sieradzkie","","","wieś","s"
"","Łęka","ostrzeszowski/sieradzkie","Łęka Mroczeńska","","wieś","s"
"","Raciborowice","proszowicki/krakowskie","Raciborowice - część","","wieś","d"
"","Kantorowice","proszowicki/krakowskie","Kraków-Kantorowice","","wieś","d"
"","Zysławice","proszowicki/krakowskie","Kraków-Zesławice","","wieś","d"
"","Mistrzowice","proszowicki/krakowskie","Kraków-Mistrzejowice","","wieś","d"
"","Bieńczyce","proszowicki/krakowskie","Kraków-Bieńczyce","","wieś","d"
"","Batowice","proszowicki/krakowskie","","","wieś","d"
"","Dziekanowice","proszowicki/krakowskie","","","wieś","d"
"","Tomice","pyzdrski/kaliskie","Tomice","Tomice","wieś","s"
"","Węgrce","proszowicki/krakowskie","Węgrzce","","wieś","d"
"","Kuńczyce","proszowicki/krakowskie","Kończyce","","wieś","s"
