"מַפָּה","שם המאה ה-16","מחוז/מחוז","שם מודרני","שם במילון ההיסטורי והגיאוגרפי","אופי היישוב","סוג הבעלות"
"","Ostrowite Arcybiskupie","gnieźnieński/kaliskie","Ostrowite Prymasowskie","Ostrowite","wieś","d"
"","Boby","makowski/mazowieckie","","","wieś","d"
"","Czarnostowo","makowski/mazowieckie","Czarnostów","","wieś","d"
"","Dzierżanowo","makowski/mazowieckie","","","wieś","ds"
"","Głodki","makowski/mazowieckie","","","wieś","s"
"","Głodowo","makowski/mazowieckie","","","wieś","d"
"","Gościejewo","makowski/mazowieckie","","","wieś","d"
"","Kownaty-Chełchy","makowski/mazowieckie","Kownaty","","wieś","s"
"","Pomaski Wielkie","makowski/mazowieckie","","","wieś","s"
"","Pomaski-Sikuty","makowski/mazowieckie","","","wieś","s"
"","Zelki Dąbrowne","makowski/mazowieckie","Zelki-Dąbrowe","","wieś","s"
"","Jerzykowo","gnieźnieński/kaliskie","Jerzykowo","Jerzykowo","wieś","d"
"","Pomaski-Jałbrzyki*","makowski/mazowieckie","","","wieś","s"
"","Pilchy","łęczycki/łęczyckie","Pilichy","","wieś","s"
"","Borowo","łęczycki/łęczyckie","Borów - część","","wieś","s"
"","Zieleniewo","łęczycki/łęczyckie","Borów - część","","wieś","s"
"","Chorki","łęczycki/łęczyckie","","","wieś","s"
"","Golbice","łęczycki/łęczyckie","","","wieś","s"
"","Siemszyce","łęczycki/łęczyckie","","","wieś","s"
"","Pruszki-Pikacie","łęczycki/łęczyckie","Piekacie","","wieś","s"
"","Pruszki-Madeje","łęczycki/łęczyckie","Pruszki - część","","wieś","s"
"","Pruszki Wrześnie*","łęczycki/łęczyckie","Pruszki - część","","wieś","s"
"","Raszewo","gnieźnieński/kaliskie","Raszewo","Raszewo","wieś","d"
"","Gębarzewko","gnieźnieński/kaliskie","Gębarzewko","Gębarzewo Małe","wieś","s"
"","Dąbie","łęczycki/łęczyckie","","","wieś","s"
"","Garbalino","łęczycki/łęczyckie","Garbalin","","wieś","s"
"","Siedlec","łęczycki/łęczyckie","","","wieś","s"
"","Krężelewice","łęczycki/łęczyckie","","","wieś","s"
"","Gnieździska","chęciński/sandomierskie","","","wieś","k"
"","Skorków","chęciński/sandomierskie","Skórków","","wieś","k"
"","Zajączków","chęciński/sandomierskie","","","wieś","k"
"","Rudniki","chęciński/sandomierskie","Wesoła-Ruda","","folwark","k"
"","Cieśle","chęciński/sandomierskie","","","wieś","k"
"","Leśnica","chęciński/sandomierskie","","","wieś","k"
"","Skorzęcino","gnieźnieński/kaliskie","Skorzęcin","Skorzęcin","wieś","d"
"","Małogoszcz","chęciński/sandomierskie","","","miasto","k"
"","Lasochów","chęciński/sandomierskie","","","wieś","s"
"","Bocheniec","chęciński/sandomierskie","","","młyn","k"
"","Boczki","łęczycki/łęczyckie","","","wieś","s"
"","Tymienica","łęczycki/łęczyckie","","","wieś","ks"
"","Skotniki","łęczycki/łęczyckie","","","wieś","s"
"","Nieśmierz","łęczycki/łęczyckie","Leśmierz","","wieś","s"
"","Jambrożewo","łęczycki/łęczyckie","Ambrożew","","wieś","d"
"","Karsznice","łęczycki/łęczyckie","","","wieś","s"
"","Mchowice","łęczycki/łęczyckie","","","wieś","d"
"","Ćwierdzino","gnieźnieński/kaliskie","Ćwierdzin","Ćwierdzin","wieś","s"
"","Mysłówka","łęczycki/łęczyckie","","","wieś","s"
"","Czerników","łęczycki/łęczyckie","","","wieś","s"
"","Górki","łęczycki/łęczyckie","Górki Łubnickie - część","","wieś","s"
"","Żabokrzeki","łęczycki/łęczyckie","","","wieś","s"
"","Morakowo","łęczycki/łęczyckie","Moraków","","wieś","d"
"","Kosino","łęczycki/łęczyckie","Kosin","","wieś","d"
"","Bogdanczewo","łęczycki/łęczyckie","Bogdańczew","","wieś","s"
"","Mirczyno","łęczycki/łęczyckie","Mierczyn","","wieś","s"
"","Kosiorowo","łęczycki/łęczyckie","Kosiorów","","wieś","s"
"","Góra","łęczycki/łęczyckie","Góra Świętej Małgorzaty","","wieś","d"
"","Wierzchowiska","gnieźnieński/kaliskie","Wierzchowiska","Wierzchowiska","wieś","s"
"","Podgórzyce","łęczycki/łęczyckie","","","wieś","d"
"","Bryski","łęczycki/łęczyckie","","","wieś","d"
"","Gaj","łęczycki/łęczyckie","Gaj Stary","","wieś","s"
"","Sługi","łęczycki/łęczyckie","","","wieś","d"
"","Ojrzyszewice","łęczycki/łęczyckie","Orszewice","","wieś","d"
"","Komaszyce","łęczycki/łęczyckie","Witaszewice - część","","wieś","s"
"","Zagaj","łęczycki/łęczyckie","Zagaj Stary","","wieś","s"
"","Rogulice","łęczycki/łęczyckie","","","wieś","s"
"","Łętkowo","łęczycki/łęczyckie","Łętków","","wieś","s"
"","Głupiewo","łęczycki/łęczyckie","Czarnopole","","wieś","s"
"","Sokołowo","gnieźnieński/kaliskie","Sokołowo","Sokołowo","wieś","d"
"","Jedlcza","ksiąski/krakowskie","Jelcza","","wieś","s"
"","Tczyca","ksiąski/krakowskie","","","wieś","s"
"","Swojczany","ksiąski/krakowskie","","","wieś","s"
"","Charsznica","ksiąski/krakowskie","","","wieś","s"
"","Wierzbie","ksiąski/krakowskie","","","wieś","k"
"","Wola Niezabitowska","lubelski/lubelskie","","","wieś","s"
"","Batłomiejowice","lubelski/lubelskie","","","wieś","k"
"","Boguchwałowice","lubelski/lubelskie","Buchałowice","","wieś","s"
"","Bronice","lubelski/lubelskie","","","wieś","s"
"","Celejów","lubelski/lubelskie","","","wieś","s"
"","Kinno","gnieźnieński/kaliskie","Kinno","Kijno","wieś","s"
"","Charz","lubelski/lubelskie","","","wieś","k"
"","Drzewca","lubelski/lubelskie","Drzewce","","wieś","s"
"","Karmanowice","lubelski/lubelskie","","","wieś","s"
"","Kębło","lubelski/lubelskie","","","wieś","k"
"","Kowale","lubelski/lubelskie","Kowala","","wieś","s"
"","Niezabitów","lubelski/lubelskie","","","wieś","s"
"","Opatki","lubelski/lubelskie","Łopatki","","wieś","s"
"","Piotrowice","lubelski/lubelskie","Piotrowice Małe","","wieś","s"
"","Rąblów","lubelski/lubelskie","","","wieś","s"
"","Rogalów","lubelski/lubelskie","","","wieś","k"
"","Żeleźnica","gnieźnieński/kaliskie","Gaj","Żeleźnica","wieś","d"
"","Sokołów*","lubelski/lubelskie","","","wieś","s"
"","Wąwolnica","lubelski/lubelskie","","","miasto","k"
"","Wola Kowalska","lubelski/lubelskie","","","wieś","s"
"","Zawada","lubelski/lubelskie","","","wieś","k"
"","Pankraczowice","lubelski/lubelskie","Kraczewice","","wieś","s"
"","Góra","lubelski/lubelskie","Zgórzyńskie","","wieś","s"
"","Chodów","ksiąski/krakowskie","","","wieś","d"
"","Nowa Wieś","łęczycki/łęczyckie","","","wieś","s"
"","Radzeń","łęczycki/łęczyckie","Radzyń - część","","wieś","s"
"","Piotrkówko","łęczycki/łęczyckie","Radzyń - część","","wieś","s"
"","Dąbroszyno","koniński/kaliskie","Dąbroszyn","Dąbroszyn","wieś","s"
"","Rycerzewo","łęczycki/łęczyckie","Rycerzew","","wieś","s"
"","Rdułtów","łęczycki/łęczyckie","Rdutów","","wieś","d"
"","Turzynowo","łęczycki/łęczyckie","Turzynów","","wieś","s"
"","Boguszki+","łęczycki/łęczyckie","","","wieś","s"
"","Koczawia","łęczycki/łęczyckie","Kocewia Mała","","wieś","d"
"","Domanikowo-Bowiczyny","łęczycki/łęczyckie","Bowyczyny","","wieś","s"
"","Domanikowo Małe","łęczycki/łęczyckie","Gąsiory","","wieś","s"
"","Domanikowo Wielkie","łęczycki/łęczyckie","Domaników","","wieś","s"
"","Sierzputy Stare","łomżyński/mazowieckie","","","wieś","s"
"","Ośnik","łomżyński/mazowieckie","Uśnik","","wieś","d"
"","Jaroszewice Wielkie","koniński/kaliskie","Jaroszewice Rychwalskie","Jaroszewice Wielkie","wieś","s"
"","Czaplice Osobne","łomżyński/mazowieckie","Osobne","","wieś","s"
