id_miejscowosci,nazwa_wspolczesna,nazwa_16w,charakter_osady,rodzaj_wlasnosci,powiat_p,woj_p,wielkosc_karto,lat,lon
Abramowice_scz_krk,Szczyrzyc - część,Abramowice,wieś,d,szczyrzycki,krakowskie,mała,49.7916367060000624,20.1944381890000209
Krolewo_mlb_mlb,Królewo,Königsdorf,wieś,k,malborski,malborskie,mała,54.0441558216148081,19.1392760656538918
Zagawki_kam_maz,Adelin,Zagawki,wieś,k,kamieniecki,mazowieckie,mała,52.4975819640000765,21.4565734740000806
Adamowo_wrk_maz,Adamów,Adamowo,wieś,s,warecki,mazowieckie,mała,51.7235025800000727,21.3036025310001413
Lag_tch_pmr,Łąg,Łąg,wieś,k,tucholski,pomorskie,mała,53.8281075935629758,18.0704737729641138
Bartodzieje_rdm_rds_srd,Bartodzieje Włościańskie,Bartodzieje,wieś,s,radomszczański,sieradzkie,mała,51.0865324890000281,19.4543594750000253
Beldowo_lcz_lcz,Bełdów - część,Bełdowo,wieś,s,łęczycki,łęczyckie,mała,51.8241242440000462,19.1890399840000292
Bialki_II_stz_snd,Białki Dolne and Białki Górne,Białki II,wieś,s,stężycki,sandomierskie,mała,51.5879374500001475,22.0730463110008444
Bialkowo_plc_plc,Białkowo,Białkowo,wieś,d,płocki,płockie,mała,52.5478570606550051,19.8421512360908743
Bialobrzeg_I_osl_maz,Białobrzeg Bliższy,Białobrzeg I,wieś,s,ostrołęcki,mazowieckie,mała,53.1067408130000089,21.4807073559999431
Bialocin_ptr_srd,,Białocin,wieś,s,piotrkowski,sieradzkie,mała,51.2808608269999908,19.6188101770000607
Bestwiszowa_bck_krk,Bistuszowa,Bestwiszowa,wieś,s,biecki,krakowskie,mała,49.8822781460000115,21.0988841430002303
Biszewo_drh_pdl,Biszewo,Biszewo,wieś,s,drohicki,podlaskie,mała,52.5526676922220872,22.8069940156543538
Blizin_opc_snd,Bliżyn,Blizin,wieś,s,opoczyński,sandomierskie,mała,51.1081870990000695,20.7561364190000788
Bobino_Wielkie_Chrzczony_prz_maz,Bobino Wielkie,Bobino Wielkie-Chrzczony,wieś,s,przasnyski,mazowieckie,mała,53.0385442400000784,21.0670727070000758
Chycza_Mala_llw_krk,Chycza,Chycza Mała,wieś,s,lelowski,krakowskie,mała,50.7005663190000817,20.0600806450000633
Czaplice_Dobki_prz_maz,Czaplice-Wielkie,Czaplice-Dobki,wieś,s,przasnyski,mazowieckie,mała,53.2023386140000056,20.8573084850000541
Czarna_rdm_snd,,Czarna,wieś,s,radomski,sandomierskie,mała,51.4244224810001072,21.4361739450002808
Czarnocin_ndz_plc,Czarnocin,Czarnocino,wieś,s,niedzborski,płockie,mała,52.9103802714325155,20.3851018092013128
Ondy_Czarnowo_zmb_maz,Undy-Czarnowo,Ondy-Czarnowo,wieś,s,zambrowski,mazowieckie,mała,53.0257384080003078,22.4305708039995615
Dabrowno_llw_krk,,Dąbrowno,wieś,s,lelowski,krakowskie,mała,50.6729169820000536,19.544118320000095
Dabrowka_now_pmr,Dąbrówka,Dąbrówka,wieś,s,nowski,pomorskie,mała,53.7328260624912772,18.752461451736508
Dabrowka_sko_opc_snd,,Dąbrówka,wieś,s,opoczyński,sandomierskie,mała,51.2467508650000454,19.9506861550000636
Dabrowka_crk_scz_krk,,Dąbrówka,wieś,k,szczyrzycki,krakowskie,mała,50.0373697400000239,20.5557871810000847
Dabrowki_Sieprskie_sie_plc,Dąbrówki,Dąbrówki Sieprskie,wieś,s,sierpecki,płockie,mała,52.8713411888449656,19.7169686155093729
Dabrowka_Warsz_rdm_snd,Dąbrówka Warszawska,Dąbrówka-Warsz,wieś,s,radomski,sandomierskie,mała,51.2865079660000518,21.1016359670001172
Deba_opc_snd,,Dęba,wieś,s,opoczyński,sandomierskie,mała,51.1631584080000437,20.2649827730000816
Blota_wrs_maz,Warszawa-Błota,Błota,wieś,d,warszawski,mazowieckie,mała,52.152671348000041,21.1875567370001505
Bobrowniki_chc_snd,,Bobrowniki,wieś,s,chęciński,sandomierskie,mała,50.9690048340000175,19.84223183300006
Bobrowniki_swr_swr,,Bobrowniki,wieś,s,księstwo siewierskie,księstwo siewierskie,mała,50.3792229030000485,18.9888412720000268
Bochlin_Szlachecki_now_pmr,Bochlin,Bochlino,wieś,s,nowski,pomorskie,mała,53.6723036300722356,18.727502461177167
Bochotnica_kaz_lub_lub,,Bochotnica,wieś,s,lubelski,lubelskie,mała,51.3393847733967448,21.9930852630565994
Boczki_Zarzeczne_orl_lcz,,Boczki Zarzeczne,wieś,s,orłowski,łęczyckie,mała,52.0224075150000189,19.6643456880000471
Paszyn_sdc_krk,,Paszyn,wieś,m,sądecki,krakowskie,mała,49.6264559480000642,20.7801775490000367
Boguslawice_snd_snd,,Bogusławice,wieś,s,sandomierski,sandomierskie,mała,50.8406863850000619,21.4181925980003491
Boiska_rdm_snd,,Boiska,wieś,d,radomski,sandomierskie,mała,51.1760085120000952,21.7618676650005796
Bolan_prs_krk,Bosutów - część,Bolań,wieś,s,proszowicki,krakowskie,mała,50.1303840300001156,19.9830457800000509
Debe_ltw_gar_maz,Dębe Małe,Dębe,wieś,s,garwoliński,mazowieckie,mała,52.0099729280001171,21.7595838830003352
Debe_mns_gar_maz,Dębe Wielkie,Dębe,wieś,k,garwoliński,mazowieckie,duża,52.1967858920000367,21.4398599150001097
Borow_snd_snd,,Borów,osada folwarczna,s,sandomierski,sandomierskie,,50.5933766780000838,21.7043268680007486
Bolemowska_Wies_sch_raw,Bolimowska Wieś,Bolemowska Wieś,wieś,k,sochaczewski,rawskie,duża,52.0836923990000784,20.1862216070000322
Bonikowo_ksc_pzn,Bonikowo,Bonikowo,wieś,k,kościański,poznańskie,duża,52.1262713977216308,16.6316578039765126
Branina_wsl_snd,Bronina,Branina,wieś,d,wiślicki,sandomierskie,mała,50.4657011190000517,20.7609840460000292
Facimiechy_sls_krk,Facimiech,Facimiechy,wieś,d,śląski,krakowskie,mała,49.9724907240000462,19.7196577540000071
Falecino_wsg_maz,Falęcin,Falęcino,wieś,s,wyszogrodzki,mazowieckie,mała,52.6098045080000745,20.1353721870000584
Faszcze_Jablon_zmb_maz,Faszcze,Faszcze-Jabłoń,wieś,s,zambrowski,mazowieckie,mała,52.9457201330002505,22.3643571709996714
Filochy_Milan_osl_maz,Filochy-Milen,Filochy-Milan,wieś,s,ostrołęcki,mazowieckie,mała,52.9878290950000874,21.8338508400000144
Galazki_Dluzniewo_lom_maz,Gałązki,Gałązki-Dłużniewo,wieś,s,łomżyński,mazowieckie,mała,53.1462130510001316,21.9752617949998275
Galkow_Wielki_brz_lcz,"Gałków Duży, Gałków Mały",Gałków Wielki,wieś,d,brzeziński,łęczyckie,duża,51.7285333000000094,19.7261227000000474
Garbatka_pzn_pzn,Garbatka,Garbatka,wieś,k,poznański,poznańskie,mała,52.7417826755752017,16.9625657710745443
Gudosy_nur_maz,Godlewo-Gudosze,Gudosy,wieś,s,nurski,mazowieckie,mała,52.7600514860002221,22.2831468369999577
Ogony_rpn_dbr,,Paprotki-Ogony,wieś,s,rypiński,ziemia dobrzyńska,,,
Godlewo_Warsze_nur_maz,,Godlewo-Warsze,wieś,s,nurski,mazowieckie,mała,52.7242721040002777,22.3010530010000387
Bolikow_wln_srd,Bolków,Bolików,wieś,s,wieluński,sieradzkie,mała,51.3217982300000415,18.6160016380000286
Borowy_rds_srd,Borowiec,Borowy,osada młyńska,k,radomszczański,sieradzkie,,51.0444251899999983,19.1604280610000899
Ruda_lpn_dbr,,Rudny,osada młyńska,s,lipnowski,ziemia dobrzyńska,,52.8857385309842059,19.3841453403861266
Branczyce_ndz_prs_krk,Brończyce,Brańczyce,wieś,d,proszowicki,krakowskie,mała,50.2322249600000674,20.1221014810000334
Brudno_lub_lub,,Brudno,wieś,s,lubelski,lubelskie,mała,51.6251494320007609,22.8542838060034299
Wola_Brzeska_wrk_maz,Brzeska Wola,Wola Brzeska,wieś,s,warecki,mazowieckie,mała,51.613578476000022,21.0248023340000891
Godziszewy_rpn_dbr,Godziszewy,Godziszewy,wieś,s,rypiński,ziemia dobrzyńska,duża,53.0595966085323667,19.473229871988913
Goleszow_plz_snd,,Goleszów,wieś,s,pilzneński,sandomierskie,mała,50.2384699440000304,21.4517118330004415
Golab_rud_lub_lub,,Gołąb,wieś,s,lubelski,lubelskie,mała,51.4961389740003312,22.3758658420016729
Kaki_Mroczki_prz_maz,,Kaki-Mroczki,wieś,s,przasnyski,mazowieckie,mała,53.130913787000047,20.8879015050000625
Kalen_ptr_srd,,Kaleń,wieś,s,piotrkowski,sieradzkie,mała,51.4876741660000619,19.8947078210000257
Kalina_kal_kss_krk,Kalina Wielka,Kalina,wieś,s,ksiąski,krakowskie,duża,50.3833583300000569,20.161100631000032
Kaliszkowice_ost_srd,Kaliszkowice Ołobockie,Kaliszkowice,wieś,d,ostrzeszowski,sieradzkie,mała,51.5477285240000427,18.0459026140000489
Wola_Kamienska_opc_snd,Kamienna Wola,Wola Kamieńska,wieś,s,opoczyński,sandomierskie,mała,51.5192055450000481,20.5214288550000781
Brzozowiec_scz_krk,Brzesko-Brzezowiec,Brzozowiec,wieś,s,szczyrzycki,krakowskie,mała,49.9762175910000934,20.6242204790000478
Nowinki_mlb_mlb,Tujsk-część,Neudorf,wieś,k,malborski,malborskie,mała,54.2745059561273919,19.140092266918046
Budzyno_Walendzieta_mak_maz,,Budzyno-Walendzięta,wieś,s,makowski,mazowieckie,mała,52.8955766360000084,21.0909650990000443
Ploskie_Swiechy_prz_maz,Święchy Płoskie,Płoskie Święchy,wieś,s,przasnyski,mazowieckie,mała,53.2632165410000624,20.7360658280000791
Bukowie_kcn_kls,Bukowiec,Bukowie,wieś,d,kcyński,kaliskie,mała,52.8596240261044841,17.2375784747380223
Bukowo_pzn_pzn,Bukowo,Bukwolt,wieś,s,poznański,poznańskie,mała,53.1003988182837361,16.2027128546503931
Kamionka_plz_snd,,Kamionka,wieś,k,pilzneński,sandomierskie,mała,50.1473006000000652,21.6683644670007851
Orly_drh_pdl,,Orły,wieś,s,drohicki,podlaskie,,,
Ruda_Katy_lub_lub,Karolówka,Ruda Kąty,osada kuźnicza,s,lubelski,lubelskie,,50.6149147730005851,22.7061521790056666
Karwowo_Wszebory_rdz_maz,,Karwowo-Wszebory,wieś,s,radziłowski,mazowieckie,duża,53.3270374010002399,22.3233744189992862
Kasinka_scz_krk,Kasinka Mała,Kasinka,wieś,k,szczyrzycki,krakowskie,mała,49.7199710200000666,20.0490624040000434
Stary_Klasztor_ksc_pzn,Kaszczor,Stary Klasztor,wieś,d,kościański,poznańskie,mała,51.9583535518008688,16.1605956070176653
Wola_Kaszowska_rdm_snd,Kaszewska Wola,Wola Kaszowska,wieś,s,radomski,sandomierskie,mała,51.5129143010000803,20.9196725450000436
Bryczynka_Gorna_scz_krk,Brzyczyna - część,Bryczynka Górna,wieś,s,szczyrzycki,krakowskie,mała,49.9590562870000383,19.8788436960000325
Brzeszczki_bck_krk,Brzyszczki,Brzeszczki,wieś,k,biecki,krakowskie,mała,49.7575886870000659,21.5012786300005843
Kierzkowo_kcn_kls,Kierzkowo,Kierzkowo,wieś,s,kcyński,kaliskie,mała,52.8483433273807748,17.8765749323923906
Mokiernica_czl_pmr,,Mokiernica,wieś,m,człuchowski,pomorskie,mała,53.6384789293583495,16.9411736694990651
Busnia_now_pmr,Buśnia,Buśna,osada folwarczna,s,nowski,pomorskie,,53.5339492623692337,18.5835750467302816
Bylice_Wielkie_nmo_maz,Bylice,Bylice Wielkie,wieś,s,nowomiejski,mazowieckie,mała,52.6979889110000244,20.7423628020000947
Kolo_ptr_srd,,Koło,wieś,d,piotrkowski,sieradzkie,mała,51.4296744720000518,19.8407354319999918
Komadzyno_gos_raw,Komadzyń,Komadzyno,wieś,s,gostyniński,rawskie,mała,52.2492485960001005,19.4320225290000899
Konczyce_rdm_snd,,Kończyce,wieś,s,radomski,sandomierskie,mała,51.3711986760000414,21.0675161330001224
Kopana_bln_maz,,Kopana,wieś,s,błoński,mazowieckie,mała,52.0909274850000443,20.7440870920000968
Stary_Folusz_pzn_pzn,,Stary Folusz,osada młyńska,k,poznański,poznańskie,,,
Byczki_bla_raw,,Byczki,wieś,s,bialski,rawskie,mała,51.8312799170000886,20.5615677220000883
Korzen_gbn_raw,Korzeń Królewski,Korzeń,wieś,ks,gąbiński,rawskie,mała,52.4297346310000592,19.6221758520000087
Olszewo_Korzybie_mla_plc,,Olszewo-Korzybie,wieś,s,mławski,płockie,mała,53.0278183928047042,20.5490383832149313
Rudno_Kosily_prz_maz,,Rudno-Kosiły,wieś,s,przasnyski,mazowieckie,mała,53.1231224840000991,20.7241954130000394
Kosowa_sls_krk,Kossowa,Kosowa,wieś,s,śląski,krakowskie,mała,49.9677318020000243,19.6013985420000445
Kossobudy_rac_plc,,Kossobudy,wieś,s,raciąski,płockie,mała,52.7857030653443644,20.1925649720960081
Koszuty_tuc_luk_lub,Kosuty,Koszuty,wieś,s,łukowski,lubelskie,mała,51.873897780000199,22.1663812730007592
Wierzbno_ksc_pzn,,Wierzbno,wieś,s,kościański,poznańskie,,,
Koszanowo_pzn_pzn,Koszanowo,Koszanowo,wieś,d,poznański,poznańskie,mała,52.5076867103196321,16.3452061975812128
Golowasy_nkl_kls,,Gołowąs,pustka,,nakielski,kaliskie,,,
Swiedrzew_kls_kls,,Świędrew,osada młyńska,k,kaliski,kaliskie,,,
Drozdowo_nkl_kls,,Drozdowo,pustka,,nakielski,kaliskie,,,
Ospowo_nkl_kls,,Ospowo,pustka,,nakielski,kaliskie,,,
Gogolin_nkl_kls,,Gogolin,pustka,,nakielski,kaliskie,,,
Wiesiolka_nkl_kls,,Wiesiołka,pustka,,nakielski,kaliskie,,,
Tolkmicko_Dwor_mlb_mlb,Tolkmicko-część,Tolkemit,osada folwarczna,k,malborski,malborskie,,54.3170844554015915,19.5292993511518311
Kosorzyn_inw_inw,Toruń - część,Kosorzyno,wieś,k,inowrocławski,inowrocławskie,,,
Cedry_Wielkie_gdn_pmr,Cedry Wielkie,Gross Zinder,wieś,m,gdański,pomorskie,duża,54.2483205690946875,18.8472927529782091
Koszewnica_ole_liw_maz,,Koszewnica,wieś,s,liwski,mazowieckie,mała,52.1679924190001572,21.9869286760003178
Ruda_Kosior_rdm_snd,Komorów,Ruda Kosior,osada kuźnicza,s,radomski,sandomierskie,,51.2313386130000623,20.7853486380000696
Mikorzyn_inw_inw,Mikorzyn (Inowrocław - część),Mikorzyno,pustka,m,inowrocławski,inowrocławskie,,52.7591786687378956,18.2558978009671868
Koziki_Jalbrzykowstok_zmb_maz,Koziki,Koziki-Jałbrzykówstok,wieś,s,zambrowski,mazowieckie,mała,53.0333358550002458,22.2528450059997205
Ceten_opc_snd,,Ceteń,wieś,s,opoczyński,sandomierskie,mała,51.5108939790000591,20.3018205610000742
Kozina_wsl_snd,,Kozina,wieś,s,wiślicki,sandomierskie,mała,50.5132696820000149,20.7652699710001372
Mniszek_gzn_kls,,Mniszek,pustka,d,gnieźnieński,kaliskie,,,
Kozinki_rdm_snd,,Kozinki,wieś,s,radomski,sandomierskie,mała,51.4473400730000492,21.0612133010000839
Kulesze_Mackowieta_blk_pdl,Litwa Stara,Kulesze-Maćkowięta,wieś,s,bielski,podlaskie,mała,53.0314295814232608,22.5222546825795789
Krole_nur_maz,Króle Duże,Króle,wieś,d,nurski,mazowieckie,duża,52.8265207980001534,22.0612814669999686
Krolikowo_knn_kls,Królików,Królikowo,wieś,s,koniński,kaliskie,duża,52.054593300283706,18.0134821783017571
Smierdzaca_prs_krk,Kryspinów,Śmierdząca,wieś,d,proszowicki,krakowskie,mała,50.0435327510000434,19.798171929999981
Krzcin_snd_snd,,Krzcin,wieś,d,sandomierski,sandomierskie,mała,50.563358576000077,21.5939404540005313
Krolowa_Niwa_luk_lub,Krzesk Królowa Niwa,Królowa Niwa,wieś,s,łukowski,lubelskie,mała,52.0668043060004706,22.61560858500129
Budkowszczyzna_drh_pdl,,Budkowszczyzna,wieś,s,drohicki,podlaskie,mała,52.4050694626432687,22.6329494939291322
Niewodnica_Wysockich_blk_pdl,Zalesiany,Niewodnica Wysockich,wieś,s,bielski,podlaskie,mała,53.053734054560536,23.0646027162729546
Chelchy_Klimki_cch_maz,,Chełchy-Klimki,wieś,s,ciechanowski,mazowieckie,mała,52.8654366660000505,20.9663036530000753
Chmielewo_lom_maz,,Chmielewo,wieś,s,łomżyński,mazowieckie,mała,52.9123696800001184,21.938338777999931
Krzycko_Male_wch_pzn,Krzycko Małe,Krzycko Małe,wieś,s,wschowski,poznańskie,mała,51.8936347924458587,16.4498723184097457
Krzyszkowo_pzn_pzn,Krzyszkowo,Krzyszkowo,wieś,s,poznański,poznańskie,mała,52.5258975722958397,16.7357505411226839
Zdzieszki_grc_maz,,Zdzieszki,wieś,s,grójecki,mazowieckie,,,
Kajkow_mln_pdl,,Kajków,wieś,s,mielnicki,podlaskie,,52.064416039756189,23.1389127537744947
Wilczkowice_inw_inw,,Wilczkowice,wieś,s,inowrocławski,inowrocławskie,,,
Kobylino_Kuleszki_blk_pdl,Kobylin-Kuleszki,Kobylino-Kuleszki,wieś,s,bielski,podlaskie,mała,53.0927990152183256,22.6608905078455223
Klimuntowszczyzna_drh_pdl,,Klimuntowszczyzna,wieś,s,drohicki,podlaskie,,,
Wolka_Huszlewska_mln_pdl,Bronin,Wólka,wieś,s,mielnicki,podlaskie,mała,52.1388307138053975,22.8596670744787858
Osinki_blk_pdl,,Osinki,wieś,s,bielski,podlaskie,,,
Luniewo_Wiski_drh_pdl,,Łuniewo-Wyszki,wieś,s,drohicki,podlaskie,,,
Chmielewo_cch_maz,,Chmielewo,wieś,s,ciechanowski,mazowieckie,mała,52.9334088030000842,20.7668457259999997
Chodkowo_wsg_maz,,Chodkowo,wieś,d,wyszogrodzki,mazowieckie,duża,52.4924014600000532,20.0300189960001198
Chodowo_lcz_lcz,Chodów,Chodowo,wieś,s,łęczycki,łęczyckie,mała,52.0075518270000146,19.0762831020000085
Lipniki_was_maz,Lipnik,Lipniki,wieś,s,wąsoski,mazowieckie,mała,53.5959667380002358,22.3182417659990939
Lisowek_Maly_grc_maz,Lisówek,Lisówek Mały,wieś,s,grójecki,mazowieckie,mała,51.8881175190000548,20.9238076920000857
Luboradz_Wielki_ndz_plc,Luberadz,Luboradz Wielki,wieś,s,niedzborski,płockie,mała,52.7573418618376166,20.4743930759798225
Zerdz_czr_maz,,Żerdź,wieś,s,czerski,mazowieckie,,,
Wola_Myszczyna_wrk_maz,,Wola Myszczyna,wieś,s,warszawski,mazowieckie,,,
Garlica_Mniejsza_prs_krk,Garliczka,Garlica Mniejsza,wieś,s,proszowicki,krakowskie,mała,50.1592057740000499,19.9097241070000557
Zalesie_Jaszczulty_prz_maz,,Zalesie Jaszczułty,wieś,s,przasnyski,mazowieckie,,,
Moczydly_Szosty_drh_pdl,,Moczydły-Szosty,wieś,s,drohicki,podlaskie,,,
Falki_Paskowieta_blk_pdl,,Falki-Paskowięta,wieś,s,bielski,podlaskie,,,
Borowskie_Stare_blk_pdl,,Borowo Stare,wieś,s,bielski,podlaskie,,,
Izdbiska_luk_lub,,Izdbiska,wieś,s,łukowski,lubelskie,,,
Chometowo_kcn_kls,Chomętowo,Chomętowo,wieś,s,kcyński,kaliskie,mała,52.9348356732160141,17.7695434571757467
Chomice_blk_pdl,Chomice,Chomice,wieś,s,bielski,podlaskie,mała,53.0665895757894077,22.7710184872465078
Lubiewo_bls_plc,Lubiejewo,Lubiewo,wieś,d,bielski,płockie,mała,52.6352601342479502,19.8749182183012358
Kosciany_blk_pdl,,Kościany,wieś,s,bielski,podlaskie,mała,52.9899037767467718,22.9764473683509642
Nasiegniewice_rdj_bkj,,Nasiegniewice,wieś,s,radziejowski,brzeskie kujawskie,,,
Drwalewo_bkj_bkj,Drwalewo,Drwalewo,wieś,s,brzeski kujawski,brzeskie kujawskie,mała,52.558638783093528,18.6654337208102987
Lubikowo_gbn_raw,Lubików,Lubikowo,wieś,s,gąbiński,rawskie,mała,52.297884839000055,19.8035242780000793
Ludynia_chc_snd,,Ludynia,wieś,s,chęciński,sandomierskie,mała,50.8428530960000415,20.1163833750000514
Lazeki_scn_maz,,Łazęki,wieś,s,wyszogrodzki,mazowieckie,mała,52.4777288640000705,20.2925078160000538
Kalisz_zm_kls_kls,Kalisz,Kalisz-zamek,zamek,k,kaliski,kaliskie,,51.7658140770118393,18.0983285565860399
Ardziankowo_bkj_bkj,Popowiczki-część,Ardziakonowo,wieś,d,brzeski kujawski,brzeskie kujawskie,mała,52.6038860103742678,18.9622365143060634
Wierzbowy_bkj_bkj,Dębice-część,Wirzbowy,osada młyńska,s,brzeski kujawski,brzeskie kujawskie,,,
Milasze_blk_pdl,,Miłosze,wieś,s,bielski,podlaskie,,,
Sych_bkj_bkj,Marysin,Szych,osada młyńska,s,brzeski kujawski,brzeskie kujawskie,,52.5407907264368319,18.845809618168726
Poroze_Puste_kls_kls,,Poroże Puste,wieś,s,kaliski,kaliskie,,,
Chrobaczna_scz_krk,Jordanów-Chrobacze,Chrobaczna,wieś,s,szczyrzycki,krakowskie,mała,49.6706061270000347,19.8478155230000795
Chroscice_wsl_snd,Chruścice,Chróścice,wieś,s,wiślicki,sandomierskie,mała,50.541646229000051,20.6120135900000463
Smosarz_Chrosciele_cch_maz,Chruściele,Smosarz-Chruściele,wieś,s,ciechanowski,mazowieckie,mała,52.854521977000033,20.7607891510000115
Chrzanowo_Bronisze_mak_maz,,Chrzanowo-Bronisze,wieś,s,makowski,mazowieckie,mała,52.8393631310000984,21.0566078990000669
Faliborzyce_szd_srd,Chwalborzyce,Faliborzyce,wieś,s,szadkowski,sieradzkie,mała,52.0621172700000443,18.853244333000081
Chwalowo_pzd_kls,Komorze Przybysławskie – część,Chwałowo,wieś,s,pyzdrski,kaliskie,mała,52.0982637497815091,17.658351609464578
Rzeszotary_Faly_sie_plc,Rzeszotary-Chwały,Rzeszotary-Fały,wieś,s,sierpecki,płockie,mała,52.8831018129984329,19.8234562526041564
Chwalecinek_ksc_pzn,Chwalęcinek,Chwalęcinko,wieś,s,kościański,poznańskie,mała,52.0262210057732304,17.3617509860546591
Chwaliszewo_pzn_pzn,Chwaliszewo (Poznań – część),Chwaliszewo,miasto,d,poznański,poznańskie,miasteczko,52.4097209749591855,16.9435805550954761
Ciepielino_ser_maz,Ciepielin,Ciepielino,wieś,d,serocki,mazowieckie,mała,52.573117996000029,20.9915747190001376
Cieszkowo_pln_plc,,Cieszkowo,wieś,d,płoński,płockie,duża,52.7101446296711202,20.238876997075927
Ciesle_rds_srd,,Cieśle,wieś,s,radomszczański,sieradzkie,mała,51.1553048960000609,19.7446822280000127
Cisowie_srd_srd,Cisów,Cisowie,wieś,d,sieradzki,sieradzkie,mała,51.9907105440000734,18.4649298420000747
Kretkowo_ksw_bkj,,Kretkowo,wieś,d,kruszwicki,brzeskie kujawskie,,,
Poswietne_ksw_bkj,,Poświętne,osada folwarczna,s,kruszwicki,brzeskie kujawskie,,52.5740278034394777,18.3030789231762654
Czajcze_nkl_kls,Czajcze,Czajcze,wieś,s,nakielski,kaliskie,duża,53.1902173163132233,17.1243400579519651
Wyszonki_Cicholas_blk_pdl,,Wyszonki-Cicholas,osada młyńska,s,bielski,podlaskie,,,
Marcinkowice_snd_snd,,Marcinkowice,wieś,d,sandomierski,sandomierskie,mała,50.7977682240000306,21.4016456070002654
Radziszewo_Sobiechowie_drh_pdl,Radziszewo-Sobiechowo,Radziszewo-Sobiechowie,wieś,s,drohicki,podlaskie,mała,52.6637903510285739,22.622574938561872
Tybory_Zulawy_drh_pdl,,Tybory-Żuławy,wieś,s,drohicki,podlaskie,,,
Kramkowka_Tatary_blk_pdl,Kramkówka Mała,Kramkówka-Tatary,wieś,s,bielski,podlaskie,mała,53.4342674484713953,22.7048972598318137
Bieniewice_kls_kls,,Bieniewice,pustka,s,kaliski,kaliskie,,,
Ciecierzyn_llw_krk,Zrębice I - część,Ciecierzyn,osada folwarczna,k,lelowski,krakowskie,,50.7424238310000391,19.3372181580000593
Trzaski_Cholewy_drh_pdl,Trzaski,Trzaski-Cholewy,wieś,s,drohicki,podlaskie,mała,52.6745621581629351,22.6062086919163185
Lapy_Rechy_blk_pdl,Rechy,Łapy-Rechy,wieś,s,bielski,podlaskie,mała,52.9792027764658116,22.9058404975236769
Rzewuski_Zale_drh_pdl,,Rzewuski-Żale,wieś,s,drohicki,podlaskie,,,
Niewodnica_Siestrzewitowskich_blk_pdl,Koplany,Niewodnica Siestrzytowskich,wieś,s,bielski,podlaskie,mała,53.0521449079651575,23.1119243886960071
Czaple_Male_kss_krk,,Czaple Małe,wieś,d,ksiąski,krakowskie,duża,50.3000771940000462,19.9586679859999911
Budzieszyn_drh_pdl,,Budzieszyn,wieś,s,drohicki,podlaskie,mała,52.2833097236045958,22.1085248132620045
Miedzyrzecz_zm_pzn_pzn,Międzyrzecz,Międzyrzecz-zamek,zamek,k,poznański,poznańskie,,52.4421163608867573,15.5677409036476213
Czelustki_Milki_prz_maz,Czaplice-Miłki,Czelustki-Miłki,wieś,s,przasnyski,mazowieckie,mała,53.1899623490000053,20.8180947690000693
Czartki_Staromice_srd_srd,Czartki Duże,Czartki Staromice,wieś,s,sieradzki,sieradzkie,mała,51.722904462000038,18.5424287780000689
Rudawa_lpn_dbr,,Rudawa,osada młyńska,s,lipnowski,ziemia dobrzyńska,,,
Wolka_ost_mln_pdl,,Wólka,wieś,s,mielnicki,podlaskie,,,
Czermino_kch_kls_kls,Czerminek,Czermino,wieś,s,kaliski,kaliskie,mała,51.8208449576091112,17.9165542832488782
Dziegciarnia_kls_kls,,Dziegciarnia,pustka,s,kaliski,kaliskie,,,
Miaczyno_zkr_maz,Miączyn,Miączyno,wieś,s,zakroczymski,mazowieckie,mała,52.4087191840000557,20.438374111000126
Seroki_lpn_dbr,,Sroki,wieś,s,lipnowski,ziemia dobrzyńska,,,
Michalowice_mch_bla_raw,,Michałowice,wieś,s,bialski,rawskie,mała,51.6356028580000483,20.7301215180001464
Mrokowo_tar_maz,Mroków - część,Mrokowo,wieś,s,tarczyński,mazowieckie,mała,52.0419513250000705,20.8600395470000954
Czepowo_Wesrednie_szd_srd,Czepów Średni,Czepowo Weśrednie,wieś,s,szadkowski,sieradzkie,mała,52.0337995260000028,18.8034225300000202
Dupki_inw_inw,,Dupki,wieś,s,inowrocławski,inowrocławskie,,,
Milewo_Lesne_blk_pdl,,Milewo Leśne,wieś,s,bielski,podlaskie,mała,53.1356283435021624,22.7021062540699639
Karpowszczyzna_blk_pdl,,Karpowszczyzna,osada folwarczna,s,bielski,podlaskie,,,
Kruszewo_Mateuszowieta_blk_pdl,,Kruszewo-Mateuszowięta,wieś,s,bielski,podlaskie,,,
Borucino_mrw_pmr,Borucino,Borucino,wieś,s,mirachowski,pomorskie,mała,54.2559666759263592,17.9703122518253195
Czerniewo_liw_maz,Czerniejew,Czerniewo,wieś,s,liwski,mazowieckie,mała,52.1199320660001604,22.0741073680004654
Nieradowo_cch_maz,,Nieradowo,wieś,s,ciechanowski,mazowieckie,mała,52.8601514490000568,20.8384299119999916
Ninkow_rdm_snd,,Ninków,wieś,s,radomski,sandomierskie,mała,51.3000644140000688,20.7305774710000961
Nosarzewo_I_mla_plc,"Nosarzewo Borowe, Nosarzewo Polne",Nosarzewo I,wieś,s,mławski,płockie,mała,53.0763230836435582,20.5206231394464851
Nowa_Wies_Czluchowska_czl_pmr,Nowa Wieś,Nowa Wieś,wieś,k,człuchowski,pomorskie,mała,53.8445662233305242,17.3096193993305789
Mostki_sch_raw,Mostki Nowe,Mostki,wieś,s,sochaczewski,rawskie,mała,52.2518563850000248,20.3173220070000795
