id_miejscowosci,nazwa_wspolczesna,nazwa_16w,charakter_osady,rodzaj_wlasnosci,powiat_p,woj_p,wielkosc_karto,lat,lon
Polomia_prz_maz,Połoń,Połomia,wieś,k,przasnyski,mazowieckie,duża,53.2083404330000533,20.9815362910000012
Chojane_Pawlowieta_blk_pdl,Chojane-Pawłowięta,Chojane-Pawłowięta,wieś,s,bielski,podlaskie,mała,52.9743088575065215,22.5299525503822728
Cesarze_liw_maz,Chojeczno Cesarskie,Cesarze,wieś,s,liwski,mazowieckie,mała,52.2296073260001279,22.0326687450004144
Chojniki_roz_maz,,Chojniki,wieś,s,rożański,mazowieckie,mała,53.1173059070000662,21.3779296240000143
Chojno_mch_chl,Chojno,Chojno,wieś,s,michałowski,chełmińskie,mała,53.251503475546194,19.2880816479586343
Bocien_chl_chl,Bocień,Bocień,osada folwarczna,k,chełmiński,chełmińskie,,53.2463039711985218,18.7447107712825165
Zle_Mieso_tcz_pmr,,Złe Mięso,osada karczemna,k,tczewski,pomorskie,,53.8302893998559355,18.1238483905048433
Lazy_prz_maz,,Łazy,wieś,s,przasnyski,mazowieckie,mała,53.0181544720000559,21.1150497940000363
Losowo_kol_maz,Łosiewo,Łosowo,wieś,s,kolneński,mazowieckie,mała,53.3348082220001203,21.8840121059997799
Lagiewniki_knn_kls,Łagiewniki,Łagiewniki,wieś,s,koniński,kaliskie,mała,52.0632862133708016,18.0313184205264641
Czarna_Poreba_llw_krk,Poręba - część,Czarna Poręba,wieś,s,lelowski,krakowskie,mała,50.4868431320000539,19.3356775360000128
Kaczki_Plastow_srd_srd,Kaczki Plastowe,Kaczki-Plastów,wieś,s,sieradzki,sieradzkie,mała,51.9714299210000448,18.5697772590000767
Huta_Pokrzywnicka_pzn_pzn,Pokrzywno,Huta Pokrzywnicka,huta szkła,k,poznański,poznańskie,,53.117997109604687,16.5398286904319356
Mlochowo_tar_maz,Młochów,Młochowo,wieś,s,tarczyński,mazowieckie,mała,52.0447721380000559,20.7848733210001164
Tchorzow_Wrzosow_luk_lub,Wrzosów,Tchórzów Wrzosów,wieś,s,łukowski,lubelskie,mała,51.7060546910004177,22.5688507520018931
Krostkowo_nkl_kls,Krostkowo,Krostkowo,wieś,s,nakielski,kaliskie,duża,53.1095400293092013,17.1992821187252467
Laziska_brz_lcz,Łazisko,Łaziska,wieś,s,brzeziński,łęczyckie,mała,51.549279093000024,19.9492194990000513
Bodzanowek_ksw_bkj_bkj,Bodzanówek,Bodzanowo-Ligaszcz,wieś,s,brzeski kujawski,brzeskie kujawskie,mała,52.671491772810505,18.6854822076522353
Bedomin_Wielki_tcz_pmr,Będomin,Będomino,pustka,s,tczewski,pomorskie,,54.1284348241668951,18.1203550542319327
Przywieczerzynek_bkj_bkj,Przywieczerzynek,Przywieczerzyno Małe,wieś,s,brzeski kujawski,brzeskie kujawskie,mała,52.7390070141506726,18.8638614028250338
Korytkow_Janowy_srd_srd,Laski,Korytków Janowy,wieś,s,sieradzki,sieradzkie,mała,51.9925409690000535,18.5710556990000768
Przybranowek_bkj_bkj,Przybranówek,Przybranowo Małe,wieś,s,brzeski kujawski,brzeskie kujawskie,mała,52.8109600983243297,18.6346789869438076
Chojnowo_Nowe_prz_maz,Chojnówka,Chojnowo Nowe,wieś,s,przasnyski,mazowieckie,mała,53.0231334950001099,20.7460682560000258
Udrzyno_kam_maz,Udrzyn,Udrzyno,wieś,d,kamieniecki,mazowieckie,duża,52.6597206230001049,21.7295036280000851
Chalawy_ksc_pzn,Chaławy,Chaławy,wieś,s,kościański,poznańskie,mała,52.1248396681299866,16.8511578388784571
Chometowo_Stare_lom_maz,Chomentowo,Chomętowo Stare,wieś,s,łomżyński,mazowieckie,mała,53.0673747060001588,21.9668067049998399
Wola_Czepowa_lcz_lcz,Wólka Czepowa,Wola Czepowa,wieś,s,łęczycki,łęczyckie,mała,52.2341777620000371,18.9426001720000343
Lichawa_sdz_szd_srd,,Lichawa,wieś,s,szadkowski,sieradzkie,mała,51.5220153620000403,19.0230442180000274
Lgota_kls_kls,Ligota,Lgota,wieś,s,kaliski,kaliskie,mała,51.7869288945860973,17.6966373053904142
Milakow_ptr_srd,,Miłaków,wieś,s,piotrkowski,sieradzkie,mała,51.3461024240000512,19.4952837820000475
Mnichowice_Wielkie_wsl_snd,Miechowice Wielkie,Mnichowice Wielkie,wieś,s,wiślicki,sandomierskie,mała,50.1868851110000662,20.7437943600000843
Miedzybrodzie_pierwsze_sls_krk,Międzybrodzie Bialskie - część,Międzybrodzie I,wieś,k,śląski,krakowskie,mała,49.7869998420000499,19.1949509100000597
Bogatka_gdn_pmr,Bogatka,Reichenberg,wieś,m,gdański,pomorskie,duża,54.3254285582569523,18.7816944414518794
Bogdalowo_knn_kls,Bogdałów,Bogdałowo,wieś,s,koniński,kaliskie,mała,52.0598351765229594,18.600722725141825
Mieszki_cch_maz,Mieszki-Atle,Mieszki,wieś,s,ciechanowski,mazowieckie,mała,52.8325412270000143,20.6465216240000728
Liszyno_plc_plc,,Liszyno,wieś,s,płocki,płockie,mała,52.4834103172325328,19.7852895043073111
Wyczolki_wrs_maz,Warszawa-Wyczółki,Wyczółki,wieś,s,warszawski,mazowieckie,mała,52.1538919990000807,21.0011024050000614
Pruszczyn_wsg_maz,Pruszczyn,Pruszczyno,wieś,s,wyszogrodzki,mazowieckie,mała,52.4527331440000424,20.1879310650000079
Wyczerpy_llw_krk,Częstochowa-Wyczerpy Dolne,Wyczerpy,wieś,ks,lelowski,krakowskie,mała,50.8418853010000475,19.1744630249999801
Pawlowo_Duze_kls_kls,Pawłów,Pawłowo Wielkie,wieś,s,kaliski,kaliskie,mała,51.7656053744697857,17.9217278560979452
Przypki_tar_maz,,Przypki,wieś,d,tarczyński,mazowieckie,mała,52.0065230519999986,20.8130722030000292
Wychudz_zkr_maz,Wychódź,Wychudz,wieś,s,zakroczymski,mazowieckie,mała,52.3983473470000618,20.4172980920000349
Przecznie_szd_srd,Przecznia,Przecznie,wieś,s,szadkowski,sieradzkie,mała,51.4320806490000706,19.1084922779999964
Chomranice_Wyzsze_sdc_krk,Chomranice - część,Chomranice Wyższe,wieś,s,sądecki,krakowskie,mała,49.6765055310000179,20.5862276830000717
Choroszczewo_mln_pdl,Chorzoszczewo,Choroszczewo,wieś,s,mielnicki,podlaskie,mała,52.5491797601060782,23.0327130512108624
Chorowice_scz_krk,,Chorowice,wieś,s,szczyrzycki,krakowskie,mała,49.9505854060000871,19.867136748000064
Baczyki_Blizsze_mln_pdl,Baciki Bliższe,Trzcieniec,wieś,s,mielnicki,podlaskie,mała,52.4423418206264316,22.9215344295892152
Bogdanowo_pzn_pzn,Bogdanowo,Bogdanowo,wieś,k,poznański,poznańskie,mała,52.626109623629695,16.809262965418057
Patnowo_knn_kls,Pątnów (Konin – część),Pątnowo,wieś,s,koniński,kaliskie,mała,52.3065783448417463,18.2592851224399411
Pesy_Wielkie_rac_plc,Pęsy Duże,Pęse Wielkie,wieś,s,raciąski,płockie,mała,52.7608318285262428,20.180214148064632
Lesna_blk_pdl,Lesznia,Leśna,wieś,s,bielski,podlaskie,mała,52.9159109083566861,23.0924065180054612
Kornica_mln_pdl,Stara Kornica,Kornica,wieś,k,mielnicki,podlaskie,duża,52.1803558525855138,22.9369444008079633
Wygnanowice_prs_krk,Wygnanów,Wygnanowice,wieś,d,proszowicki,krakowskie,mała,50.1203688780000434,20.3150757689999928
