id,name,type,relig_type,relig,source,dist,lp_w,lp_o,cdnts
1,Żorniska,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Struktura, s. 137 (OczNMP); Kołbuk 1998, s. 185 (dek. Obroszyn, s); Skoczylas, Oficjalat Lwów, s. 137.",rus,6,3565,"[23.837797353617248, 49.90649500755001]"
9,Stare Sioło,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 376.",rus,1,2978,"[24.189523131873443, 49.70131073224627]"
10,Kołodruby,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Struktura, s. 138; Skoczylas, Niedatowanyj rejestr, s. 546; Duh, Pawlyszyn, Spis parafii 1782 r. (dek. Horożanna); Skoczylas, Oficjalat Lwów, s. 148.",rus,6,22406,"[23.80034847095652, 49.50330073188138]"
11,Głuchowice,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 184 (s); Skoczylas, Oficjalat Lwów, s. 133.",rus,6,6135,"[24.244595018403686, 49.76587921029375]"
12,Czarnuszowice,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 183.",rus,6,6118,"[24.335647202814755, 49.80892486262513]"
13,Barszczowice,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 183; Skoczylas, Oficjalat Lwów, s. 132.",rus,6,6171,"[24.263686605254577, 49.86392764075407]"
14,Prusy,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 376.",rus,1,2925,"[24.17116583696287, 49.872536771400235]"
15,Miłoszowice,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 192 (OczNMP); Skoczylas, Niedatowanyj rejestr, s. 545; Duh, Pawlyszyn, Spis parafii 1782 r.; Skoczylas, Oficjalat Lwów, s. 149.",rus,6,4856,"[23.931052413849272, 49.67835305082292]"
16,Szczerzec,miasto,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 192 (s); Skoczylas, Oficjalat Lwów, s. 151.",rus,6,4216,"[23.8554203565875, 49.64104681952182]"
17,Mostki,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 192.",rus,6,5199,"[23.850280313904648, 49.70991986289238]"
18,Kahujów,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Skoczylas, Niedatowanyj rejestr, s. 545; Duh, Pawlyszyn, Spis parafii 1782 r. (dek. Horożanna); Skoczylas, Oficjalat Lwów, s. 148.",rus,6,22405,"[23.892869239248228, 49.57408691559539]"
19,Powerchów,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Struktura, s. 138; Skoczylas, Niedatowanyj rejestr, s. 546; Duh, Pawlyszyn, Spis parafii 1782 r. (dek. Horożanna); Skoczylas, Oficjalat Lwów, s. 150.",rus,6,22404,"[23.771711089780922, 49.51382300287099]"
74,Grabowo,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 339.",pom,1,15158,"[18.148591405924947, 54.164086071847066]"
89,Góra,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 340.",pom,1,15269,"[18.121114455037286, 54.62718063376667]"
75,Wielkopole,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 380; Kołbuk 1998, s. 248.",rus,6,4324,"[23.732302918066807, 49.87152162208952]"
76,Lelechówka,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 215; Kołbuk 1998, s. 247.",rus,6,3774,"[23.69058246261102, 49.942622939034436]"
77,Wola Dobrostańska,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 386; Kołbuk 1998, s. 248.",rus,6,4345,"[23.64714746769272, 49.895346147426324]"
99,Kiełpino,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 339.",pom,1,15280,"[18.233447924354437, 54.28743344812483]"
100,Czapielsk,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 337.",pom,1,15253,"[18.41488798647657, 54.260100822235074]"
101,Chylonja,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 340 (Chylonia).",pom,1,15250,"[18.480177976199002, 54.529825093158365]"
102,Zagórze,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 340.",pom,1,15341,"[18.39820808633067, 54.55217536798642]"
107,Milczyce,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 403.",rus,1,2880,"[23.46228286102746, 49.716809384597866]"
108,Myślatycze,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 403.",rus,1,2886,"[23.06517292966231, 49.73732377803941]"
110,Krakowiec,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 403.",rus,1,2823,"[23.164450412278768, 49.95852245698603]"
98,Przyłbice,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 298; Kołbuk 1998, s. 250.",rus,6,4048,"[23.476893718859515, 49.884438981896665]"
2,Rokitno,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Struktura, s. 137; Kołbuk 1998, s. 185 (dek. Obroszyn, s); cerkiew w XX wieku zlokalizowana w części zwanej Rokitno Małe; Skoczylas, Oficjalat Lwów, s. 136.",rus,6,3492,"[23.906820784315528, 49.94284466957873]"
3,Dmytrowice,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 184 (Michał A); Skoczylas, Oficjalat Lwów, s. 133.",rus,6,6136,"[24.1917260076944, 49.76779235063714]"
4,Powitno,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Struktura, s. 137; Kołbuk 1998, s. 185 (dek. Obroszyn); Skoczylas, Oficjalat Lwów, s. 136.",rus,6,3564,"[23.73279362413888, 49.84001338915908]"
5,Dawidów,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 183; Skoczylas, Oficjalat Lwów, s. 133.",rus,6,4466,"[24.147668498470125, 49.73718210963875]"
6,Krotoszyn,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 376, 504 (obsługa parafii przez dominikanów lwowskich).",rus,1,2830,"[24.08745657015635, 49.744834669213844]"
7,Winniki,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 376 (wieś).",rus,1,3016,"[24.141059871906634, 49.809881432796885]"
8,Sokolniki,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 376.",rus,1,2970,"[23.991264342163106, 49.78118433124257]"
20,Podwysokie,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Struktura, s. 138; Skoczylas, Niedatowanyj rejestr, s. 546; Duh, Pawlyszyn, Spis parafii 1782 r. (dek. Horożanna); Skoczylas, Oficjalat Lwów, s. 150.",rus,6,22402,"[23.85615464852782, 49.53869382373841]"
21,Rumno,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 192; Skoczylas, Niedatowanyj rejestr, s. 546; Duh, Pawlyszyn, Spis parafii 1782 r. (dek. Horożanna); Skoczylas, Oficjalat Lwów, s. 150.",rus,6,4495,"[23.771711089780922, 49.59560974221074]"
22,Humieniec,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 191 (s); Skoczylas, Niedatowanyj rejestr, s. 546; Duh, Pawlyszyn, Spis parafii 1782 r. (dek. Horożanna); Skoczylas, Oficjalat Lwów, s. 148.",rus,6,6173,"[23.812097140202923, 49.61234971796756]"
23,Dmytrze,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 191 (s); Skoczylas, Niedatowanyj rejestr, s. 546; Duh, Pawlyszyn, Spis parafii 1782 r. (dek. Horożanna)",rus,6,6168,"[23.87084048463612, 49.6027840171497]"
26,Podciemno,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 192 (k); Skoczylas, Oficjalat Lwów, s. 150.",rus,6,4627,"[24.058819188980692, 49.67022220571232]"
28,Wołoszcza,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 379 (miasto).",rus,1,3026,"[23.61090118273131, 49.50377901741689]"
29,Mikołajów,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 379.",rus,1,2878,"[23.98171854873766, 49.52530184313298]"
30,Brodki,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 191 (s); Skoczylas, Oficjalat Lwów, s. 147.",rus,6,6162,"[24.007418762151985, 49.58939203654427]"
31,Siemianówka,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 379.",rus,1,2961,"[23.893603531188546, 49.662091360601664]"
46,Sambor,miasto,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 405.",rus,1,3124,"[23.215179086920443, 49.52167484861047]"
24,Stupnica,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 345 (Michał A); Kołbuk 1998, s. 253 (Stupnica Polska)",rus,6,4191,"[23.336276044718204, 49.424383703056776]"
47,Sambor,miasto,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 405.",rus,1,3122,"[23.181524045501646, 49.51250771922213]"
56,Sąsiadowice,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 404.",rus,1,2960,"[23.01979627330178, 49.53917210927392]"
58,Szczodrowo,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 342.",pom,1,15332,"[18.367399669830547, 54.09759297630836]"
60,Gródek Jagielloński,miasto,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 380.",rus,1,3065,"[23.634059817662035, 49.778270942455094]"
61,Żukowo,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 337.",pom,1,15239,"[18.36575086001659, 54.334805343037544]"
62,Kielno,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 337.",pom,1,15163,"[18.347045000478033, 54.44572338110396]"
63,Strzepcz,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 339.",pom,1,15218,"[18.029064739933347, 54.450490645812465]"
64,Chwaszczyno,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 337.",pom,1,15145,"[18.42131399760808, 54.43555290600648]"
67,Komarno,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 379.",rus,1,2810,"[23.693039968874018, 49.62549617556505]"
70,Malechów,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 380.",rus,1,2867,"[24.082068927031685, 49.882689367975786]"
48,Czerchawa,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 112; Kołbuk 1998, s. 260.",rus,6,3456,"[23.23347519106079, 49.41290486279479]"
49,Kornalowice,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 194; Kołbuk 1998, s. 260.",rus,6,3700,"[23.35977338321095, 49.531041264163264]"
50,Kowenice,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 197; Kołbuk 1998, s. 260.",rus,6,3715,"[23.238615233743644, 49.61617599775508]"
51,Zaszkowice,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 411; Kołbuk 1998, s. 248.",rus,6,4390,"[23.665207281265168, 49.679361938154386]"
80,Kościerzyna,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 339.",pom,1,15171,"[17.982301704920246, 54.119624813796406]"
83,Studzienice,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 337.",byt,1,13109,"[17.581249122396287, 54.0907046533992]"
90,Stare Polaszki,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 341.",pom,1,15326,"[18.20015742581819, 54.03116878502499]"
91,Brzeźno Lęborskie,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 339.",lęb,1,14308,"[17.838341857838373, 54.61669218987589]"
92,Łebcz,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 340.",pom,1,15291,"[18.333290406035815, 54.758971748174815]"
93,Oliwa,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 500.",pom,1,15360,"[18.572601618610804, 54.40047347698891]"
96,Reda,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 340.",pom,1,15312,"[18.348145819205286, 54.59349181201384]"
73,Zagórze,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 406; Kołbuk 1998, s. 263.",rus,6,4383,"[23.379679343031512, 49.6154079785407]"
297,Załoźce,miasto,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 492.",rus,1,24097,"[25.400952865953855, 49.79806684864167]"
287,Muchawiec,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 285.",woł,6,12206,"[25.757127850193058, 49.90445718160311]"
303,Rostoki,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 289.",woł,6,12472,"[25.521836496472417, 49.919923617541656]"
306,Kadobna,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 211 (dek. Perehińsko).",rus,6,5351,"[24.21478682696528, 49.03692489641111]"
307,Tomaszowce,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 217; Skoczylas, Oficjalat Halicz, s. 20.",rus,6,5981,"[24.44700425841961, 49.14412582518975]"
308,Hołyń,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 211 (dek. Perehińsko); Skoczylas, Oficjalat Halicz, s. 33.",rus,6,5442,"[24.24935641233799, 49.00119125288535]"
310,Krechowice,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 176.",rus,6,4636,"[24.155417321475284, 49.00265975852494]"
311,Nadziejów,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 176.",rus,6,4629,"[24.078011511590034, 49.00217025664506]"
312,Kołodziejów,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 217; Skoczylas, Oficjalat Halicz, s. 17.",rus,6,6081,"[24.55597360234549, 49.16517440962144]"
313,Płoska,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Socjografia, s. 51; SG. VIII, s. 316 (wezwanie z 1870 r.)",brac,6,23102,"[29.86496529854901, 47.99237769461837]"
314,Bołochów,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 217; Skoczylas, Oficjalat Halicz, s. 15.",rus,6,6100,"[24.19524749555501, 49.0976231385082]"
315,Dołha Wojniłowska,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 217; Duh, Pawlyszyn, Spis parafii 1782 r. (NPNMP); Skoczylas, Oficjalat Halicz, s. 16.",rus,6,6103,"[24.365089371086583, 49.15636337398513]"
316,Wiszniów,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 201 (Michał A); Skoczylas, Oficjalat Lwów, s. 160.",rus,6,5224,"[24.40191349473355, 49.27237533840008]"
317,Korytna,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Socjografia, s. 50; SG. IV, s. 427.",brac,6,23022,"[29.688959438352356, 47.984964539064094]"
318,Łuka,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 217; Skoczylas, Oficjalat Halicz, s. 18.",rus,6,6020,"[24.507876788226667, 49.2077610794654]"
319,Benzary,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Socjografia, s. 49 (Będzarówka).",brac,6,23009,"[29.69476182901184, 47.91693793578884]"
320,Żurawno,miasto,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 201 (Michał A); Skoczylas, Oficjalat Lwów, s. 160.",rus,6,4414,"[24.29219263685053, 49.25769027930602]"
321,Bobryk Wielki,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 97; Socjografia, s. 49.",brac,6,17785,"[30.163466080262424, 47.902547692442454]"
322,Protesy,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 217; Skoczylas, Oficjalat Halicz, s. 19.",rus,6,6000,"[24.42295585046088, 49.18034896969607]"
323,Koniecpol Nowy,miasto,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 114 (Koniecpol, przynależność dekanalna wątpliwa).",brac,6,18061,"[30.793347859824507, 47.995430170752286]"
324,Kosy,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Socjografia, s. 71; SG. IV, s. 479.",brac,6,22998,"[29.494901694804923, 47.675356279530206]"
325,Uście Zielone,miasto,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 216; Skoczylas, Oficjalat Halicz, s. 50.",rus,6,4310,"[24.973525871672564, 49.028308962393794]"
326,Dojban,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 338 (cerkiew prawosławna, dr); Socjografia, s. 70.",brac,6,18694,"[29.204137434270592, 47.37926612781837]"
327,Cebulówka,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 100; Socjografia, s. 70.",brac,6,17827,"[29.109365047803294, 47.37708578810816]"
328,Michalówka,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 123; Socjografia, s. 71.",brac,6,18224,"[29.11258859836954, 47.462991177726565]"
329,Uście Zielone,miasto,świątynia główna,Kościół katolicki ob. greckiego,"Skoczylas, Niedatowanyj rejestr, s. 566; Duh, Pawlyszyn, Spis parafii 1782 r.; Skoczylas, Oficjalat Halicz, s. 50.",rus,6,22448,"[24.97860747551067, 49.01985025145092]"
158,Laszki Murowane,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 404.",rus,1,2841,"[22.932964816716265, 49.51850264483551]"
159,Błozew Górna,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 403 (Błożew).",rus,1,2717,"[22.924198900965507, 49.58753843941304]"
330,Byszów,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński,  Struktura, s. 140; Kołbuk 1998, s. 196 (lw, dek. Zawałów, s); Duh, Pawlyszyn, Spis parafii 1782 r.; Skoczylas, Oficjalat Halicz, s. 48.",rus,6,5504,"[24.890526345314925, 49.13091681165116]"
332,Złotniki,miasto,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Struktura, s. 139; Kołbuk 1998, s. 182 (dek. Kozłów); Skoczylas, Oficjalat Brzeżany, s. 97 (""Laskawiecka"").",rus,6,4510,"[25.37552421901404, 49.29432516581295]"
333,Buczacz,miasto,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 174 (prawdopodobnie jako Nagórzanka); Skoczylas, Niedatowanyj rejestr, s. 565; Duh, Pawlyszyn, Spis parafii 1782 r.; Skoczylas, Oficjalat Brzeżany, s. 61 (na Nagórzance).",rus,6,22391,"[25.397042803527427, 49.05955300149168]"
334,Skorodyńce,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 175.",rus,6,4829,"[25.743357519413962, 49.077949327877604]"
335,Romaszówka,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Struktura, s. 135; Kołbuk 1998, s. 180 (dek. Janów); Skoczylas, Oficjalat Brzeżany, s. 62 (Św. Krzyż).",rus,6,4609,"[25.59272742961906, 49.081015381975476]"
336,Medwedowce,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Struktura, s. 135; Kołbuk 1998, s. 195 (dek. Zarwanica); Skoczylas, Oficjalat Brzeżany, s. 62.",rus,6,5191,"[25.427303312577806, 49.08539545977209]"
338,Biała,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 175.",rus,6,4910,"[25.756134179390358, 49.032834528011676]"
339,Tudorów,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 175.",rus,6,4825,"[25.78908451116763, 49.116056004348195]"
340,Biały Potok,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 175; Skoczylas, Oficjalat Brzeżany, s. 65.",rus,6,4804,"[25.67409457677627, 49.07356925008099]"
341,Rydoduby,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 175.",rus,6,4831,"[25.643161611369692, 49.061743040389956]"
342,Czortków,miasto,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 175.",rus,6,3464,"[25.79244679025078, 49.015314216825345]"
343,Budzanów,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 375.",rus,1,2729,"[25.715114377633654, 49.15679072641751]"
345,Jabłonów,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 180 (s); Skoczylas, Oficjalat Brzeżany, s. 71.",rus,6,4960,"[25.850950441081466, 49.138394400031586]"
281,Jezupol,miasto,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 204; Skoczylas, Oficjalat Halicz, s. 9 (Przedmieście Halickie).",rus,6,3647,"[24.79228200744302, 49.04228422528098]"
346,Zwiniacz,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Struktura, s. 136; Kołbuk 1998, s. 175 (dek. Czortków); Skoczylas, Oficjalat Brzeżany, s. 73.",rus,6,5053,"[25.679474222230112, 49.126130182740724]"
347,Skomorosze,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Struktura, s. 136; Kołbuk 1998, s. 175 (dek. Czortków); Skoczylas, Oficjalat Brzeżany, s. 73.",rus,6,4830,"[25.727891037609993, 49.130510260537335]"
348,Strutyn Niżny,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 176.",rus,6,4645,"[24.11591460583486, 48.94550156359719]"
349,Przytoczna,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 289.",poz,1,15633,"[15.67913885932603, 52.57601082631646]"
350,Goraj,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 289.",poz,1,15700,"[15.747680300181344, 52.58109607330812]"
351,Spas,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 176; Skoczylas, Oficjalat Lwów, s. 119.",rus,6,4592,"[24.061108977081233, 48.89276411560684]"
352,Kamionna,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 288.",poz,1,15606,"[15.965905574984163, 52.5632970136615]"
353,Spas,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 176.",rus,6,4593,"[24.062462202227152, 48.8837491667943]"
354,Lewice,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 288.",poz,1,15609,"[15.982126005210034, 52.47462573216234]"
198,Czyszki,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 404 (Czyżki).",rus,1,2746,"[22.949500520467325, 49.63170231595029]"
175,Dźwiniacz Dolny,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 133; Kołbuk 1998, s. 270 (Dźwiniacz).",rus,6,5825,"[22.567896457613756, 49.47060487856078]"
177,Olszanica,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 269; Kołbuk 1998, s. 270.",rus,6,5660,"[22.4510124377141, 49.47506455535017]"
355,Lipowica,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 176 (Michał A); Skoczylas, Oficjalat Lwów, s. 117. (możliwe także wezwanie Soboru Michała A).",rus,6,4634,"[24.056372687721364, 48.757539889713826]"
356,Sukiel,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 172 (Michał A); Skoczylas, Oficjalat Lwów, s. 114.",rus,6,5039,"[23.637161961552977, 48.99361154109255]"
357,Wyszków,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Struktura, s. 134; Kołbuk 1998, s. 176 (dek. Dolina); Skoczylas, Oficjalat Lwów, s. 115.",rus,6,4648,"[23.662897899635595, 48.72831789975646]"
358,Zbąszyń,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 289.",poz,1,15657,"[15.923044275574853, 52.248022904833874]"
359,Owińska,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 285.",poz,1,15760,"[16.98879936320691, 52.50704505295215]"
360,Kaźmierz,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 283.",poz,1,15712,"[16.588536777529043, 52.51181092910747]"
361,Bereźnica Szlachecka,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 210 (dek. Perehińsko); Skoczylas, Oficjalat Halicz, s. 33.",rus,6,5384,"[24.378440334513584, 48.96308071382663]"
362,Bytyń,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 288.",poz,1,15595,"[16.511623574882663, 52.486385627645575]"
363,Tarnowo Podgórne,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 278.",poz,1,15798,"[16.674867925081912, 52.4622308226962]"
364,Olchówka,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Duh, Pawlyszyn, Spis parafii 1782 r. (dek. Perehińsko); Skoczylas, Oficjalat Halicz, s. 33 (pomija tę cerkiew).",rus,6,22443,"[24.19237184052122, 48.84949236382471]"
365,Biezdrowo,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 288.",poz,1,15662,"[16.309660502015333, 52.68883598016805]"
366,Wronki,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 288.",poz,1,15655,"[16.371924080654253, 52.703455306016394]"
367,Lubosz,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 288.",poz,1,15735,"[16.190366554484626, 52.53215098357771]"
368,Janówka,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 211 (dek. Perehińsko, Michał A); Budzyński, Struktura, s. 135; Duh, Pawlyszyn, Spis parafii 1782 r.; Skoczylas, Oficjalat Lwów, s. 116.",rus,6,5577,"[24.117267830980836, 48.87202973450712]"
369,Ostroróg,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 288.",poz,1,15759,"[16.44883575265453, 52.62209415553849]"
370,Białężyn,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 285.",poz,1,15661,"[16.985137342789358, 52.62559046777824]"
371,Żydowo,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 283.",poz,1,15820,"[16.75282807616668, 52.54740718860273]"
372,Radzim,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 283.",poz,1,15774,"[16.934384071690204, 52.59698682736655]"
373,Słomowo,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 285.",poz,1,15785,"[16.946941328567732, 52.68184429098346]"
