id,name,type,relig_type,relig,source,dist,lp_w,lp_o,cdnts
13077,Butryny,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 412.",war,1,21603,"[20.58071587129473, 53.598894699513835]"
11954,Łukawica Wyżna,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 233; Kołbuk 1998, s. 267.",rus,6,4446,"[23.7803963570301, 49.14242643300827]"
11955,Siemiginów,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 326; Kołbuk 1998, s. 267.",rus,6,3368,"[23.74538445990231, 49.15033843889495]"
11957,Stryj,miasto,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 343; Kołbuk 1998, s. 267.",rus,6,4181,"[23.85970902189706, 49.24714415379964]"
11958,Morszyn,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 249; Kołbuk 1998, s. 267.",rus,6,3830,"[23.876857706241253, 49.15778503214159]"
11959,Uhersko,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 372; Kołbuk 1998, s. 268.",rus,6,4758,"[23.915442245566, 49.29787407130431]"
11960,Zawadów,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 413; Kołbuk 1998, s. 268.",rus,6,4294,"[23.771822014858003, 49.2476095655403]"
11961,Hołobutów,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 156; Kołbuk 1998, s. 267.",rus,6,4465,"[23.748242573659923, 49.25691780754829]"
11962,Dobrowlany,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 123; Kołbuk 1998, s. 267.",rus,6,4445,"[23.86185260721527, 49.29694324692366]"
11963,Bratkowce,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 88; Kołbuk 1998, s. 267.",rus,6,4202,"[23.837558637577786, 49.21177283452897]"
11964,Bereźnica,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 77 (Bereżnica); Kołbuk 1998, s. 267.",rus,6,4218,"[23.917585831783526, 49.197345059776296]"
11965,Łotatniki,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 231; Kołbuk 1998, s. 267.",rus,6,4225,"[23.93544904456712, 49.22294272529825]"
11966,Wola Koblańska,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 387; Kołbuk 1998, s. 266.",rus,6,4115,"[23.066549893312583, 49.40794403071067]"
11967,Zubrzyca,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 416; Kołbuk 1998, s. 246.",rus,6,5677,"[23.20685731034706, 49.09527172706362]"
11968,Kropiwnik Stary,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 201; Kołbuk 1998, s. 245.",rus,6,5690,"[23.267917019645324, 49.22812572319856]"
11969,Hołowsko,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 157; Kołbuk 1998, s. 245.",rus,6,5697,"[23.212053881714724, 49.14096673173134]"
11970,Hubicze,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 161; Kołbuk 1998, s. 245 (Hubicze Dolne).",rus,6,5696,"[23.45694229021649, 49.31697712271239]"
11971,Hubicze,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 161; Kołbuk 1998, s. 245 (Hubicze Górne).",rus,6,5695,"[23.449147433614655, 49.30809198204156]"
11972,Dołhe Medenickie,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 125; Kołbuk 1998, s. 245.",rus,6,5711,"[23.685396542813464, 49.394150908413394]"
6001,Dobra,miasto,świątynia główna,Religia mojżeszowa,"Liczba głów, s. 392, 1765 r.; EJCP. I, s. 85-86.",sier,4,2517,"[18.630270679712567, 51.91485401522078]"
13065,Jesionowo,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 410.",war,1,21684,"[20.528371274146423, 53.937688559737865]"
11973,Popiele,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 289; Kołbuk 1998, s. 245 (Popiele Górne).",rus,6,6030,"[23.383345852864636, 49.30276089817863]"
11974,Horucko,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 159; Kołbuk 1998, s. 245.",rus,6,3590,"[23.80816553271859, 49.46946304715169]"
11996,Pietniczany,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 279; Kołbuk 1998, s. 267.",rus,6,5252,"[23.94902508581498, 49.37001294506763]"
