"","id","name","type","relig_type","dist","lp_w","lp_o","cdnts","nl"
"779",13785,"Przysucha","miasto","świątynia główna","san",4,2495,"[20.63911732676729, 51.354374195495666]","przysucha"
"780",13797,"Drzewica","miasto","świątynia główna","san",4,2477,"[20.494564391196207, 51.453924090848716]","drzewica"
"781",13802,"Przytyk","miasto","świątynia główna","san",4,2483,"[20.920885889376393, 51.47230584641915]","przytyk"
"782",13806,"Klwów","miasto","świątynia główna","san",4,2488,"[20.650837018059235, 51.53021968049421]","klwow"
"783",13855,"Piątek","miasto","świątynia główna","łęcz",4,22853,"[19.47765119878966, 52.07016600967444]","piatek"
"784",13889,"Zaręby Kościelne","wieś","świątynia główna","maz",4,2287,"[22.12329732197179, 52.74910936814939]","zareby_koscielne"
"785",13890,"Wyszonki Kościelne","wieś","świątynia główna","podl",4,2327,"[22.983523270382193, 52.84233931571305]","wyszonki_koscielne"
"786",13898,"Jabłonka Kościelna","wieś","świątynia główna","podl",4,2302,"[22.360076912457373, 52.955806981195224]","jablonka_koscielna"
"787",13899,"Kałuszyn","miasto","świątynia główna","maz",4,2268,"[21.80284860411973, 52.2091992195937]","kaluszyn"
"788",13910,"Boćki","miasto","świątynia główna","podl",4,2296,"[23.05081846314488, 52.64961605454113]","bocki"
"789",14327,"Warkowicze","miasto","świątynia główna","woł",4,22658,"[25.9936694422982, 50.468743476246004]","warkowicze"
"790",13995,"Kikół","miasto","świątynia główna","in",4,23380,"[19.130278485394285, 52.907670000656594]","kikol"
"791",13996,"Lipno","miasto","świątynia główna","in",4,24477,"[19.190223056060688, 52.83833924104397]","lipno"
"792",14042,"Kcynia","miasto","świątynia główna","gn",4,23310,"[17.491623348159294, 52.98124283080517]","kcynia"
"793",14363,"Kozin","miasto","świątynia główna","woł",4,22622,"[25.453542299028015, 50.262818589466065]","kozin"
"794",14045,"Swarzędz","miasto","świątynia główna","poz",4,2417,"[17.081243061399334, 52.40386989067429]","swarzedz"
"795",14046,"Rogoźno","miasto","świątynia główna","poz",4,2399,"[17.00902733157534, 52.74478929761523]","rogozno"
"796",14047,"Gołańcz","miasto","świątynia główna","gn",4,14265,"[17.29941391552819, 52.93306438432643]","golancz"
"797",14049,"Kleczew","miasto","świątynia główna","kal",4,2151,"[18.177898478041527, 52.367922007057416]","kleczew"
"798",14050,"Września","miasto","świątynia główna","gn",4,2135,"[17.583521870142988, 52.32481556235547]","wrzesnia"
"799",14124,"Ciechanów","miasto","świątynia główna","maz",4,2612,"[20.613165452472174, 52.87680913209846]","ciechanow"
"800",14161,"Iwnica","miasto","świątynia główna","kij",4,2185,"[29.045425069049884, 50.145109449698396]","iwnica"
"801",14162,"Chodorków","miasto","świątynia główna","kij",4,2178,"[29.30161357396304, 50.09325449472425]","chodorkow"
"802",14176,"Rożów","miasto","świątynia główna","kij",4,2203,"[29.653041772854976, 50.38700398818497]","rozow"
"803",14190,"Korosteszów","wieś","świątynia główna","kij",4,2188,"[29.048423195556268, 50.31577468062818]","korosteszow"
"804",14212,"Sanok","miasto","świątynia główna","rus",4,2040,"[22.202749718999087, 49.56687471714582]","sanok"
"805",14233,"Dynów","miasto","świątynia główna","rus",4,1954,"[22.238706630010483, 49.81553313665444]","dynow"
"806",14279,"Rachmanów","miasto","świątynia główna","woł",4,22647,"[26.100843936405113, 50.12872698592457]","rachmanow"
"807",14304,"Ostróg","miasto","świątynia główna","woł",4,22642,"[26.52654928568063, 50.32951951203046]","ostrog"
"808",14317,"Deraźne","miasto","świątynia główna","woł",4,22501,"[26.055253458138225, 50.86244345097066]","derazne"
"809",14318,"Bereźnica","miasto","świątynia główna","woł",4,24577,"[26.464795818684536, 51.431812026641126]","bereznica"
"810",14320,"Ołyka","miasto","świątynia główna","woł",4,22640,"[25.812783771737656, 50.70650410925441]","olyka"
"811",14329,"Dubno","miasto","świątynia główna","woł",4,22579,"[25.717281196936483, 50.42401223902425]","dubno"
"812",14362,"Krzemieniec","miasto","świątynia główna","woł",4,22625,"[25.727400675078968, 50.09598316276691]","krzemieniec"
"813",14430,"Prażewo","wieś","świątynia główna","kij",4,2201,"[28.68643195221256, 50.18331678098849]","prazewo"
"814",14431,"Leszczyn","miasto","świątynia główna","kij",4,2193,"[28.84492606366797, 50.142582767584884]","leszczyn"
"815",14432,"Słobodyszcze","miasto","świątynia główna","kij",4,2205,"[28.49064510827975, 50.02377522556833]","slobodyszcze"
"816",14461,"Sławuta","miasto","świątynia główna","woł",4,22499,"[26.880825740861383, 50.298120354271646]","slawuta"
"817",14510,"Hoszcza","miasto","świątynia główna","woł",4,22612,"[26.676827837688847, 50.593969655852845]","hoszcza"
"818",14530,"Uchanie","miasto","świątynia główna","rus",4,2701,"[23.65929088535063, 50.90291277951184]","uchanie"
"819",14535,"Izbica","wieś","świątynia główna","rus",4,2060,"[23.16547766556471, 50.889937976409385]","izbica"
"820",14537,"Cieszanów","miasto","świątynia główna","beł",4,2084,"[23.141745055435877, 50.24296943981807]","cieszanow"
"821",14561,"Rawa Ruska","miasto","świątynia główna","beł",4,6382,"[23.621327800930544, 50.23031766689326]","rawa_ruska"
"822",14576,"Leżajsk","miasto","świątynia główna","rus",4,1998,"[22.432219915907467, 50.24821011303874]","lezajsk"
"823",14581,"Żołynia","miasto","świątynia główna","rus",4,2082,"[22.313801480855318, 50.159725828468424]","zolynia"
"824",14588,"Żółkiewka","miasto","świątynia główna","rus",4,22384,"[22.84344832539432, 50.905289979914926]","zolkiewka"
"825",14634,"Radziechów","miasto","świątynia główna","beł",4,6379,"[24.65081571414902, 50.27741446099583]","radziechow"
"826",14646,"Świniuchy","miasto","świątynia główna","woł",4,22653,"[24.749971988840343, 50.63102182868067]","swiniuchy"
"827",14652,"Włodzimierz","miasto","świątynia główna","woł",4,22661,"[24.307316065071802, 50.85243094448555]","wlodzimierz"
"828",14700,"Stojanów","miasto","świątynia główna","beł",4,6386,"[24.6524976990533, 50.37315271392663]","stojanow"
"829",14719,"Mosty Wielkie","miasto","świątynia główna","beł",4,6377,"[24.152417169695696, 50.23983601121171]","mosty_wielkie"
"830",14738,"Chęciny Stare","miasto","świątynia główna","san",4,2470,"[20.454707488366466, 50.794488150442476]","checiny_stare"
"831",14809,"Annopol","miasto","świątynia główna","lub",4,2216,"[21.8618682913268, 50.885168351879884]","annopol"
"832",14824,"Kraśnik","miasto","świątynia główna","lub",4,2236,"[22.216176247060275, 50.91255732479135]","krasnik"
"833",14845,"Gniezno","miasto","świątynia główna","gn",4,2126,"[17.58604061663891, 52.540392173702685]","gniezno"
"834",14878,"Lwów","miasto","świątynia główna","rus",4,1997,"[24.02670074446968, 49.84655792104155]","lwow"
"835",14888,"Piaski","wieś","świątynia główna","lub",4,22467,"[22.572933212262228, 51.2175603603593]","piaski"
"836",14890,"Wieniawa","miasto","świątynia główna","lub",4,22468,"[22.54348535038264, 51.25912308642239]","wieniawa"
"837",14897,"Lublin","miasto","świątynia główna","lub",4,2223,"[22.571955543995728, 51.25128116739944]","lublin"
"838",14981,"Wieleń","miasto","świątynia główna","poz",4,2525,"[16.16830850985332, 52.88963464774406]","wielen"
"839",14988,"Wojtal","wieś","świątynia główna","pom",4,24522,"[18.0342915249239, 53.89246447515825]","wojtal"
"840",14989,"Chmielniki","wieś","świątynia główna","pom",4,24526,"[18.617353376562676, 54.34347342783997]","chmielniki"
"841",14990,"Bochlin","wieś","świątynia główna","pom",4,24533,"[18.72519037153097, 53.68123737185317]","bochlin"
