table.x,index,year,value,potential,villages_value,near_value,name,voivodeship,community,community_code,table_abbr,table.y,geometry.y,geometry
0100,maz_cchnwc,1736,300,0,0,0,ciechanowiec,maz,ciechanowiec,cchnwc,ext,,|,2504600.17499488|6922963.32664859
0100,maz_cchnwc,1737,241,0,0,0,ciechanowiec,maz,ciechanowiec,cchnwc,ext,,|,2504600.17499488|6922963.32664859
0100,maz_cchnwc,1739,186,0,0,0,ciechanowiec,maz,ciechanowiec,cchnwc,ext,,|,2504600.17499488|6922963.32664859
0100,maz_cchnwc,1741,241,0,0,0,ciechanowiec,maz,ciechanowiec,cchnwc,ext,,|,2504600.17499488|6922963.32664859
0100,maz_cchnwc,1745,600,0,0,0,ciechanowiec,maz,ciechanowiec,cchnwc,ext,,|,2504600.17499488|6922963.32664859
0100,maz_cchnwc,1749,155,0,0,0,ciechanowiec,maz,ciechanowiec,cchnwc,ext,,|,2504600.17499488|6922963.32664859
0100,snd_dbc,1733,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,snd_dbc,1734,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,snd_dbc,1735,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,snd_dbc,1736,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,snd_dbc,1737,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,snd_dbc,1738,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,snd_dbc,1739,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,snd_dbc,1746,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,snd_dbc,1747,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,snd_dbc,1748,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,snd_dbc,1749,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,snd_dbc,1751,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,snd_dbc,1752,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,snd_dbc,1753,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,snd_dbc,1755,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,snd_dbc,1758,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,snd_dbc,1760,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,snd_dbc,1761,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,snd_dbc,1762,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,snd_dbc,1764,500,500,0,0,debica,snd,debica,dbc,ext,,|,2385310.84958479|6454292.24376913
0100,maz_jblnk,1732,100,100,0,0,jablonka,maz,ciechanowiec,cchnwc,ext,,|,2489112.37599319|6974827.5879437
0100,maz_jblnk,1733,100,100,0,0,jablonka,maz,ciechanowiec,cchnwc,ext,,|,2489112.37599319|6974827.5879437
