table,name,viv,normalized_name,index,kalik_id
1100,balicz,rus,blcz,rus_blcz,114
1100,bircza,rus,brcz,rus_brcz,115
1100,bybel,rus,bybl,rus_bybl,116
1100,chodnowicz,rus,chdnwcz,rus_chdnwcz,117
1100,chyrow,rus,chyrw,rus_chyrw,118
1100,czarna,rus,czrn,rus_czrn,119
1100,czupnowicz,rus,czupnwcz,rus_czpnwcz,120
1100,dobromil,rus,dbrml,rus_dbrml,121
1100,dubiecko,rus,dubck,rus_dbck,122
1100,dydnia,rus,dydn,rus_dydn,123
1100,dynow,rus,dynw,rus_dynw,124
1100,felsztyn,rus,flsztyn,rus_flsztyn,125
1100,fredropol,rus,frdrpl,rus_frdrpl,126
1100,grodzisk,rus,grdzsk,rus_grdzsk,127
1100,husakow,rus,huskw,rus_hskw,128
1100,husow,rus,husw,rus_hsw,129
1100,iskan,rus,skn,rus_skn,130
1100,izdebki,rus,zdbk,rus_zdbk,131
1100,jaroslaw,rus,jrslw,rus_jrslw,132
1100,jawornik,rus,jwrnk,rus_jwrnk,133
1100,jawornik_ruski,rus,jwrnk_rusk,rus_jwrnk_rsk,134
1100,krakowiec,rus,krkwc,rus_krkwc,135
1100,krukienice,rus,kruknc,rus_krknc,136
1100,krzeszow,rus,krzszw,rus_krzszw,137
1100,krzywcza,rus,krzywcz,rus_krzywcz,138
1100,lezajsk,rus,lzjsk,rus_lzjsk,139
1100,lubomierz,rus,lubmrz,rus_lbmrz,140
1100,medyka,rus,mdyk,rus_mdyk,141
1100,mosciska,rus,mscsk,rus_mscsk,142
1100,nowomiasto,rus,nwmst,rus_nwmst,143
1100,nowosiolki,rus,nwslk,rus_nwslk,144
1100,polski_kanczuga,rus,plsk_knczug,rus_plsk_knczg,145
1100,pruchnik,rus,pruchnk,rus_prchnk,146
1100,przeworsk,rus,przwrsk,rus_przwrsk,147
1100,radymno,rus,rdymn,rus_rdymn,148
1100,rybotycze,rus,rybtycz,rus_rybtycz,149
1100,sadowa,rus,sdw,rus_sdw,150
1100,sambor,rus,smbr,rus_smbr,151
1100,sokolow,rus,sklw,rus_sklw,152
1100,sosnica,rus,ssnc,rus_ssnc,153
1100,stanislawczyk,rus,stnslwczyk,rus_stnslwczyk,154
1100,starosol,rus,strsl,rus_strsl,155
1100,stary_sambor,rus,stry_smbr,rus_stry_smbr,156
1100,szumin,rus,szumn,rus_szmn,157
1100,tarnawa,rus,trnw,rus_trnw,158
1100,turka_w_gorach,rus,turk_w_grch,rus_trk_w_grch,159
1100,walawa,rus,wlw,rus_wlw,160
1100,wielkie_oczy,blz,wlk_czy,blz_wlk_czy,161
1100,wisznia,rus,wszn,rus_wszn,162
1100,wyszatyce,rus,wysztyc,rus_wysztyc,163
1100,twierza,rus,twrz,rus_twrz,164
1100,ustrzyki,rus,ustrzyk,rus_strzyk,165
1100,wietlin,rus,wtln,rus_wtln,166
1100,lancut,rus,lncut,rus_lnct,167
1100,krasiczyn,rus,krsczyn,rus_krsczyn,168
1100,klucz_niklowiecki,rus,klucz_nklwck,rus_klcz_nklwck,169
1100,manasterz,rus,mnstrz,rus_mnstrz,170
1100,zulin,rus,zuln,rus_zln,171
1201,berszada,brc,brszd,brc_brszd,172
1201,borszczejowka,kij,brszczjwk,kij_brszczjwk,173
1201,bosowka,brc,bswk,brc_bswk,174
1201,braclaw,kij,brclw,kij_brclw,175
1201,brailow,kij,brlw,kij_brlw,176
1201,cekinowka,kij,cknwk,kij_cknwk,177
1201,chaszejowka,kij,chszjwk,kij_chszjwk,178
1201,chmielnik,kij,chmlnk,kij_chmlnk,179
1201,chwaszczow,kij,chwszczw,kij_chwszczw,180
1201,czekielnik,kij,czklnk,kij_czklnk,181
1201,czerniejowce,kij,czrnjwc,kij_czrnjwc,182
1201,daszow,kij,dszw,kij_dszw,183
1201,dziunkow,kij,dzunkw,kij_dznkw,184
1201,dωwinogrodka,kij,dωwngrdk,kij_dωwngrdk,185
1201,gologorz,kij,glgrz,kij_glgrz,186
1201,granow,kij,grnw,kij_grnw,187
1201,grygrycz,kij,grygrycz,kij_grygrycz,188
1201,gurniewice,kij,gurnwc,kij_grnwc,189
1201,hajsan,kij,hjsn,kij_hjsn,190
1201,ilince,kij,lnc,kij_lnc,191
1201,jahorlik,kij,jhrlk,kij_jhrlk,192
1201,janoszgrod,kij,jnszgrd,kij_jnszgrd,193
1201,janow,kij,jnw,kij_jnw,194
1201,jozefgrod,kij,jzfgrd,kij_jzfgrd,195
1201,kalnik,kij,klnk,kij_klnk,196
1201,kitajgrod,pod,ktjgrd,pod_ktjgrd,197
1201,kochanowka,kij,kchnwk,kij_kchnwk,198
1201,kolatynka,kij,kltynk,kij_kltynk,199
1201,kolumnow,kij,klumnw,kij_klmnw,200
1201,kruty,kij,kruty,kij_krty,201
1201,kublicz,kij,kublcz,kij_kblcz,202
1201,kuzminka,kij,kuzmnk,kij_kzmnk,203
1201,kuznica,kij,kuznc,kij_kznc,204
1201,komajgrod,kij,kmjgrd,kij_kmjgrd,205
1201,krasne,kij,krsn,kij_krsn,206
1201,lityn,kij,ltyn,kij_ltyn,207
1201,markowka,kij,mrkwk,kij_mrkwk,208
1201,miastkowka,kij,mstkwk,kij_mstkwk,209
1201,monasterzyska,kij,mnstrzysk,kij_mnstrzysk,210
1201,murachwa,kij,murchw,kij_mrchw,211
1201,niemirow,kij,nmrw,kij_nmrw,212
1201,obodowka,kij,bdwk,kij_bdwk,213
1201,pieczara,kij,pczr,kij_pczr,214
1201,przyluka,kij,przyluk,kij_przylk,215
1201,rajgrod,kij,rjgrd,kij_rjgrd,216
1201,raszkow,kij,rszkw,kij_rszkw,217
1201,roznialowka,kij,rznlwk,kij_rznlwk,218
1201,sawran,kij,swrn,kij_swrn,219
1201,sieliszcza,kij,slszcz,kij_slszcz,220
1201,salasze,kij,slsz,kij_slsz,221
1201,sokolowka,kij,sklwk,kij_sklwk,222
1201,strzyzawka,kij,strzyzwk,kij_strzyzwk,223
1201,szopkowice,kij,szpkwc,kij_szpkwc,224
1201,teplic,kij,tplc,kij_tplc,225
1201,terlowka,kij,trlwk,kij_trlwk,226
1201,tomaszpol,kij,tmszpl,kij_tmszpl,227
1201,trostianiec,kij,trstnc,kij_trstnc,228
1201,tulczyn,kij,tulczyn,kij_tlczyn,229
1201,turia,kij,tur,kij_tr,230
1201,tywrow,kij,tywrw,kij_tywrw,231
1201,uman,kij,umn,kij_mn,232
1201,winnica,kij,wnnc,kij_wnnc,233
1201,uladowka,pod,uldwk,pod_ldwk,234
1201,woronowica,kij,wrnwc,kij_wrnwc,235
1201,woroszylowka,kij,wrszylwk,kij_wrszylwk,236
1201,zadykowicz,kij,zdykwcz,kij_zdykwcz,237
1201,zinkow,pod,znkw,pod_znkw,238
1201,zorniszcza,kij,zrnszcz,kij_zrnszcz,239
1201,zwierzchowka,kij,zwrzchwk,kij_zwrzchwk,240
