id,deanery_id,deanery,adeacon_id,adeaconry,diocese_id,diocese,metrop_id,metropoly
229,2907,Kłodawa,2823,Łęczyca,2810,Gniezno,8341,Gniezno
230,8944,Latowicz,2824,Warszawa,2813,Poznań,8341,Gniezno
231,2941,Wschowa,2822,Śrem,2813,Poznań,8341,Gniezno
298,9017,Grodno,8362,Białoruś (Obolce Stare),8347,Wilno,8341,Gniezno
232,8948,Zielona Góra,2817,Głogów Wielki (Głogów),2812,Wrocław,8340,Rzym
233,2910,Gostynin,2825,Płock,2811,Płock,8341,Gniezno
235,2963,Sompolno,2827,Gniezno,2810,Gniezno,8341,Gniezno
236,2874,Gąbin,2824,Warszawa,2813,Poznań,8341,Gniezno
330,9018,Sztum,8356,Malbork,8344,Chełmno,8341,Gniezno
331,9019,Raduń,8362,Białoruś (Obolce Stare),8347,Wilno,8341,Gniezno
237,2942,Błonie,2824,Warszawa,2813,Poznań,8341,Gniezno
299,8988,Maków,2835,Pułtusk,2811,Płock,8341,Gniezno
238,8962,Zakroczym,2825,Płock,2811,Płock,8341,Gniezno
251,2909,Słupca,2827,Gniezno,2810,Gniezno,8341,Gniezno
239,2932,Piaseczno,2824,Warszawa,2813,Poznań,8341,Gniezno
240,2878,Wyszogród,2825,Płock,2811,Płock,8341,Gniezno
241,2856,"Gniezno, św. Trójca",2827,Gniezno,2810,Gniezno,8341,Gniezno
252,2905,"Gniezno, Michał A",2827,Gniezno,2810,Gniezno,8341,Gniezno
253,8954,Radzymin,2835,Pułtusk,2811,Płock,8341,Gniezno
242,2912,Kutno,2823,Łęczyca,2810,Gniezno,8341,Gniezno
332,9020,Jeziorany,9077,Warmia,8354,Warmia,8340,Rzym
243,8949,Drohiczyn,8368,Brześć Litewski,2808,Łuck,8342,Lwów
244,2915,Pyzdry,2830,Poznań,2813,Poznań,8341,Gniezno
245,2846,Liw,2824,Warszawa,2813,Poznań,8341,Gniezno
246,8961,Kowal,2839,Włocławek,2806,Włocławek,8341,Gniezno
247,8950,Kostrzyń,2830,Poznań,2813,Poznań,8341,Gniezno
248,8951,Stanisławów,2835,Pułtusk,2811,Płock,8341,Gniezno
249,8952,Łosice,8368,Brześć Litewski,2808,Łuck,8342,Lwów
250,8953,Środa,2830,Poznań,2813,Poznań,8341,Gniezno
333,9021,Dobre Miasto,9077,Warmia,8354,Warmia,8340,Rzym
255,8955,Kamieniec Litewski,8368,Brześć Litewski,2808,Łuck,8342,Lwów
256,8956,Świebodzin,2817,Głogów Wielki (Głogów),2812,Wrocław,8340,Rzym
257,2895,Grodzisk,2828,Pszczew,2813,Poznań,8341,Gniezno
258,8958,Buk,2830,Poznań,2813,Poznań,8341,Gniezno
259,2893,Płońsk,2825,Płock,2811,Płock,8341,Gniezno
260,2882,Brześć Kujawski,2839,Włocławek,2806,Włocławek,8341,Gniezno
261,8959,Bielsk Podlaski,8368,Brześć Litewski,2808,Łuck,8342,Lwów
262,8960,Bodzanów,2825,Płock,2811,Płock,8341,Gniezno
263,8963,Kamieńczyk,2835,Pułtusk,2811,Płock,8341,Gniezno
264,8964,Węgrów,8368,Brześć Litewski,2808,Łuck,8342,Lwów
265,2854,Radziejów,2839,Włocławek,2806,Włocławek,8341,Gniezno
266,2933,Kruszwica,2841,Kruszwica,2806,Włocławek,8341,Gniezno
267,2859,Żnin,2827,Gniezno,2810,Gniezno,8341,Gniezno
268,8965,Różana,8362,Białoruś (Obolce Stare),8347,Wilno,8341,Gniezno
269,2934,Pułtusk,2835,Pułtusk,2811,Płock,8341,Gniezno
270,8966,Bielsk,2825,Płock,2811,Płock,8341,Gniezno
271,8967,Szereszów,8368,Brześć Litewski,2808,Łuck,8342,Lwów
272,8968,Zbąszyń,2828,Pszczew,2813,Poznań,8341,Gniezno
273,8969,Lwówek,2828,Pszczew,2813,Poznań,8341,Gniezno
275,8975,Raciąż,2825,Płock,2811,Płock,8341,Gniezno
276,8976,Nowogródek,8362,Białoruś (Obolce Stare),8347,Wilno,8341,Gniezno
277,8979,Ostrów,2835,Pułtusk,2811,Płock,8341,Gniezno
278,8977,Wołkowysk,8362,Białoruś (Obolce Stare),8347,Wilno,8341,Gniezno
279,8980,Brańsk,8368,Brześć Litewski,2808,Łuck,8342,Lwów
280,8978,Bobrowniki,2839,Włocławek,2806,Włocławek,8341,Gniezno
281,8982,Lipno,2826,Dobrzyń,2811,Płock,8341,Gniezno
338,9026,Dzierzgoń,8356,Malbork,8344,Chełmno,8341,Gniezno
282,2916,Dobrzyń,2826,Dobrzyń,2811,Płock,8341,Gniezno
283,2865,Oborniki,2830,Poznań,2813,Poznań,8341,Gniezno
284,2857,Ciechanów,2825,Płock,2811,Płock,8341,Gniezno
286,8981,Wyszków,2835,Pułtusk,2811,Płock,8341,Gniezno
287,8984,Czarnków,2830,Poznań,2813,Poznań,8341,Gniezno
288,2928,Inowrocław,2841,Kruszwica,2806,Włocławek,8341,Gniezno
289,8985,Knyszyn,8362,Białoruś (Obolce Stare),8347,Wilno,8341,Gniezno
290,2866,Rypin,2826,Dobrzyń,2811,Płock,8341,Gniezno
291,8998,Lidzbark,8355,Chełmno,8344,Chełmno,8341,Gniezno
292,2950,Mława,2825,Płock,2811,Płock,8341,Gniezno
294,2944,Łekno,2827,Gniezno,2810,Gniezno,8341,Gniezno
295,8986,Gniewkowo,2841,Kruszwica,2806,Włocławek,8341,Gniezno
296,8987,Golub,8355,Chełmno,8344,Chełmno,8341,Gniezno
297,9016,Gniew,8364,Gdańsk,2806,Włocławek,8341,Gniezno
300,8993,Toruń,8355,Chełmno,8344,Chełmno,8341,Gniezno
307,8994,Janowo,2825,Płock,2811,Płock,8341,Gniezno
301,8989,Nakło,2840,Kamień,2810,Gniezno,8341,Gniezno
302,8990,Andrzejewo,2835,Pułtusk,2811,Płock,8341,Gniezno
303,2953,Szreńsk,2825,Płock,2811,Płock,8341,Gniezno
304,9000,Chełmno,8355,Chełmno,8344,Chełmno,8341,Gniezno
305,8991,Więcbork,2840,Kamień,2810,Gniezno,8341,Gniezno
306,8992,Górzno,2826,Dobrzyń,2811,Płock,8341,Gniezno
314,2867,Łomża,2835,Pułtusk,2811,Płock,8341,Gniezno
315,9001,Fordon,2841,Kruszwica,2806,Włocławek,8341,Gniezno
316,9002,Radzyń,8355,Chełmno,8344,Chełmno,8341,Gniezno
317,9003,Nowe Miasto,8355,Chełmno,8344,Chełmno,8341,Gniezno
318,9014,Nowe,8364,Gdańsk,2806,Włocławek,8341,Gniezno
319,9015,Barczewo,9077,Warmia,8354,Warmia,8340,Rzym
320,9004,Łobżenica,2840,Kamień,2810,Gniezno,8341,Gniezno
321,9005,Łasin,8355,Chełmno,8344,Chełmno,8341,Gniezno
322,9006,Człuchów,2840,Kamień,2810,Gniezno,8341,Gniezno
323,9007,Lubawa,8355,Chełmno,8344,Chełmno,8341,Gniezno
324,9008,Grudziąc,8355,Chełmno,8344,Chełmno,8341,Gniezno
325,9009,Wąsosz,2835,Pułtusk,2811,Płock,8341,Gniezno
