id,deanery_id,deanery,adeacon_id,adeaconry,diocese_id,diocese,metrop_id,metropoly
309,8996,Augustów,8362,Białoruś (Obolce Stare),8347,Wilno,8341,Gniezno
140,8890,Bodzentyn,2832,Prepozytura Kielce,2809,Kraków,8341,Gniezno
141,8888,Bogacica,2836,Opole,2812,Wrocław,8340,Rzym
142,8891,Borów,2816,Wrocław,2812,Wrocław,8340,Rzym
143,8892,Kamienna Góra,2816,Wrocław,2812,Wrocław,8340,Rzym
144,8893,Bolków,2816,Wrocław,2812,Wrocław,8340,Rzym
145,8894,Gorzów Śląski,2836,Opole,2812,Wrocław,8340,Rzym
146,8895,Kąty Wrocławskie,2816,Wrocław,2812,Wrocław,8340,Rzym
147,8896,Strzegowa (Strzegom),2816,Wrocław,2812,Wrocław,8340,Rzym
148,8917,Cerkiew,2816,Wrocław,2812,Wrocław,8340,Rzym
149,8918,Skrzynno,2814,Kurzelów,2810,Gniezno,8341,Gniezno
150,8897,Jelenia Góra,8373,Lignica (Legnica),2812,Wrocław,8340,Rzym
151,8898,Lubomierz,8373,Lignica (Legnica),2812,Wrocław,8340,Rzym
152,8899,Namysłów,2816,Wrocław,2812,Wrocław,8340,Rzym
153,8900,Kunów,2832,Prepozytura Kielce,2809,Kraków,8341,Gniezno
154,8901,Rychtal,2816,Wrocław,2812,Wrocław,8340,Rzym
310,8997,Wąbrzeźno,8355,Chełmno,8344,Chełmno,8341,Gniezno
311,2898,Wizna,2835,Pułtusk,2811,Płock,8341,Gniezno
