table,index,year,value,villages,near,is_sum
100,pdl_mdzyrzcz_pdlsk,1722,1390,0,0,0
100,pdl_mdzyrzcz_pdlsk,1723,1200,0,0,0
100,pdl_mdzyrzcz_pdlsk,1724,1200,0,0,0
100,pdl_mdzyrzcz_pdlsk,1733,1218,0,0,0
100,pdl_mdzyrzcz_pdlsk,1734,1218,0,0,0
100,pdl_mdzyrzcz_pdlsk,1736,1200,0,0,0
100,pdl_mdzyrzcz_pdlsk,1744,1200,0,0,0
100,pdl_mdzyrzcz_pdlsk,1745,1200,0,0,0
100,pdl_mdzyrzcz_pdlsk,1748,1663,0,0,0
100,pdl_mdzyrzcz_pdlsk,1753,400,0,0,0
100,pdl_mdzyrzcz_pdlsk,1754,600,0,0,0
100,pdl_mdzyrzcz_pdlsk,1755,200,0,0,0
100,pdl_mdzyrzcz_pdlsk,1760,800,0,0,0
100,pdl_mdzyrzcz_pdlsk,1761,600,0,0,0
100,pdl_mdzyrzcz_pdlsk,1762,600,0,0,0
100,pdl_mdzyrzcz_pdlsk,1764,600,0,0,0
100,pzn_pznn,1717,3322,0,0,0
100,pzn_pznn,1718,3322,0,0,0
100,pzn_pznn,1721,2067,0,0,0
100,pzn_pznn,1722,2068,0,0,0
100,pzn_pznn,1723,2536,0,0,0
100,pzn_pznn,1727,1760,0,0,0
100,pzn_pznn,1739,2358,0,0,0
100,pzn_pznn,1743,3340,0,0,0
100,pzn_pznn,1745,3100,0,0,0
100,pzn_pznn,1747,4292,0,0,0
100,pzn_pznn,1748,3110,0,0,0
100,pzn_pznn,1749,3064,0,0,0
100,pzn_pznn,1751,4616,0,0,0
100,pzn_pznn,1753,3118,0,0,0
100,pzn_pznn,1754,2720,0,0,0
100,pzn_pznn,1755,3528,0,0,0
100,pzn_pznn,1756,3623,0,0,0
100,pzn_pznn,1758,3485,0,0,0
100,pzn_pznn,1760,3521,0,0,0
100,pzn_pznn,1761,3417,0,0,0
100,maz_wysk_mzwck,1729,100,179,0,0
100,maz_wysk_mzwck,1733,110,108,0,0
100,maz_wysk_mzwck,1734,160,83,0,0
100,maz_wysk_mzwck,1735,170,65,0,0
100,maz_wysk_mzwck,1737,170,89,0,0
100,maz_wysk_mzwck,1739,170,124,0,0
100,maz_wysk_mzwck,1741,200,159,0,0
100,maz_wysk_mzwck,1749,280,165,0,0
100,rus_przmysl,1717,2888,0,0,0
100,rus_przmysl,1718,2886,0,0,0
100,rus_przmysl,1719,1801,0,0,0
100,rus_przmysl,1720,2469,0,0,0
100,rus_przmysl,1721,2139,0,0,0
100,rus_przmysl,1722,2112,0,0,0
100,rus_przmysl,1723,1368,0,0,0
100,rus_przmysl,1724,1871,0,0,0
100,rus_przmysl,1733,1683,0,0,0
