table,name,viv,index,kalik_id,newname,lon,lat
601,ostromecko,chl,chl_strmck,751,"",18.2216271501657,53.1525513135076
603,konin,kls,kls_knn,792,"",18.2611830948784,52.1993310614889
603,koωminek,kls,kls_kωmnk,793,"",18.2666666666667,51.7666666666667
602,inowroclaw,inw,inw_nwrclw,760,"",18.2856831720379,52.7986200298129
603,zlotowo,kls,kls_zltw,816,"",18.45,52.4333333333333
603,russocice,kls,kls_rsscc,805,"",18.4904932718208,52.0959066952781
605,zloczew,srd,swr_zlczw,851,"",18.61666667,51.41666667
605,dobra,srd,swr_dbr,841,"",18.6302706797126,51.9148540152208
601,torun,chl,chl_trn,755,"",18.6336208071564,53.0184526916569
605,warta,srd,swr_wrt,852,"",18.6375088667701,51.7135844167648
603,kolo,kls,kls_kl,791,"",18.6383425310967,52.1800953420951
605,burzenin,srd,swr_brznn,837,"",18.83333333,51.46666667
601,pokrzywno,chl,chl_pkrzywn,754,"",18.8513148632285,53.4398830965791
702,dzialoszyn,sier,sier_dzlszyn,958,"",18.8666666666667,51.1166666666667
605,widawa,srd,swr_wdw,853,"",18.95,51.43333333
605,grabow,srd,swr_grbw,842,"",19.0166666666667,52.1333333333333
601,szembruk,chl,chl_szmbrk,752,"",19.0215373759096,53.5584541843512
604,kalow,lcz,lcz_klw,828,"",19.0377969320397,51.8349912503569
701,biala,krk,krk_bl,944,"",19.05,49.8166666666667
602,kikol,inw,inw_kkl,762,"",19.1166666666667,52.9166666666667
701,czestochowa,krk,krk_czstchw,924,"",19.11666667,50.8
605,lask,srd,swr_lsk,854,"",19.1381094623661,51.5937669181229
701,bedzin,krk,krk_bdzn,921,"",19.15,50.3166666666667
604,krosniewice,lcz,lcz_krsnwc,829,"",19.1628713168798,52.257173559542
602,lipno,inw,inw_lpn,764,"",19.1833333333333,52.85
604,leczyca,lcz,lcz_lczyc,830,"",19.1851132350946,52.0602086541128
604,parzeczew,lcz,lcz_przczw,831,"",19.2142752438699,51.9392022265671
701,zywiec,krk,krk_zywc,956,"",19.21666667,49.68333333
701,oswiecim,krk,krk_swcm,953,"",19.2199817805724,50.0389134002222
605,lutomiersk,srd,swr_ltmrsk,855,"",19.2211218751091,51.7447458045709
601,plowez,chl,chl_plwz,753,"",19.2211338684677,53.4339063345727
701,olsztyn,krk,krk_lsztyn,937,"",19.26666667,50.75
602,radziki,inw,inw_rdzk,769,"",19.2833333333333,53.1666666666667
703,dabrow,snd,snd_dbrw,970,"",,
602,dobrzyn,inw,inw_dbrzyn,758,"",19.3166666666667,52.6333333333333
701,zarki,krk,krk_zrk,950,"",19.3646385512403,50.6267316409447
608,kutno,rwa,raw_ktn,916,"",19.365384861164,52.2343616582197
608,jakubek_in_kutno,rwa,raw_jkbk_n_ktn,915,"",19.36666667,52.23333333
701,chrzanow,krk,krk_chrznw,951,"",19.4073151859327,50.1428386339043
701,zator,krk,krk_ztr,954,"",19.4366407309876,49.9963072727383
608,gostynin,rwa,raw_gstynn,913,"",19.4698938969765,52.4204964592252
604,piatek,lcz,lcz_ptk,832,"",19.4776511987897,52.0701660096744
701,kromolow,krk,krk_krmlw,929,"",19.51666667,50.48333333
605,tuszyn,srd,swr_tszyn,848,"",19.55,51.6
701,olkusz,krk,krk_lksz,936,"",19.5610273003353,50.2799178617954
604,strykow,lcz,lcz_strykw,834,"",19.6101199865212,51.8952536495223
601,bratian,chl,chl_brtn,748,"",19.6166666666667,53.45
701,lelow,krk,krk_llw,947,"",19.623860080642,50.6823363132487
608,zychlin,rwa,raw_zychln,920,"",19.6333333333333,52.25
604,bielawy,lcz,lcz_blwy,824,"",19.657683841721,52.0696896055206
606,sierpc,plc,plc_srpc,863,"",19.676986166703,52.846907067628
604,sobota,lcz,lcz_sbt,833,"",19.6787658287715,52.1199286433841
701,makow_podhalanski,krk,krk_mkw_pdhlnsk,932,"",19.68333333,49.73333333
606,plock,plc,plc_plck,860,"",19.6868871563571,52.5452559167792
605,piotrkow,srd,swr_ptrkw,846,"",19.6995187781732,51.3998168315162
701,naklo,krk,krk_nkl,948,"",19.7272786835548,50.6580585739161
608,glowno,rwa,raw_glwn,912,"",19.7294985917311,51.9562852954767
802,glowno,rwa,raw_glwn,1052,"",19.7294985917311,51.9562852954767
608,gabin,rwa,raw_gbn,909,"",19.7463604130323,52.4015965961398
604,brzeziny,lcz,lcz_brzzny,827,"",19.7523089633067,51.8025157705036
701,wolbrom,krk,krk_wlbrm,942,"",19.7575177310378,50.386130638554
601,wlewsk,chl,chl_wlwsk,756,"",19.7655826452937,53.2617306698117
601,fijewo,chl,chl_fjw,750,"",19.7666666666667,53.5
701,szczekociny,krk,krk_szczkcny,940,"",19.81769531201,50.6267904556694
703,secemin,snd,snd_scmn,1012,"",19.8376232208363,50.7651792255722
701,zarnowiec,krk,krk_zrnwc,943,"",19.8645519257054,50.4862766813287
601,ciborz,chl,chl_cbrz,749,"",19.870970350205,53.2561379965529
606,biezun,plc,plc_bzn,856,"",19.8883779124893,52.9522695042882
703,przedborz,snd,snd_przdbrz,989,"",19.8902752076779,51.0871861107212
608,grodzisk,rwa,raw_grdzsk,910,"",19.8,51.9166666666667
604,ujazd,lcz,lcz_jzd,835,"",19.9188598067443,51.5967624698702
100,kazimierz,krk,krk_kzmrz,6,"",19.9466672325367,50.0516214964871
703,wloszczowa,snd,snd_wlszczw,1000,"",19.9698713046743,50.8512954703839
701,kuznice,krk,krk_kznc,931,"",19.9833333333333,49.2666666666667
606,drobin,plc,plc_drbn,857,"",19.9909173215416,52.7286808563644
501,libicza,blz,blz_lbcz,697,"",,
701,nowy_targ,krk,krk_nwy_trg,934,"",20.03333333,49.48333333
606,kuczbork,plc,plc_kczbrk,858,"",20.0490084380689,53.0796263297679
608,gluchow,rwa,raw_glchw,911,"",20.0666666666667,51.7833333333333
606,radzanow,plc,plc_rdznw,862,"",20.0803995666807,52.9370553542593
606,szrensk,plc,plc_szrnsk,864,"",20.1257049859446,53.0147915121055
701,ksiaz,krk,krk_ksz,930,"",20.1333333333333,50.45
703,zarnow,snd,snd_zrnw,1003,"",20.18333333,51.25
701,wodzislaw,krk,krk_wdzslw,949,"",20.1890120637673,50.5216186745448
605,wyszogrod,maz,maz_wyszgrd,850,"",20.1991704829083,52.3906221685169
701,oksza,krk,krk_oksz,935,"",20.1,50.7333333333333
608,sochaczew,rwa,raw_schczw,919,"",20.2583077456788,52.2296990080455
702,sochaczew,rwa,raw_schczw,963,"",20.2583077456788,52.2296990080455
802,stara_rawa,rwa,raw_str_rw,1068,"",20.2833333333333,51.8833333333333
703,opoczno,snd,snd_pczn,1004,"",20.3017065123084,51.3797836032394
701,dzialoszyce,krk,krk_dzlszyc,926,"",20.3518672181044,50.364328748119
606,plonsk,plc,plc_plnsk,861,"",20.3864709374641,52.6145747441871
606,mlawa,plc,plc_mlw,859,"",20.3958996049872,53.1128967392486
701,proszowice,krk,krk_prszwc,939,"",20.3,50.2
703,konskie,snd,snd_knsk,978,"",20.41666667,51.2
703,gowarczow,snd,snd_gwrczw,973,"",20.43333333,51.28333333
703,sobkow,snd,snd_sbkw,1011,"",20.4506221751522,50.6993455566878
703,checiny,snd,snd_chcny,969,"",20.45,50.73333333
701,wisnicz,krk,krk_wsncz,941,"",20.4666666666667,49.9166666666667
802,biala,rwa,raw_bl,1048,"",20.4773922660233,51.8021499658723
703,gielniow,snd,snd_glnw,972,"",20.48333333,51.4
703,drzewica,snd,snd_drzwc,1006,"",20.4945643911962,51.4539240908487
701,koscielec,krk,krk_ksclc,946,"",20.4,50.2
608,mszczonow,rwa,raw_mszcznw,917,"",20.5136354357333,51.9662065567487
803,korytnica,snd,snd_krytnc,1086,"",20.5166666666667,50.6666666666667
703,pinczow,snd,snd_pnczw,986,"",20.5264118280355,50.5189216953248
803,odrzywol,snd,snd_drzywl,1109,"",20.55,51.53333333
703,nowemiasto,snd,snd_nwmst,1009,"",20.5833333333333,51.6166666666667
802,nowemiasto_on_pilica,rwa,raw_nwmst_n_plc,1060,"",20.58333333,51.63333333
605,ciechanow,maz,maz_cchnw,840,"",20.6131654524722,52.8768091320985
100,grodzisk,maz,maz_grdzsk,4,"",20.6166666666667,52.1
701,brzesko,krk,krk_brzsk,923,"",20.61666667,49.96666667
703,prysucha,snd,snd_prysch,987,"",20.6333333333333,51.3666666666667
803,przysucha,snd,snd_przysch,1090,"",20.6391173267673,51.3543741954957
803,klwow,snd,snd_klww,1085,"",20.6508370180592,51.5302196804942
703,wislica,snd,snd_wslc,999,"",20.6725883063707,50.3503113545614
502,pilaszkowiec,lbl,lbl_plszkwc,747,"",,
900,pilaszkowiec,lbl,lbl_plszkwc,1114,"",,
701,nowy_sacz,krk,krk_nwy_scz,933,"",20.690447443607,49.6277523000376
803,skrzynno,snd,snd_skrzynn,1097,"",20.71666667,51.36666667
703,chmielnik,snd,snd_chmlnk,1005,"",20.751816260778,50.6157205294638
803,suchowola,snd,snd_schwl,1100,"",20.75,50.6333333333333
703,pierzchnica,snd,snd_przchnc,985,"",20.75,50.7
605,nasielsk,maz,maz_nslsk,845,"",20.8079336703153,52.5764054722053
803,szydlowiec,snd,snd_szydlwc,1101,"",20.8598638067476,51.2277101824852
