table,index,id,community,community_code,land,table_abbr,potential,lon,lat,newname
1000,pod_kp,68,podolia,pdl,Podolia,podolia,158,26.5333333333333,49.9666666666667,""
1000,pod_lchwc,69,podolia,pdl,Podolia,podolia,60,27.3633924845133,48.6881049715231,""
1000,pod_rynn,70,podolia,pdl,Podolia,podolia,439,26.411212872189,48.7500077187815,""
1000,pod_zrzync,71,podolia,pdl,Podolia,podolia,890,27.788517159541,48.5388364606765,""
1000,pod_pkw,72,podolia,pdl,Podolia,podolia,352,28.2833333333333,49.5666666666667,""
1000,pod_plw,73,podolia,pdl,Podolia,podolia,280,27.45,49.6,""
1000,pod_pbznny,74,podolia,pdl,Podolia,podolia,391,25.5853,48.7433,Potochyshche
1000,pod_plskrw,75,podolia,pdl,Podolia,podolia,400,27,49.41666667,""
1000,pod_slch,76,podolia,pdl,Podolia,podolia,60,26.8833333333333,49.8666666666667,""
1000,pod_stnw,78,podolia,pdl,Podolia,podolia,750,26.2570355829167,49.256210001541,""
1000,pod_swnc,79,podolia,pdl,Podolia,podolia,183,26.7997855179463,49.0814533904746,""
1000,pod_srbr,80,podolia,pdl,Podolia,podolia,107,29.9333333333333,48.5666666666667,""
1000,pod_sdrw,81,podolia,pdl,Podolia,podolia,160,26.1549004442975,49.0109341390287,""
1000,pod_skl,82,podolia,pdl,Podolia,podolia,360,26.1952719535816,48.8449278881399,""
1000,pod_smtrycz,83,podolia,pdl,Podolia,podolia,340,26.5419864756668,48.9487410006871,""
1000,pod_sndkw,84,podolia,pdl,Podolia,podolia,0,27.6333333333333,48.8166666666667,""
1000,pod_sntwk,85,podolia,pdl,Podolia,podolia,100,27.5034472424196,49.3334331663167,""
1000,pod_snydkw,86,podolia,pdl,Podolia,podolia,474,27.6333333333333,48.8166666666667,""
1000,pod_sklc,87,podolia,pdl,Podolia,podolia,430,27.0774297285751,48.7371966417511,""
1000,pod_slbkwc,88,podolia,pdl,Podolia,podolia,118,26.9166666666667,49.0833333333333,""
1000,pod_stdnc,90,podolia,pdl,Podolia,podolia,360,28.4166666666667,49.1333333333333,""
1000,pod_sdkwc,91,podolia,pdl,Podolia,podolia,170,26.9166666666667,49.1833333333333,""
1000,pod_szrwk,92,podolia,pdl,Podolia,podolia,810,26.9801216083181,49.2139927623949,""
1000,pod_szrgrd,93,podolia,pdl,Podolia,podolia,1333,28.0916649585137,48.7389628625526,""
1000,pod_sztw,94,podolia,pdl,Podolia,podolia,200,26.7065941063316,48.7680695783116,""
1000,pod_trnwdy,95,podolia,pdl,Podolia,podolia,394,26.2333,49.4167,Tarnoruda
1000,pod_ttrzysk,96,podolia,pdl,Podolia,podolia,200,26.9,48.9833333333333,""
1000,pod_ttls,,podolia,pdl,Podolia,podolia,37776,,,""
1000,pod_tlst,97,podolia,pdl,Podolia,podolia,252,25.7368977000694,48.8518484148717,""
1000,pod_lnwc,98,podolia,pdl,Podolia,podolia,120,25.8256,48.9003,Ulashkivtsi
1000,pod_trylcz,99,podolia,pdl,Podolia,podolia,50,48.9333333333333,53.3666666666667,""
1000,pod_szyc,100,podolia,pdl,Podolia,podolia,260,27.0833333333333,48.6,""
1000,pod_lnw,101,podolia,pdl,Podolia,podolia,594,28.13333333,49.7,""
1000,pod_wrzbwc,102,podolia,pdl,Podolia,podolia,180,27.4299113447288,48.7168171708956,""
1000,pod_lszkwc,103,podolia,pdl,Podolia,podolia,185,25.83333333,48.9,""
1000,pod_wrzbwk,104,podolia,pdl,Podolia,podolia,66,26.2333333333333,48.75,""
1000,pod_wnkwc,105,podolia,pdl,Podolia,podolia,582,27.2237433990833,49.0300187921068,""
1000,pod_zmchw,107,podolia,pdl,Podolia,podolia,560,27.3666279663849,48.8540389403032,""
1000,pod_zbrzyszcz,108,podolia,pdl,Podolia,podolia,880,26.1833,48.9333,Zbryzh
1000,pod_znkw,109,podolia,pdl,Podolia,podolia,540,27.0737578551854,49.0927358718654,""
1000,pod_lczync,110,podolia,pdl,Podolia,podolia,160,27.8239014146597,48.7131941540745,""
1000,pod_mkw,111,podolia,pdl,Podolia,podolia,350,26.6880852450822,48.7902836831939,""
1000,pod_zwnc,112,podolia,pdl,Podolia,podolia,1320,26.5,48.55,""
1100,rus_bbc_bchw,113,przemysl,przmysl,Autonomous,przemysl,60,24.65,49.5333333333333,""
1100,rus_blcz,114,przemysl,przmysl,Autonomous,przemysl,60,,,""
1100,rus_brcz,115,przemysl,przmysl,Autonomous,przemysl,140,22.4799927762449,49.6827438179612,""
1100,rus_bybl,116,przemysl,przmysl,Autonomous,przemysl,0,,,""
1100,rus_chdnwcz,117,przemysl,przmysl,Autonomous,przemysl,50,,,""
1100,rus_chyrw,118,przemysl,przmysl,Autonomous,przemysl,550,22.8512160134777,49.5356750820732,""
1100,rus_czrn,119,przemysl,przmysl,Autonomous,przemysl,80,,,""
1100,rus_czpnwcz,120,przemysl,przmysl,Autonomous,przemysl,50,,,""
1100,rus_dbrml,121,przemysl,przmysl,Autonomous,przemysl,2600,22.7820199767628,49.5714563340374,""
