,Kahal,name,pepole,childs,,,,
v,Miasto Zawałów,,155,13,,,,
v,Miasto Zawałów,Jablonówka,4,,,,,
v,Miasto Zawałów,Serednie,2,1,,,,
v,Miasto Zawałów,Zaturyn,5,,,,,
v,Miasto Zawałów,Sieniawka,6,,,,,
v,Miasto Zawałów,Hurilcze,6,,,,,
v,Miasto Zawałów,Nossów,8,,,,,
v,Miasto Zawałów,Dryszczów,5,3,,,,
v,Miasto Zawałów,Byszów,5,1,,,,
v,Miasto Zawałów,Boków,4,1,,,,
v,Miasto Zawałów,Marków,4,,,,,
v,Miasto Bursztyn,,438,15,,,,
v,Miasto Bursztyn,Nastaszczyn,8,1,,,,
v,Miasto Bursztyn,Janaszków,5,1,,,,
v,Miasto Bursztyn,Sarnki średnie,5,1,,,,
v,Miasto Bursztyn,dolne,7,,,,,
v,Miasto Bursztyn,Jezierzany,6,,,,,
v,Miasto Bursztyn,Kuropatniki,5,1,,,,
v,Miasto Bursztyn,Jenetniki,7,,,,,
,Summa,,481,20,,,,
v,Miasto Podhajce,,1011,68,,,,
v,Miasto Podhajce,Mądzelówka,4,,,,,
v,Miasto Podhajce,Gniłowody,9,,,,,
v,Miasto Podhajce,Lipa,4,1,,,,
v,Miasto Podhajce,Wirzbów,8,,,,,
v,Miasto Podhajce,Uhrynów,5,,,,,
v,Miasto Podhajce,Rudniki,6,1,,,,
v,Miasto Podhajce,Moryłów,14,,,,,
v,Miasto Podhajce,Nowosiółka,13,,,,,
v,Miasto Podhajce,Białokiernica,9,,,,,
v,Miasto Podhajce,Małowody,5,,,,,
v,Miasto Podhajce,Iszczków,8,2,,,,
v,Miasto Podhajce,Rohatkowce,11,,,,,
v,Miasto Podhajce,Bieniawa,9,,,,,
v,Miasto Podhajce,Siemikowce,5,,,,,
v,Miasto Podhajce,Rakowiec,6,,,,,
v,Miasto Podhajce,Sosnów,4,,,,,
v,Miasto Podhajce,Sokołów,30,1,,,,
v,Miasto Podhajce,Miasteczko Złotniki,40,3,,,,
v,Miasto Podhajce,Brykula,15,2,,,,
v,Miasto Podhajce,Miasteczko Wiśniowczyk,32,,,,,
v,Miasto Podhajce,Hayworonka,3,,,,,
v,Miasto Podhajce,Miasteczko Zarwanica,19,,,,,
v,Miasto Podhajce,Dobropole,6,1,,,,
v,Miasto Podhajce,Sapowa,4,,,,,
v,Miasto Podhajce,Koturów,10,,,,,
v,Miasto Wojniłów,,228,21,,,,
v,Miasto Wojniłów,Niegowce,12,,,,,
v,Miasto Wojniłów,Humenów,5,,,,,
v,Miasto Wojniłów,Wirzebnia,6,1,,,,
v,Miasto Wojniłów,Zawadka,13,1,,,,
v,Miasto Wojniłów,Bolochów,16,1,,,,
v,Miasto Wojniłów,Zbora,13,3,,,,
v,Miasto Wojniłów,Stankowa,5,2,,,,
v,Miasto Wojniłów,Dolha,7,,,,,
v,Miasto Wojniłów,Perekosy,5,,,,,
v,Miasto Wojniłów,Protesy,6,1,,,,
v,Miasto Wojniłów,Dąbrowa,6,,,,,
v,Miasto Wojniłów,Tomaszowce,16,,,,,
v,Miasto Wojniłów,Dubowica,4,,,,,
v,Miasto Wojniłów,Cwitowa,6,,,,,
v,Miasto Wojniłów,Łuka,6,,,,,
v,Miasto Wojniłów,Dołżka,5,1,,,,
v,Miasto Wojniłów,Kołodziejów,13,1,,,,
v,Miasto Wojniłów,Dorohów,15,1,,,,
v,Miasto Wojniłów,Serednie,10,1,,,,
v,Miasto Wojniłów,Siółko,8,,,,,
