,Kahal,name,pepole,childs,,,,
v,Miasto Kałusz,Kadobne,8,,,,,
v,Miasto Kałusz,Mościska,14,1,,,,
v,Miasto Kałusz,Kopanki,16,,,,,
v,Miasto Kałusz,Karczma w Żupie miejskiej,9,,,,,
v,Miasto Kałusz,Szafarz w Żupie miejskiej,15,1,,,,
v,Miasto Kałusz,Szafarz w Żupach Petra-,,,,,,
v,Miasto Kałusz,neckich,3,,,,,
v,Miasto Kałusz,Szafarz w Żupach Kraśniań-,,,,,,
v,Miasto Kałusz,skich,6,,,,,
v,Miasto Kałusz,Szafarz w Żup Nowickich,,,,,,
v,Miasto Kałusz,w Leśnej,3,,,,,
v,Miasto Kałusz,Adamówce,6,,,,,
v,Miasto Kałusz,Tarnawce,4,1,,,,
v,Miasto Kałusz,Studzienka,5,,,,,
v,Miasto Kałusz,Podhorki,4,,,,,
v,Miasto Kałusz,Chocin,5,,,,,
v,Miasto Kałusz,Podmichale część Wnej Ja-,,,,,,
v,Miasto Kałusz,strzębskiej,25,2,,,,
v,Miasto Kałusz,Podmichale część succeso-,,,,,,
v,Miasto Kałusz,rów lhornickich,17,3,,,,
v,Miasto Kałusz,Podmichale część Im P,,,,,,
v,Miasto Kałusz,Wolskiego ’,5,,,,,
v,Miasto Kałusz,Winnica królewska,5,,,,,
v,Miasto Kałusz,Bereznica cz Im P Omie-,,,,,,
v,Miasto Kałusz,cińskiego,8,,,,,
v,Miasto Kałusz,Bereznica cz Im P Świe-,,,,,,
v,Miasto Kałusz,źawskiego,4,,,,,
v,Miasto Kałusz,Bereznica części ImPP Ja-,,,,,,
v,Miasto Kałusz,sińskich,8,,,,,
v,Miasto Kałusz,Holyń cz JMP Górskiej,18,1,,,,
v,Miasto Kałusz,Giedzińskiej,17,1,,,,
v,Miasto Kałusz,Szeszoryńca,,,,,,
v,Miasto Kałusz,Hołyńskiego,4,,,,,
v,Miasto Kałusz,Holyń część JO Xiężnej,,,,,,
v,Miasto Kałusz,Czetweryńskiej,23,1,,,,
v,Miasto Kałusz,Holyń część JMP Żale-,,,,,,
v,Miasto Kałusz,skiego,20,,,,,
v,Miasto Kałusz,Holyń część JMP Gorzkie-,,,,,,
v,Miasto Kałusz,wieża,3,1,,,,
v,Miasto Kałusz,Holyń część JMP Andrzeja,,,,,,
v,Miasto Kałusz,Sulatyckiego,5,1,,,,
v,Miasto Kałusz,Holyń część JMP Stanisła-,,,,,,
v,Miasto Kałusz,wa Dąbrowskiego,7,,,,,
v,Miasto Kałusz,Holyń część JMP Mahury-,,,,,,
v,Miasto Kałusz,cza Hołyńskiego,6,,,,,
v,Miasto Kałusz,Kotiatycze część JMP Su-,,,,,,
v,Miasto Kałusz,latyckiego,5,1,,,,
v,Miasto Kałusz,Turyłów część JMPP Su-,,,,,,
v,Miasto Kałusz,latyckich,15,,,,,
v,Miasto Kałusz,Turyłów część JMP Żura-,,,,,,
v,Miasto Kałusz,kowskiego,11,,,,,
v,Miasto Kałusz,Turyłów część JMP Zie-,,,,,,
v,Miasto Kałusz,lińskiego,8,,,,,
v,Miasto Kałusz,Turyłów część JMP Zaleskiego ,5,,,,,
v,Summa,,1662,86,,,,
v,Miasto Stanisławów,,847,78,,,,
v,Miasto Stanisławów,Rybna,6,1,,,,
v,Miasto Stanisławów,Jamnica,8,1,,,,
v,Miasto Stanisławów,Uhrynów,5,,,,,
v,Miasto Stanisławów,Pascieczna,2,,,,,
v,Miasto Stanisławów,Zagwozdz,15,1,,,,
v,Miasto Stanisławów,Pacyków,7,,,,,
v,Miasto Stanisławów,Krechowce,4,,,,,
v,Miasto Stanisławów,Czukałówka,8,,,,,
v,Miasto Stanisławów,Ooryszowce,6,,,,,
v,Summa,,908,81,,,,
v,Miasto Buczacz,,988,67,,,,
v,Miasto Buczacz,Miasteczko Barysz,59,7,,,,
v,Miasto Buczacz,Rydoduby,7,,,,,
v,Miasto Buczacz,Pilawa,5,,,,,
v,Miasto Buczacz,Pętlikowce,14,2,,,,
v,Miasto Buczacz,Bielownica,6,,,,,
v,Miasto Buczacz,Ossowce,10,1,,,,
v,Miasto Buczacz,Medwedowce,8,1,,,,
v,Miasto Buczacz,Nowostawce,6,,,,,
v,Miasto Buczacz,Leszczanka,5,,,,,
v,Miasto Buczacz,Podzameczek,4,1,,,,
v,Miasto Buczacz,Przewłoka,14,3,,,,
v,Miasto Buczacz,Pieszkowce,6,,,,,
v,Miasto Buczacz,Zurawince,5,1,,,,
v,Miasto Buczacz,Porębowa,5,1,,,,
v,Miasto Buczacz,Soroki,9,2,,,,
v,Miasto Buczacz,Babulince,5,1,,,,
v,Miasto Buczacz,Zubrzyc,10,3,,,,
v,Miasto Buczacz,Kujdanów,4,,,,,
v,Miasto Buczacz,Trybuchowce,14,,,,,
v,Miasto Buczacz,Rohomysz,5,,,,,
v,Miasto Buczacz,Dzuryn,20,,,,,
v,Miasto Buczacz,Słobudka,13,,,,,
v,Miasto Buczacz,Żyznomierz,9,1,,,,
v,Miasto Buczacz,Zalisie,9,,,,,
v,Miasto Buczacz,Nowosiółka,8,,,,,
v,Miasto Buczacz,Kurdwanówka,5,,,,,
v,Miasto Buczacz,Romaszówka,8,,,,,
v,Miasto Buczacz,Zynogród,6,1,,,,
v,Summa,,1267,91,,,,
