Voivodeship,Powiat,Name,type,Pop,total,
Krakow,Biecz,Zmigrod Kahal,,1926,2950,
Krakow,Biecz,Dukla,,806,,
Krakow,Biecz,Bobowa,,218,,
,,,,,,
,,,,,,
Sandomierz,Sandomierz,Sandomierz,with villages,801,11677,
Sandomierz,Sandomierz,Staszow,with villages,776,,
Sandomierz,Sandomierz,Opatow,with villages,2034,,
Sandomierz,Sandomierz,Polaniec,with villages,648,,
Sandomierz,Sandomierz,Ostrowiec,with villages,904,,
Sandomierz,Sandomierz,Tarlow,with villages,610,,
Sandomierz,Sandomierz,Rozwadow,with villages,368,,
Sandomierz,Sandomierz,Baranow,with villages,435,,
Sandomierz,Sandomierz,Ulanow,with villages,848,,
Sandomierz,Sandomierz,Dzikow,with villages,569,,
Sandomierz,Sandomierz,Ozarow,with villages,1047,,
Sandomierz,Sandomierz,Klimontow,with villages,858,,
Sandomierz,Sandomierz,Mielec,with villages,914,,
Sandomierz,Biecz,Rudnik,with villages,196,,
Sandomierz,Biecz,Iwaniska,with villages,598,,
Sandomierz,Biecz,Bogoria,with villages,271,,
,,,,,,
Sandomierz,Wislica,Wislica,with villages,256,8911,
Sandomierz,Wislica,Nowe Miasto seu Korczyn,with villages,1536,,
Sandomierz,Wislica,Pinczow,with villages,2862,,
Sandomierz,Wislica,Chmielnik,with villages,1467,,
Sandomierz,Wislica,Stopnica,with villages,563,,
Sandomierz,Wislica,Szydlow,with villages,430,,
Sandomierz,Wislica,Zabno,with villages,636,,
Sandomierz,Wislica,Olesnica,with villages,91,,
Sandomierz,Wislica,Kurozweki,with villages,75,,
Sandomierz,Wislica,Rakow,with villages,437,,
Sandomierz,Wislica,Pacanow,with villages,558,,
,,,,,,
Sandomierz,Pilzno,Tarnow,with villages,2325,9161,
Sandomierz,Pilzno,Dabrowa,with villages,823,,
Sandomierz,Pilzno,Kolbuszowa,with villages,677,,
Sandomierz,Pilzno,Glogow,with villages,718,,
Sandomierz,Pilzno,Sedziszow,with villages,584,,
Sandomierz,Pilzno,Strzyzow,with villages,979,,
Sandomierz,Pilzno,Czudec,with villages,331,,
Sandomierz,Pilzno,Frysztak,with villages,254,,
Sandomierz,Pilzno,Robczyce,with villages,663,,
