| powiat                                                 | Miasta i wsie                                | Żydzi          | Żydówki      |
|                                                        Siedliska, w k.                               | 6               |              |
|                                                        Osików                                        | 4               |              |
|                                                        Mystkow                                       | 4               |              |
|                                                        Białowoda                                     | 5               |              |
|                                                        Biesna, w k.                                  | 4               |              |
|                                                        Korzenna, w b.                                | 8               |              |
|                                                        Zawadka, w b.                                 | 4               |              |
|                                                        Cieniawa                                      | 3               |              |
|                                                        Będzieszyna, w b.                             | 3               |              |
|                                                        Moczarka, w b.                                |                 |              |
|                                                        Zawrót                                        | 5               |              |
|                                                        Barcice, kom.                                 | 8               |              |
|                                                        Załubincze                                    | 5               |              |
|                                                        Koniuszowa                                    | 5               |              |
|                                                        Szalowa, w b. i k.                            | 8               |              |
|                                                        Łyczana                                       | 7               |              |
|                                                        Jeżowa, w b. І k.                             | 9               |              |
|                                                        Krasne, szynkarz                              | 4               |              |
|                                                        Łosie, k.                                     | 7               |              |
|                                                        Delata Zydow z tej parafii niestawionych się do| popisu z in nymi|, których gło|wy dla nie  wiadomości liczby nie są in  serowane w komput wyżej wyrażonych: Podlasie (Pod 2 las) arendarz; Lipniczka, arendarz; Cietrzewina                                                                                                       
|                                                        In summa głów w kah. sand.                    1|368              |             |
|Powiat czchowski i szczyrzycki.                                                                        |                 |             |
|Kahal wisnicki.                                         Wiśnicz gospodarzy 78: głów                   | 979               |            |
|Parafia kahalu wisnickiego.                             Brzesko gospodarzy 12                         | 175               |            |
|                                                        i w browarze                                  | 6                 |            |
|                                                        Suma:                                         | 181               |            |
|                                                        Czchów                                        | 7                 |            |
|                                                        Limanowa                                      | 21                |            |
|                                                        Niepołomice                                   | 29                |            |
|                                                        Kai wary a                                    | 19                |            |
|                                                        Nowy Targ                                     | 9                 |            |
|                                                        Lipnica                                       | 17                |            |
|                                                        Szczypanow                                    | 8                 |            |
|                                                        Mokrzecka (Mokszyska)                         | 16                |            |
|                                                        Buczę                                         | 9                 |            |
|                                                        Poręba                                        | 25                |            |
|                                                        Ląkta górna                                   | 8                 |            |
|                                                        Bytomska                                      | 8                 |            |
|                                                        Rzegocina                                     | 6                 |            |
|                                                        Łąkta dolna                                   | 6                 |            |
|                                                        Dołuszyce                                     | 9                 |            |
|                                                        Buczyna                                       | 7                 |            |
|                                                        Grabie                                        | 7                 |            |
|                                                        Gierczyce                                     | 4                 |            |
|                                                        Borowna                                       | 4                 |            |
|                                                        Zagórzany                                     | 5                 |            |
|                                                        Kobyle                                        | 4                 |            |
|                                                        Minkuszowice (Mikłuszowice)                   | 34                |            |
|                                                        Dziewin                                       | 4                 |            |
|                                                        Drwięnia (Drwinia)                            | 3                 |            |
|                                                        Brzezie                                       | 12                |            |
|                                                        Czarny Dunajec                                | 9                 |            |
|                                                        Kokotow                                       | 6                 |            |
|                                                        Koszary                                       | 5                 |            |
|                                                        Wyzyce                                        | 11                |            |
|                                                        Wola górna                                    | 6                 |            |
|                                                        Grotkowice                                    | 12                |            |
|                                                        #page num:                                    | #17               |            |
|                                                        Łososina                                      | 9                 |            |
|                                                        Młynna                                        | 6                 |            |
|                                                        Okocim                                        | 13                |            |
|                                                        Sokołow                                       | 11                |            |
|                                                        Sieracka (Sieradzka)                          | 4                 |            |
|                                                        Krolowka                                      | 23                |            |
|                                                        Raybrot                                       | 3                 |            |
|                                                        Dębno                                         | 12                |            |
|                                                        Zbigniow (Zbydniów)                           | 8                 |            |
|                                                        Damienica (Damianice)                         | 4                 |            |
|                                                        Sawa                                          | 12                |            |
|                                                        Rozdzielę                                     | 13                |            |
|                                                        Leszczyna                                     | 8                 |            |
|                                                        Kierlikowka                                   | 6                 |            |
|                                                        Pierzchowce (Pierzchowice)                    | 8                 |            |
|                                                        Jasień                                        | 7                 |            |
|                                                        Jodłowka                                      | 3                 |            |
|                                                        Chranow (Chronow)                             | 19                |            |
|                                                        Łapczyca (Łapczyce)                           | 2                 |            |
|                                                        Xiąznice                                      | 2                 |            |
|                                                        Krakoszowice                                  | 5                 |            |
|                                                        Niegowiec (Nicgowice)                         | 2I                |            |
|                                                        Zrzęcica (Zręczyce)                           | 3                 |            |
|                                                        Gosprzydowa                                   | 14                |            |
|                                                        Podkamien                                     | 10                |            |
|                                                        Targowisko                                    | 3                 |            |
|                                                        Łęczkowice                                    | 6                 |            |
|                                                        Stanislawice (Stanislawce)                    | 3                 |            |
|                                                        Cichowice                                     | 2                 |            |
|                                                        Łapanów                                       | 5                 |            |
|                                                        Zyrosławice                                   | 8                 |            |
|                                                        Kępanow                                       | 5                 |            |
|                                                        Kobylec                                       | 10                |            |
|                                                        Kobylec                                       | 4                 |            |
|                                                        Mszana                                        | 17                |            |
|                                                        Kasinka                                       | 6                 |            |
|                                                        Niedary                                       | 7                 |            |
|                                                        Zalesie                                       | 4                 |            |
|                                                        Woiakowa                                      | 13                |            |
|                                                        Bałaszowka                                    | 2                 |            |
|                                                        Rybie                                         | 5                 |            |
|                                                        Hans to w                                     | 7                 |            |
|                                                        Węglowka                                      | 8                 |            |
|                                                        Kobylnik                                      | 5                 |            |
|                                                        Iwkowa (Jurków)                               | 11                |            |
|                                                        Jurków                                        | 10                |            |
|                                                        Kąty                                          | 4                 |            |
|                                                        Burdak                                        | 7                 |            |
|                                                        Cichawa                                       | 8                 |            |
|                                                        Struze (Stróże)                               | 5                 |            |
|                                                        Gruszow                                       | 21                |            |
|                                                        Tymowa                                        | 10                |            |
|                                                        Bukownik                                      | 8                 |            |
|                                                        Komorniki                                     | 6                 |            |
|                                                        Głuchów                                       | 6                 |            |
|                                                        Kwapniki                                      | 6                 |            |
|                                                        Tymbark                                       | 23                |            |
|                                                        Lewniowa                                      | 2                 |            |
|                                                        Zawada                                        | 8                 |            |
|                                                        Japczyce                                      | 5                 |            |
|                                                        Przybórów                                     | 5                 |            |
|                                                        Wola                                          | 10                |            |
|                                                        Stojowice                                     | 4                 |            |
|                                                        Gorzkow                                       | 6                 |            |
|                                                        Makicnice                                     | 6                 |            |
|                                                        Jadowniki                                     | 9                 |            |
|                                                        Sterkowiec                                    | 8                 |            |
|                                                        Grądy                                         | 7                 |            |
|                                                        Sowliny                                       | 4                 |            |
|                                                        Mordarka                                      | 4                 |            |
|                                                        Kłay                                          | b                 |            |
|                                                        Domosławice                                   | 17                |            |
|                                                        Haszczowice                                   | 6                 |            |
|                                                        Łukawka                                       | 4                 |            |
|                                                        Harzowice (Charzewice)                        | 4                 |            |
|                                                        Gwozciec (Gwoździec)                          | 5                 |            |
|                                                        Sułów                                         | 8                 |            |
|                                                        Łopuszna                                      | 6                 |            |
|                                                        Raba wyzsza                                   | 8                 |            |
|                                                        Harklowa                                      | 6                 |            |
|                                                        Dobrociesz                                    | 5                 |            |
|                                                        Dobra                                         | 24                |            |
|                                                        Stopnice                                      | 25                |            |
|                                                        Mierzeń (Mierzyn)                             | 4                  |           |
|                                                        #page num:                                    | #18                |           |
|                                                        Gnoynik                                       | 23                 |           |
|                                                        Bratuszyce (Bratuczyce)                       | 4                  |           |
|                                                        Horzejowice                                   | 3                   |          |
|                                                        Uiazd                                         | 4                   |          |
|                                                        Dobroczyce                                    | 5                   |          |
|                                                        Pogwizdów                                     | 5                   |          |
|                                                        Miętniow                                      | 2                   |          |
|                                                        Rzezawa                                       | 10                  |          |
|                                                        Wiatowice większe                             | 6                   |          |
|                                                        Niezawa                                       | 3                   |          |
|                                                        Zbarczyce (Zborczyca)                         | 3                   |          |
|                                                        Strzelce wielkie                              | 5                   |          |
|                                                        Okulice                                       | 7                   |          |
|                                                        Podwilk (Podwal)                              | 5                   |          |
|                                                        Sułków                                        | 3                   |          |
|                                                        Łąki zabawskie                                | 10                  |          |
|                                                        Tomasz ko wice                                | 4                   |          |
|                                                        Rawki                                         | 5                   |          |
|                                                        Nieprzesna                                    | 4                   |          |
|                                                        Cichawka                                      | 14                  |          |
|                                                        Biskupice                                     | 5                   |          |
|                                                        Porąbka                                       | 4                   |          |
|                                                        Strzemeszna (Trzemeśna)                       | 7                   |          |
|                                                        Łyczanka                                      | 5                   |          |
|                                                        Osieczany                                     | 6                   |          |
|                                                        Sucha Raba                                    | 7                   |          |
|                                                        Mieszkowice (Niszkowice)                      | 4                   |          |
|                                                        Nieszkowice                                   | 4                   |          |
|                                                        Sławkowice                                    | 3                   |          |
|                                                        Moczarka                                      | 2                   |          |
|                                                        Zatoki (Zatoka)                               | 7                   |          |
|                                                        Rzępia                                        | 3                   |          |
|                                                        Trzciana                                      | 1                   |          |
|                                                        Chochołow                                     | 5                   |          |
|                                                        Klikuszowice                                  | 9                   |          |
|                                                        Zona wygnanego z miasta Szap-                 |                     |          |
|                                                        siowa z dwojgiem dzieci                       | 3                   |          |
|                                                        Przybytni z parafii krakowskiej               | 8                   |          |
|                                                        Delata Zydow z tej parafii nie                |                     |          |
|                                                        stawionych się do popisu z in-                |                     |          |
|                                                        nymi, których głowy dla nie-                  |                     |          |
|                                                        wiaclomości liczby nie są inse-               |                     |          |
|                                                        rowane w komput wyżej wy-                     |                     |          |
|                                                        rażonych: Żywiec, pisarz;                     |                     |          |
|                                                        Sułów, arendarz; Przydkowi-                   |                     |          |
|                                                        ce, arendarz, który miał się pi-              |                     |          |
|                                                        sać w Oświęcimie; Ostrzowsk                   |                     |          |
|                                                        (Ostrzowsko) karczmarz; Be-                   |                     |          |
|                                                        nedzym, arendarz; Nawsie,                     |                     |          |
|                                                        arendarz; Raciborsk, aren-                    |                     |          |
|                                                        darz, który miał się pisać                    |                     |          |
|                                                        w Krakowie; Cerekiew, aren-                   |                     |          |
|                                                        darz                                          |                     |          |
|                                                        In summa w kah. wiśnickim                     | 2385                |          |
|Powiat biecki.                                                                                        |                |
|Kahał żmigrodzki.                                       Żmigród gospodarzy 67,                        | 683                 |          |
|Parafią kahalu żmigrodzkiego.                           Gorlice gospodarzy 33,                        | 164                 |          |
|                                                        Biecz                                         | 31                  |          |
|                                                        Dębowiec                                      | 23                  |          |
|                                                        Wapienna                                      | 4                   |          |
|                                                        Pąspna                                        | 6                   |          |
|                                                        Ropica                                        | 13                  |          |
|                                                        Malistyf (Małastów)                           | 9                   |          |
|                                                        Sękowa                                        | 11                  |          |
|                                                        Szary                                         | 11                  |          |
|                                                        Wołowiec                                      | 6                   |          |
|                                                        Długie                                        | 6                   |          |
|                                                        Żarnowce                                      | 6                   |          |
|                                                        Chlebna                                       | 10                  |          |
|                                                        Jedlicze                                      | 42                  |          |
|                                                        #page num:                                    | #19                 |          |
|                                                        Łąki                                          | 4                   |          |
|                                                        Toki                                          | 6                   |          |
|                                                        Gorzyce                                       | 4                   |          |
|                                                        Jaworze                                       | 3                   |          |
|                                                        Lubienko                                      | 8                   |          |
|                                                        Faysłówka                                     | 7                   |          |
|                                                        Wolica                                        | 6                   |          |
|                                                        Lipnica                                       | 7                   |          |
|                                                        Łapiguz                                       | 2                   |          |
|                                                        Łysogóra                                      | 4                   |          |
|                                                        Zeglce (Żeglec)                               | 6                   |          |
|                                                        Podniebyle                                    | 8                   |          |
|                                                        Cieklin                                       | 10                  |          |
|                                                        Dzielec                                       | 4                   |          |
|                                                        Dobrynia                                      | 3                   |          |
|                                                        Folusz                                        | 4                   |          |
|                                                        Strusieklęski                                 | 10                  |          |
|                                                        Brzezowa                                      | 5                   |          |
|                                                        Czyrmna (Czyrna)                              | 11                  |          |
|                                                        Jabłonica                                     | 5                   |          |
|                                                        Bączala (Bon czai)                            | 5                   |          |
|                                                        Serwoniec                                     | 6                   |          |
|                                                        Dąbrówka                                      | 4                   |          |
|                                                        Sowina                                        | 7                   |          |
|                                                        Biezdziadza                                   | 9                   |          |
|                                                        Biezdziadka                                   | 4                   |          |
|                                                        Wygoda, k.                                    | 3                   |          |
|                                                        Lublica                                       | 4                   |          |
|                                                        Siekło wka                                    | 22                  |          |
|                                                        Warzyce                                       | 15                  |          |
|                                                        Czelusnica                                    | 8                   |          |
|                                                        Gossowka                                      | 5                   |          |
|                                                        Sobniow                                       | 7                   |          |
|                                                        J asło                                        | 8                   |          |
|                                                        Ułaszowice                                    | 2                   |          |
|                                                        Niegłowice                                    | 5                   |          |
|                                                        Brzeście (Brzyście)                           | 4                   |          |
|                                                        Brzyscie                                      | 5                   |          |
|                                                        Zułkow (Żołków)                               | 7                   |          |
|                                                        Swięcany                                      | 24                  |          |
|                                                        Szyrzyny (Szerzyny)                           | 38                  |          |
|                                                        Rozembark                                     | 16                  |          |
|                                                        Rasłowiec (Racławice)                         | 5                   |          |
|                                                        Sietnica                                      | 7                   |          |
|                                                        Moszczenica                                   | 11                  |          |
|                                                        Machnowka                                     | 6                   |          |
|                                                        Zagórzany                                     | 9                   |          |
|                                                        Libusza                                       | 11                  |          |
|                                                        Polna                                         | 6                   |          |
|                                                        Grudna                                        | 2                   |          |
|                                                        Siepietnica                                   | 3                   |          |
|                                                        Harklowa                                      | 6                   |          |
|                                                        Skołyszyn                                     | 11                  |          |
|                                                        Kunowa                                        | 5                   |          |
|                                                        Lisowek                                       | 7                   |          |
|                                                        Sławęcin                                      | 5                   |          |
|                                                        Przysieki                                     | 2                   |          |
|                                                        Siedliska                                     | 5                   |          |
|                                                        Trzcinica                                     | 7                   |          |
|                                                        Osobnica                                      | 5                   |          |
|                                                        Łazy                                          | 4                   |          |
|                                                        Wola dębowiecka                               | 2                   |          |
|                                                        Załęże                                        | 6                   |          |
|                                                        Swierchowa (Świerkowa)                        | 4                   |          |
|                                                        Osiek                                         | 8                   |          |
|                                                        Bieniarową                                    | 7                   |          |
|                                                        Grab                                          | 7                   |          |
|                                                        Kotan                                         | 6                   |          |
|                                                        Myszczowa (Myscowa)                           | 7                   |          |
|                                                        Świątkowa                                     | 9                   |          |
|                                                        Swirzow (Swierzowa)                           | 2                   |          |
|                                                        Bartne                                        | 5                   |          |
|                                                        Dołchym (Dołembki?)                           | 6                   |          |
|                                                        Rostayna (Rostajne)                           | 7                   |          |
|                                                        Polany                                        | 10                  |          |
|                                                        Desnica (Desznica)                            | 2                   |          |
|                                                        Konty (Kąty)                                  | 3                   |          |
|                                                        Krywa (Krzywa)                                | 3                   |          |
|                                                        Banica                                        | 3                   |          |
|                                                        Krępna                                        | 3                   |          |
|                                                        Pregonina (Przegonina)                        | 3                   |          |
|                                                        Swiątkowka                                    | 9                   |          |
|                                                        Grabanina                                     | 9                   |          |
|                                                        Ninaszow (Nienaszów)                          | 23                  |          |
|                                                        #page num:                                    | #20                 |          |
|                                                        Makowiska                                     | 7                   |          |
|                                                        Sulistrowa                                    | 6                   |          |
|                                                        Draganów a                                    | 5                   |          |
|                                                        Kobylany                                      | 10                  |          |
|                                                        Łęki                                          | 7                   |          |
|                                                        Łaysce                                        | 4                   |          |
|                                                        Glinik                                        | 5                   |          |
|                                                        Gliniczek                                     | 3                   |          |
|                                                        Umieszczę (Umieszcz)                          | 6                   |          |
|                                                        Tarnowiec                                     | 8                   |          |
|                                                        Potakowka                                     | 5                   |          |
|                                                        Brzezowka                                     | 9                   |          |
|                                                        Cerocanka                                     | 6                   |          |
|                                                        Borek                                         | 7                   |          |
|                                                        Szebnie (Szczebnie)                           | 4                   |          |
|                                                        Moderowka                                     | 3                   |          |
|                                                        Birowka (Bierówka)                            | 13                  |          |
|                                                        Niepła                                        | 6                   |          |
|                                                        Rostoki                                       | 6                   |          |
|                                                        Sątkowa (Sondkowa)                            | 6                   |          |
|                                                        Stary Żmigród                                 | 2                   |          |
|                                                        Kopytowa                                      | 4                   |          |
|                                                        Żydowskie                                     | 3                   |          |
|                                                        Ozenna (Ożyna)                                | 7                   |          |
|                                                        Regietow                                      | 3                   |          |
|                                                        Nieznaiowa                                    | 7                   |          |
|                                                        Czarne                                        | 5                   |          |
|                                                        Radocina                                      | 3                   |          |
|                                                        Konieczna                                     | 11                  |          |
|                                                        Smerekowiec                                   | 2                   |          |
|                                                        Wysowa                                        | 4                   |          |
|                                                        Uyscie                                        | 24                  |          |
|                                                        Bielanki                                      | 9                   |          |
|                                                        Klimkówka                                     | 6                   |          |
|                                                        No wiec (No wica)                             | 3                   |          |
|                                                        Pietrowka                                     | 2                   |          |
|                                                        Pielgrzymka                                   | 2                   |          |
|                                                        Bednarka                                      | 5                   |          |
|                                                        Rozdzielę                                     | 4                   |          |
|                                                        Lipinki                                       | 16                  |          |
|                                                        Kryg                                          | 3                   |          |
|                                                        Sokoł                                         | 3                   |          |
|                                                        Rychwałd                                      | 4                   |          |
|                                                        Mszanka                                       | 21                  |          |
|                                                        Garbacz, karczma                              | 7                   |          |
|                                                        Wola                                          | 2                   |          |
|                                                        Łużna                                         | 16                  |          |
|                                                        Bystra                                        | 3                   |          |
|                                                        Szembark                                      | 8                   |          |
|                                                        In summa w kahale zmigr.                      | 1926                |          |
|Kahal dukielski.                                        Dukla gospodarzy 56                           | 568                 |          |
|                                                        browar pański                                 | 6                   |          |
|                                                        Suma                                          | 574                 |          |
|Parafia kabata dukielskiego.                            Równe, w b.                                   | 17                  |          |
|                                                        Zboiska, w k.                                 | 4                   |          |
|                                                        Wietrzna (Wietrzno), w b.                     | 7                   |          |
|                                                        Wróblik, w b.                                 | 6                   |          |
|                                                        Milczą, w k.                                  | 7                   |          |
|                                                        Besko, w b., 2 k. i eh.                       | 27                  |          |
|                                                        Odrzechow (Odrzechowa), w b.-                 |                     |          |
|                                                        i 2 k.                                        | 18                  |          |
|                                                        Nowosielce, w b. i ch.                        | 10                  |          |
|                                                        Czertez, w k.                                 | 5                   |          |
|                                                        Kostarowka (Kostarowce) w b.                  | 6                   |          |
|                                                        Białobrzegi, w k.                             | 4                   |          |
|                                                        Głowienka (Głowienko),, w k.                  | 5                   |          |
|                                                        Głoysce, w k.                                 | 11                  |          |
|                                                        Krościenko, w k.                              | 6                   |          |
|                                                        iwia, w b.                                    | 6                   |          |
|                                                        Cherowa (Chyrowa), w k.                       | 3                   |          |
|                                                        Mszanka, w k.                                 | 6                   |          |
|                                                        #page num:                                    | #21                 |          |
|                                                        Lipowica, w к.                                | 5                   |          |
|                                                        Trzciana, w k.                                | 3                   |          |
|                                                        Tylawa, w b.                                  | 12                  |          |
|                                                        Barwinek, w 2 b.                              | 12                  |          |
|                                                        lasie (Jasiel), w b.                          | 3                   |          |
|                                                        Wernesowka, w b.                              | 4                   |          |
|                                                        Zawadka, w k.                                 | 4                   |          |
|                                                        Zendranow (Zyndranowa), w 2 b.                | 20                  |          |
|                                                        Lubatowka, w k.                               | 4                   |          |
|                                                        Jasionka, w k.                                | 5                   |          |
|                                                        Cergowa, w b. i k.                            | 7                   |          |
|                                                        Teodorowka, w k.                              | 5                   |          |
|                                                        In summa głów w kahale duk.                   | 806                 |          |
|Kahal bobowski.                                         Bobowa gospodarzy 29 głów                     | 185                 |          |
|                                                        w kramnicach                                  | 11                  |          |
|                                                        w ratuszu                                     | 8                   |          |
|                                                        w karczmie Wesołej                            | 5                   |          |
|                                                        w kahale sandeckim głów                       | 1368                |          |
|                                                        w kahale wisnickim                            | 2385                |          |
|                                                        w kahale żmigrodzkim                          | 1926                |          |
|                                                        w kahale dukielskim                           | 806                 |          |
|                                                        w kahale bobowskim                            | 218                 |          |
|                                                        Summa                                         | 6703                |          |
|                                                        w browarze pod zamkierr                       | 2                   |          |
|                                                        w browarze berdeckim                          | 7                   |          |
|                                                        Summa:                                        | 218                 |          |





|Summaryusz głów żydowskich przez powiaty i kahaly wyprowadzony.                                       |                     |          |
| W powiecie krakowskim:                                 Żydzi Żydówki Dzieci roku Syny nic mające: Cór ki                  |           |
|                                                        Kahał kazimierski            1802     1908               74        |        93 |
|                                                        Kahał olkuski                190       2O6               15        |        12 |
|                                                        Kahał chrzanowski            177       150               9         |        14 |
|                                                        Kahał będziński              251       264               17        |        17 |
|                                                        Suma:                        2420     2528               115       |        136|
|                                                        #page num:                   #14                                   |           |
|W powiecie proszowskim:                                                                                                    |
|Dzieci roku nie mające:                                 Kahał działoszycki          332       319                  15      | 27        |
|W powiecie xięskim:                                     Kahał żarnowiecki           171       I84                  12      | 13        |
|                                                        Kahał wodzisławski          806       832                  43      | 34        |
|                                                        Kahał wolbromski            149       154                   9      | 12        |
|                                                        Suma:                       1126      1170                  64     | 59        |
|W powiecie lelowskim                                    Kahał lelowski              223       245                  19      | 19        |
|                                                        Kahał nakielski             46        52                   3       | 1         |
|                                                        Kahał janowski              329       294                  10      | 20        |
|                                                        Kahał pilecki               301       305                  23      | 22        |
|                                                        Kahał szczekocinski         258       202                  18      | 13        |
|                                                        Kahał zarecki               429       464                  37      | 22        |
|                                                        Suma:                       1586      1622               110     | 97          |
|W xięstwie Zatorskim:                                   Kahał Zatorski              45        47                 5                     |
|                                                        W xięstwie oświęcimskim                                                        |
|                                                        Kahał oświęcimski           396       369                21       29           |
|                                                        Suma sumarum:               5905      6055                330      348         |
|                                                        Złączywszy Zydow z Żydówkami znajduje się                          11960       |
|                                                        Dzieci roku nie maiac.vch znaiduie sie                             678         |
|II.Powiat sandecki.                                                                                                       
|Kahał sandecki.                                         Sandecz (Sącz)  gospodarzy 69,          602                                    |
|                                                        Przychodni z Węgier na mieszkanie do miasta   7                                |
|                                                        Suma:                       609                                                |
|                                                        In summa patet:             12638                                              |
|                                                        W tem mężczyzn:             6235                                               |
|                                                        kobiet:                     6403                                               |
