cname,category
nochim lemke,1
vieter isaac,1
mortchel nossen,1
charkel isaac,1
leyser jankel,1
wdowa wawrzyn.,3
buczko,3
meyer nathan,1
leyser chaim,1
elias fischel,1
stephan oganowski,3
sudowski,3
jan juchnicki,3
andr. archipowicz,3
fabian piekarski,3
mates krosota,3
simon piekarski,3
salamon dawid,1
stanisl. kopycki,3
mates kozlowski,3
wahrendorff,4
nicol borzijnski,3
mendel lewin,1
flägel,4
fange lewin,1
josel baer,1
jankel wolff,1
rehfled,4
hirsch joseph,1
drugi dom do nr,0
chaym jankel,1
mehold,4
hirth,4
jankel meyer,1
boruch hirsch,1
judel boruch,1
saul michel,1
isaac chaym,1
borell jude,1
wdowa meyer,1
leib wolff,1
hilel abram,1
nochim febie,1
isaac abram,1
smerl israel,1
leib mortchel,1
hirsch haskel,1
schlaum kadisch,1
mortche salmon,1
baer boruch,1
kadisch feibusch,1
leyb meijer,1
wdowa hirsch,1
simon leszewicz,3
schoeps kadisch,1
bischke hirsch,1
marcus falk,1
abram sundel,1
gedalji marcus,1
feibel jossel,1
srol srol,1
leib selig,1
hirsch palter,1
susmann schmul,1
liebmann hirsch,1
hirsch smul,1
baer leje,1
schmul gerson,1
sorach elias,1
aron marcus,1
itzig jossel,1
salmon moses,1
leyser moses,1
wdowa schlom jankel,1
hirsch,1
josel schaije,1
boruch simon,1
moses meyer,1
meyer,1
schmul jankel,1
isac aron,1
israel scholem,1
marcus jude,1
isaac jussel,1
chonen abram,1
tobias abram,1
baer falk,1
susman wolff,1
wawr. grodzinski,3
martin samulowicz,3
mates tyburski,3
stanisl. jędrzejewski,3
jan zacharias,3
boruch itzig,1
mortche,1
libmann wolff,1
jankel elias,1
jankel kalmann,1
joseph jaruszewicz,3
mates leszewicz,3
walczuk,3
jan bialkowski,3
leib kalman,1
callel joel,1
benj. jonowicz,1
benj. moses,1
weckmann,4
nossen nossen,1
abram lewin,1
jacob nochim,1
walery krajewski,3
isaac schlom,1
wdowa dav. jankel,1
joseph boruch,1
abram leyser,1
elias leyser,1
leyser lewin,1
lewin peysach,1
mele israel,1
leib meyer,1
moses simon,1
itzig schmul,1
jankel gerson,1
libmann meyer,1
david jude,1
leib chonne,1
fedri sosmann,1
wdowa hirsch peysach,1
wolff benjamin,1
david jossel,1
dawid schlom,1
leyser abram,1
boruch isaac,1
leyser judel,1
wollff isaac,1
martin szuszyński,3
joh. hoffmann,4
owschay meyer,1
tobias leyser,1
meyer lewin,1
judel elias,1
hirsch wolff,1
schaye hirsch,1
perl leibke,1
salomon chaym,1
dawid moses,1
simche lewin,1
wolff schlom,1
chonne hirsch,1
mortche chonne,1
wdowa moses isaac,1
wdowa rochel baer,1
callel schlom,1
nathan meyer,1
todres schmul,1
jankel jessel,1
manasse schmul,1
lewin schaye,1
nothan baer,1
wdowa gitel menki,1
lewin jankel,1
lanke,4
stahr,4
lewin peretz,1
schlom abram,1
selig sarge,1
rumpelly,4
chaim meyer,1
schwagerus,4
sudnik,5
wdowa patz,4
von michalis,2
simon jaworowski,3
von kaczorowski,2
kasper preczynski,3
bartl. praga,3
paul korbut,3
steph. kowalski,3
wdowa kasper,4
mart. sokulski,3
lorenz kotulski,3
mat. madalinski,3
wdowa okraszynska,3
mates juchnicki,3
paul kowalski,3
basil lyzowicz,3
cas. kuszminski,3
bartl. bojanowski,3
jacob chuchlinski,3
anton. jędrzejewski,3
jan mankowski,3
kitschel,4
andr. langkahmmer,4
ant. woyewodzki,3
jan wyszniewski,3
joh. philipp,4
michel lowicki,3
zöllner,4
masurowicz,3
blaube,4
clem. januszewicz,3
wakmann,4
wdowa fistulewicz,3
heliczka,3
george korbut,3
matheus,4
dawid angulewicz,3
wdowa czichowicz,3
janubowicz,3
tler. jurmmanski,3
wdowa zawicka,3
bartl. zawicki,3
kind,4
waw. wyczynski,3
johann,4
gregor ostaszewski,3
joh. sawicki,3
simon groczewicz,3
wdowa bartkowa,3
joh. neumowicz,3
albr. zabricki,3
schmul moses,1
fried. lazewicz,3
wojc. zabricki,3
michel repaten,4
firtz sierki,4
cas. czarniawski,3
ambr. juchnicki,3
heine frick,4
gotf. frick,4
nielau,4
joh. hummel,4
mates woytulewicz,3
fab. woytulewicz,3
johan bochun,4
wdowa markowska,3
jos. sielanski,3
george chawinski,3
carol krupinski,3
wdowa thomaszewska,3
jacob jalowicki,3
wdowa iwanska,3
simon korbut,3
wdowa deheus,4
jacob kudynski,3
woyc. kudynski,3
steph. palczynski,3
wdowa ternau,4
joseph hollobowicz,3
casp. jabkowski,3
von lazowski,2
spadkobiercy daszkow,3
matheus,4
dawid angulewicz,3
wdowa czichowicz,3
janubowicz,3
tler. jurmmanski,3
wdowa zawicka,3
bartl. zawicki,3
kind,4
waw. wyczynski,3
johann,4
gregor ostaszewski,3
joh. sawicki,3
simon groczewicz,3
wdowa bartkowa,3
joh. neumowicz,3
albr. zabricki,3
schmul moses,1
fried. lazewicz,3
wojc. zabricki,3
michel repaten,4
firtz sierki,4
cas. czarniawski,3
ambr. juchnicki,3
heine frick,4
gotf. frick,4
nielau,4
joh. hummel,4
mates woytulewicz,3
fab. woytulewicz,3
johan bochun,4
wdowa markowska,3
jos. sielanski,3
george chawinski,3
carol krupinski,3
wdowa thomaszewska,3
jacob jalowicki,3
wdowa iwanska,3
simon korbut,3
wdowa deheus,4
jacob kudynski,3
woyc. kudynski,3
steph. palczynski,3
wdowa ternau,4
joseph hollobowicz,3
casp. jabkowski,3
von lazowski,2
spadkobiercy daszkow,3
ludwig bergau,4
kriiger,4
wdowa mengern,4
wdowa sadoska,3
fischer,4
ludwig willand,4
von michalskij,2
sim. rijchlarskij,3
frantz radkoskij,3
jan von rudkoski,2
stephan jastrzijmskij,3
krakau,4
thomas chuchliński,3
borchert,4
joh. stoleckij,3
ludwik reuth,4
mates fomberg,1
rogal,3
