name,table,community,community_code,land,table_title,table_abbr,voivodeship,index,potential,year,value,villages_value,near_value,geometry
grodzisk,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_grdzsk,80,1739,80,0,0,1823544.96089068|6840637.56083326
jozefow,0100,jezefow,jzfw,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_jzfw,400,1724,400,0,0,2565773.54316302|6530620.18388892
jozefow,0100,jezefow,jzfw,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_jzfw,400,1725,248,0,0,2565773.54316302|6530620.18388892
jozefow,0100,jezefow,jzfw,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_jzfw,400,1729,400,0,0,2565773.54316302|6530620.18388892
jozefow,0100,jezefow,jzfw,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_jzfw,400,1731,400,0,0,2565773.54316302|6530620.18388892
jozefow,0100,jezefow,jzfw,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_jzfw,400,1732,400,0,0,2565773.54316302|6530620.18388892
jozefow,0100,jezefow,jzfw,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_jzfw,400,1733,400,0,0,2565773.54316302|6530620.18388892
jozefow,0100,jezefow,jzfw,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_jzfw,400,1734,400,0,0,2565773.54316302|6530620.18388892
jozefow,0100,jezefow,jzfw,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_jzfw,400,1735,400,0,0,2565773.54316302|6530620.18388892
jozefow,0100,jezefow,jzfw,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_jzfw,400,1736,400,0,0,2565773.54316302|6530620.18388892
jozefow,0100,jezefow,jzfw,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_jzfw,400,1737,400,0,0,2565773.54316302|6530620.18388892
jozefow,0100,jezefow,jzfw,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_jzfw,400,1738,400,0,0,2565773.54316302|6530620.18388892
jozefow,0100,jezefow,jzfw,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_jzfw,400,1739,400,0,0,2565773.54316302|6530620.18388892
jozefow,0100,jezefow,jzfw,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_jzfw,400,1742,400,0,0,2565773.54316302|6530620.18388892
jozefow,0100,jezefow,jzfw,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_jzfw,400,1748,400,0,0,2565773.54316302|6530620.18388892
jozefow,0100,jezefow,jzfw,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_jzfw,400,1749,400,0,0,2565773.54316302|6530620.18388892
jozefow,0100,jezefow,jzfw,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_jzfw,400,1757,400,0,0,2565773.54316302|6530620.18388892
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1717,3174,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1718,3172,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1719,2462,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1720,2904,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1721,4200,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1722,2285,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1723,3992,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1724,2441,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1725,5262,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1726,4150,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1727,4330,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1728,6390,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1729,6713,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1731,7135,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1732,4758,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1733,1803,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1734,1803,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1735,6223,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1736,3668,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1737,3819,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1738,3929,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1739,3819,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1741,4760,0,0,2220452.83934886|6455220.57903561
